date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price
2022-06-09,dispersion_cb_triggered_dec128,10.0,1.418332,,,,,,,
2022-06-13,halt_triggered,,,6.0,-0.2034,100253.73,79859.05,,,
2022-07-21,halt_resumed,,,6.0,-0.1796,100253.73,82248.16,,,
2022-07-29,halt_triggered,,,6.0,-0.2013,100253.73,80071.16,,,
2022-09-28,halt_triggered,,,6.0,-0.2425,100253.73,75938.74,,,
2022-11-29,halt_triggered,,,6.0,-0.3025,100253.73,69928.14,,,
2023-01-31,halt_triggered,,,6.0,-0.3337,100253.73,66797.33,,,
2023-04-04,halt_triggered,,,6.0,-0.3398,100253.73,66189.12,,,
2023-06-06,halt_triggered,,,6.0,-0.3521,100253.73,64958.56,,,
2023-08-08,halt_triggered,,,6.0,-0.3629,100253.73,63869.26,,,
2023-08-17,halt_resumed,,,6.0,-0.342,100253.73,65969.69,,,
2023-08-18,halt_triggered,,,6.0,-0.3501,100253.73,65156.18,,,
2023-10-18,halt_triggered,,,6.0,-0.3702,100253.73,63135.659999999996,,,
2023-11-01,,,,1.0,,,,GNRC,overnight_gap_up_14.2pct,95.99
2023-12-19,halt_triggered,,,6.0,-0.4021,100253.73,59946.1,,,
2024-02-20,halt_triggered,,,6.0,-0.4058,100253.73,59568.36,,,
2024-04-23,halt_triggered,,,6.0,-0.4216,100253.73,57983.24,,,
2024-04-25,,,,1.0,,,,META,overnight_gap_down_14.6pct,421.4
2024-06-25,halt_triggered,,,6.0,-0.4613,100253.73,54002.77,,,
2024-08-02,halt_resumed,,,6.0,-0.2642,100253.73,73769.18,,,
2024-08-05,halt_triggered,,,6.0,-0.2643,100253.73,73751.81,,,
2024-10-07,halt_triggered,,,6.0,-0.2643,100253.73,73751.81,,,
2024-12-09,halt_triggered,,,6.0,-0.2643,100253.73,73751.81,,,
2025-02-10,halt_triggered,,,6.0,-0.2776,100253.73,72427.11,,,
2025-04-14,halt_triggered,,,6.0,-0.2848,100253.73,71702.27,,,
2025-06-16,halt_triggered,,,6.0,-0.3112,100253.73,69056.36,,,
2025-08-18,halt_triggered,,,6.0,-0.3261,100253.73,67564.93,,,
2025-10-20,halt_triggered,,,6.0,-0.3234,100253.73,67828.23999999999,,,
2025-12-19,dispersion_cb_triggered_dec128,5.2043,0.029743,,,,,,,
2025-12-22,halt_triggered,,,6.0,-0.3434,100253.73,65829.13,,,
2026-02-23,halt_triggered,,,6.0,-0.3434,100253.73,65829.13,,,
2026-04-27,halt_triggered,,,6.0,-0.3574,100253.73,64419.84,,,
