strategy,exit_method,sector,n,win_rate,avg_pnl_pct,total_pnl_pct
buyback_8k_recent_long,earnings_blackout,Consumer Discretionary,2,0.5,-28.243450000000003,-56.486900000000006
buyback_8k_recent_long,earnings_blackout,Consumer Staples,3,0.0,-44.21313333333333,-132.6394
buyback_8k_recent_long,earnings_blackout,Financials,1,1.0,0.2674,0.2674
buyback_8k_recent_long,earnings_blackout,Health Care,1,1.0,142.9865,142.9865
buyback_8k_recent_long,earnings_blackout,Industrials,2,0.5,6.6598500000000005,13.319700000000001
buyback_8k_recent_long,earnings_blackout,Information Technology,4,0.75,88.76259999999999,355.05039999999997
buyback_8k_recent_long,fixed_4r_2r,Communication Services,1,0.0,-6.1392,-6.1392
buyback_8k_recent_long,fixed_4r_2r,Consumer Discretionary,2,0.0,-5.34155,-10.6831
buyback_8k_recent_long,fixed_4r_2r,Consumer Staples,3,0.3333333333333333,0.14499999999999988,0.4349999999999996
buyback_8k_recent_long,fixed_4r_2r,Financials,1,1.0,0.2674,0.2674
buyback_8k_recent_long,fixed_4r_2r,Health Care,1,0.0,-5.4704,-5.4704
buyback_8k_recent_long,fixed_4r_2r,Industrials,2,0.0,-4.485849999999999,-8.971699999999998
buyback_8k_recent_long,fixed_4r_2r,Information Technology,4,0.25,1.95675,7.827
buyback_8k_recent_long,hybrid_50pct_target,Communication Services,1,0.0,-10.0,-10.0
buyback_8k_recent_long,hybrid_50pct_target,Consumer Discretionary,2,0.5,-3.63095,-7.2619
buyback_8k_recent_long,hybrid_50pct_target,Consumer Staples,3,0.3333333333333333,-5.4394,-16.3182
buyback_8k_recent_long,hybrid_50pct_target,Financials,1,1.0,0.2674,0.2674
buyback_8k_recent_long,hybrid_50pct_target,Health Care,1,1.0,8.0733,8.0733
buyback_8k_recent_long,hybrid_50pct_target,Industrials,2,0.5,0.9504000000000001,1.9008000000000003
buyback_8k_recent_long,hybrid_50pct_target,Information Technology,4,0.25,0.9839749999999992,3.9358999999999966
buyback_8k_recent_long,ma_exit_ema9,Communication Services,1,0.0,-0.7057,-0.7057
buyback_8k_recent_long,ma_exit_ema9,Consumer Discretionary,2,0.5,-2.8133,-5.6266
buyback_8k_recent_long,ma_exit_ema9,Consumer Staples,3,0.6666666666666666,-0.5299333333333335,-1.5898000000000003
buyback_8k_recent_long,ma_exit_ema9,Financials,1,1.0,2.0439,2.0439
buyback_8k_recent_long,ma_exit_ema9,Health Care,1,0.0,-2.8621,-2.8621
buyback_8k_recent_long,ma_exit_ema9,Industrials,2,0.5,-1.65435,-3.3087
buyback_8k_recent_long,ma_exit_ema9,Information Technology,4,0.25,-3.4915249999999998,-13.966099999999999
buyback_8k_recent_long,mfe_lockin_trail,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,mfe_lockin_trail,Consumer Discretionary,2,0.5,-0.6804500000000001,-1.3609000000000002
buyback_8k_recent_long,mfe_lockin_trail,Consumer Staples,3,0.3333333333333333,-0.11086666666666667,-0.3326
buyback_8k_recent_long,mfe_lockin_trail,Financials,1,0.0,-0.1282,-0.1282
buyback_8k_recent_long,mfe_lockin_trail,Health Care,1,0.0,-2.536,-2.536
buyback_8k_recent_long,mfe_lockin_trail,Industrials,2,0.0,-1.5151,-3.0302
buyback_8k_recent_long,mfe_lockin_trail,Information Technology,4,0.5,-0.09597500000000003,-0.38390000000000013
buyback_8k_recent_long,multi_tier_partial,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,multi_tier_partial,Consumer Discretionary,2,1.0,1.15665,2.3133
buyback_8k_recent_long,multi_tier_partial,Consumer Staples,3,0.6666666666666666,0.26560000000000006,0.7968000000000002
buyback_8k_recent_long,multi_tier_partial,Financials,1,1.0,0.5966,0.5966
buyback_8k_recent_long,multi_tier_partial,Health Care,1,0.0,-2.536,-2.536
buyback_8k_recent_long,multi_tier_partial,Industrials,2,0.0,-1.5151,-3.0302
buyback_8k_recent_long,multi_tier_partial,Information Technology,4,0.5,-0.02760000000000007,-0.11040000000000028
buyback_8k_recent_long,next_pivot_target,Communication Services,1,0.0,-10.0,-10.0
buyback_8k_recent_long,next_pivot_target,Consumer Discretionary,2,0.5,-3.26425,-6.5285
buyback_8k_recent_long,next_pivot_target,Consumer Staples,3,0.6666666666666666,2.5447666666666664,7.6343
buyback_8k_recent_long,next_pivot_target,Financials,1,1.0,0.2674,0.2674
buyback_8k_recent_long,next_pivot_target,Health Care,1,0.0,-5.4704,-5.4704
buyback_8k_recent_long,next_pivot_target,Industrials,2,0.0,-4.485849999999999,-8.971699999999998
buyback_8k_recent_long,next_pivot_target,Information Technology,4,0.75,-0.7615249999999999,-3.0460999999999996
buyback_8k_recent_long,r_multiple_2r,Communication Services,1,0.0,-3.0696,-3.0696
buyback_8k_recent_long,r_multiple_2r,Consumer Discretionary,2,0.5,0.06729999999999992,0.13459999999999983
