strategy,regime,trades,win_rate,avg_pnl,total_roi
macd_fast_crossover,bull,3,0.0,-4.0328,-12.0983
mmsm_short,bull,3,0.3333,-3.7465,-11.2394
pairs_mean_reversion_long,bull,4,0.5,-0.6141,-2.4566
po3_bullish,bull,3,0.0,-3.3008,-9.9025
stochrsi_overbought_short,bull,3,0.3333,0.8786,2.6358
williams_r_oversold,bull,3,1.0,7.4658,22.3973
