tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,7,0.1429,-4.2351,0.1103,-29.646,MEDIUM
MEDIUM_HIGH,4,0.75,7.974,47.59,31.8961,MEDIUM
MEDIUM,2,0.0,-9.3127,0.0,-18.6255,LOW
LOW,30,0.4333,-1.4832,0.6324,-44.4954,LOW
