tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,7,0.0,-9.1489,0.0,-64.0426,HIGH
HIGH,96,0.3021,-2.7911,0.4519,-267.9484,MEDIUM
MEDIUM_HIGH,6,0.1667,-6.5721,0.0555,-39.4324,MEDIUM
MEDIUM,6,0.3333,0.2509,1.0397,1.5055,LOW
LOW,1,0.0,-11.8975,0.0,-11.8975,LOW
