date,event,z_score,today_dispersion,level,dd_from_peak,rolling_peak_equity,current_equity
2022-01-03,dispersion_cb_triggered_dec128,3.1279,0.035115,,,,
2022-03-16,halt_triggered,,,6.0,-0.2043,100000.0,79569.04000000001
2022-05-17,halt_triggered,,,6.0,-0.2086,100000.0,79144.5
2022-07-19,halt_triggered,,,6.0,-0.2104,100000.0,78960.26
2022-09-20,halt_triggered,,,6.0,-0.283,100000.0,71700.22
2022-11-22,halt_triggered,,,6.0,-0.327,100000.0,67295.14
2023-01-24,halt_triggered,,,6.0,-0.345,100000.0,65498.26
2023-02-21,halt_resumed,,,6.0,-0.3238,100000.0,67617.66
2023-02-22,halt_triggered,,,6.0,-0.3238,100000.0,67617.66
2023-04-25,halt_triggered,,,6.0,-0.3585,100000.0,64152.11
2023-06-27,halt_triggered,,,6.0,-0.3702,100000.0,62979.19
2023-08-09,halt_resumed,,,6.0,-0.3494,100000.0,65059.64
2023-08-10,halt_triggered,,,6.0,-0.3494,100000.0,65059.64
2023-10-10,halt_triggered,,,6.0,-0.3755,100000.0,62450.7
2023-12-12,halt_triggered,,,6.0,-0.3866,100000.0,61336.659999999996
