strategy,exit_method,circuit_breaker_active_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,no_data,20,0.25,-1.8290099999999998,-36.5802
avwap_50_reclaim,atr_trail_2x,no_data,20,0.35,-2.5673450000000004,-51.346900000000005
avwap_50_reclaim,atr_trail_mae_conditional,no_data,20,0.25,-1.8290099999999998,-36.5802
avwap_50_reclaim,atr_trail_vix_conditional,no_data,20,0.25,-1.53538,-30.7076
avwap_50_reclaim,break_even_at_1r,no_data,20,0.15,-1.8835899999999999,-37.6718
avwap_50_reclaim,breakeven_plus_trail,no_data,20,0.25,-1.817925,-36.3585
avwap_50_reclaim,chandelier_3x,no_data,20,0.35,-3.179275,-63.5855
avwap_50_reclaim,class_time_stop,no_data,20,0.5,-9.057965,-181.1593
avwap_50_reclaim,earnings_blackout,no_data,20,0.35,-53.571175000000004,-1071.4235
avwap_50_reclaim,fixed_4r_2r,no_data,20,0.3,-3.479345,-69.5869
avwap_50_reclaim,hybrid_50pct_target,no_data,20,0.55,-40.237565000000004,-804.7513
avwap_50_reclaim,ma_exit_ema9,no_data,20,0.35,-1.7990400000000002,-35.9808
avwap_50_reclaim,mfe_lockin_trail,no_data,20,0.25,-1.8999549999999998,-37.9991
avwap_50_reclaim,multi_tier_partial,no_data,20,0.35,-1.5074100000000001,-30.148200000000003
avwap_50_reclaim,next_pivot_target,no_data,20,0.55,-3.29933,-65.9866
avwap_50_reclaim,r_multiple_2r,no_data,20,0.3,-1.6270999999999998,-32.541999999999994
avwap_50_reclaim,r_multiple_3r,no_data,20,0.25,-1.890815,-37.8163
avwap_50_reclaim,regime_flip,no_data,20,0.55,-7.9386849999999995,-158.7737
avwap_50_reclaim,reverse_signal,no_data,20,0.25,-1.8290099999999998,-36.5802
avwap_50_reclaim,smc_mitigation_zone,no_data,20,0.25,-1.566995,-31.3399
avwap_50_reclaim,time_stop_10d,no_data,20,0.35,-3.6844499999999996,-73.689
avwap_50_reclaim,time_stop_20d,no_data,20,0.55,-7.9386849999999995,-158.7737
avwap_50_reclaim,trailing_10pct,no_data,20,0.3,-3.4542949999999997,-69.0859
avwap_50_reclaim,trailing_15pct,no_data,20,0.3,-4.63416,-92.68319999999999
avwap_50_reclaim,trailing_5pct,no_data,20,0.35,-1.22296,-24.4592
cpr_narrow_bullish,atr_trail_1x,no_data,25,0.24,-1.547356,-38.6839
cpr_narrow_bullish,atr_trail_2x,no_data,25,0.36,0.266448,6.6612
cpr_narrow_bullish,atr_trail_mae_conditional,no_data,25,0.24,-1.547356,-38.6839
cpr_narrow_bullish,atr_trail_vix_conditional,no_data,25,0.16,-1.302512,-32.562799999999996
cpr_narrow_bullish,break_even_at_1r,no_data,25,0.04,-0.40926,-10.2315
cpr_narrow_bullish,breakeven_plus_trail,no_data,25,0.24,1.4028639999999999,35.0716
cpr_narrow_bullish,chandelier_3x,no_data,25,0.32,-0.42661599999999994,-10.665399999999998
cpr_narrow_bullish,class_time_stop,no_data,25,0.44,-1.21592,-30.397999999999996
cpr_narrow_bullish,earnings_blackout,no_data,25,0.44,-12.684216000000001,-317.10540000000003
cpr_narrow_bullish,fixed_4r_2r,no_data,25,0.32,-0.22643600000000003,-5.660900000000001
cpr_narrow_bullish,hybrid_50pct_target,no_data,25,0.52,-22.69156,-567.289
cpr_narrow_bullish,ma_exit_ema9,no_data,25,0.48,0.580244,14.5061
cpr_narrow_bullish,mfe_lockin_trail,no_data,25,0.24,-1.510496,-37.7624
cpr_narrow_bullish,multi_tier_partial,no_data,25,0.48,-0.879932,-21.9983
cpr_narrow_bullish,next_pivot_target,no_data,25,0.72,0.651584,16.2896
cpr_narrow_bullish,r_multiple_2r,no_data,25,0.28,-0.9485000000000001,-23.712500000000002
cpr_narrow_bullish,r_multiple_3r,no_data,25,0.16,-1.351356,-33.7839
cpr_narrow_bullish,regime_flip,no_data,25,0.32,-1.6635600000000001,-41.589000000000006
cpr_narrow_bullish,reverse_signal,no_data,25,0.24,-1.547356,-38.6839
cpr_narrow_bullish,smc_mitigation_zone,no_data,25,0.36,-0.930496,-23.2624
cpr_narrow_bullish,time_stop_10d,no_data,25,0.52,0.483732,12.0933
cpr_narrow_bullish,time_stop_20d,no_data,25,0.32,-1.6635600000000001,-41.589000000000006
cpr_narrow_bullish,trailing_10pct,no_data,25,0.32,-1.163628,-29.090700000000005
cpr_narrow_bullish,trailing_15pct,no_data,25,0.2,-4.63786,-115.9465
cpr_narrow_bullish,trailing_5pct,no_data,25,0.32,-0.6801200000000001,-17.003
cpr_narrow_momentum,atr_trail_1x,no_data,5,0.0,-3.3721599999999996,-16.860799999999998
cpr_narrow_momentum,atr_trail_2x,no_data,5,0.0,-5.36332,-26.8166
cpr_narrow_momentum,atr_trail_mae_conditional,no_data,5,0.0,-3.3721599999999996,-16.860799999999998
cpr_narrow_momentum,atr_trail_vix_conditional,no_data,5,0.0,-3.71212,-18.5606
cpr_narrow_momentum,break_even_at_1r,no_data,5,0.0,-3.336,-16.68
cpr_narrow_momentum,breakeven_plus_trail,no_data,5,0.0,-4.4307,-22.1535
cpr_narrow_momentum,chandelier_3x,no_data,5,0.0,-3.47732,-17.3866
cpr_narrow_momentum,class_time_stop,no_data,5,0.2,-4.6716,-23.358
cpr_narrow_momentum,earnings_blackout,no_data,5,0.4,-2.5720399999999994,-12.860199999999997
cpr_narrow_momentum,fixed_4r_2r,no_data,5,0.0,-5.72368,-28.6184
cpr_narrow_momentum,hybrid_50pct_target,no_data,5,0.6,-4.00414,-20.020699999999998
cpr_narrow_momentum,ma_exit_ema9,no_data,5,0.0,-1.8630600000000002,-9.3153
cpr_narrow_momentum,mfe_lockin_trail,no_data,5,0.0,-3.3721599999999996,-16.860799999999998
cpr_narrow_momentum,multi_tier_partial,no_data,5,0.2,-3.18694,-15.9347
cpr_narrow_momentum,next_pivot_target,no_data,5,0.2,-5.63414,-28.1707
cpr_narrow_momentum,r_multiple_2r,no_data,5,0.0,-3.72256,-18.6128
cpr_narrow_momentum,r_multiple_3r,no_data,5,0.0,-3.72256,-18.6128
cpr_narrow_momentum,regime_flip,no_data,5,0.2,-4.459560000000001,-22.297800000000002
cpr_narrow_momentum,reverse_signal,no_data,5,0.0,-3.3721599999999996,-16.860799999999998
cpr_narrow_momentum,smc_mitigation_zone,no_data,5,0.2,-3.0206,-15.103
cpr_narrow_momentum,time_stop_10d,no_data,5,0.0,-4.48526,-22.4263
cpr_narrow_momentum,time_stop_20d,no_data,5,0.2,-4.459560000000001,-22.297800000000002
cpr_narrow_momentum,trailing_10pct,no_data,5,0.4,-1.5340200000000004,-7.6701000000000015
cpr_narrow_momentum,trailing_15pct,no_data,5,0.4,-1.7284,-8.642
cpr_narrow_momentum,trailing_5pct,no_data,5,0.0,-5.03822,-25.1911
cup_and_handle_long,atr_trail_1x,no_data,21,0.09523809523809523,-0.9985047619047618,-20.9686
cup_and_handle_long,atr_trail_2x,no_data,21,0.5238095238095238,1.7479666666666664,36.7073
cup_and_handle_long,atr_trail_mae_conditional,no_data,21,0.09523809523809523,-0.9985047619047618,-20.9686
cup_and_handle_long,atr_trail_vix_conditional,no_data,21,0.3333333333333333,0.7265190476190476,15.2569
cup_and_handle_long,break_even_at_1r,no_data,21,0.09523809523809523,-0.17319523809523804,-3.637099999999999
cup_and_handle_long,breakeven_plus_trail,no_data,21,0.5238095238095238,10.114714285714285,212.409
cup_and_handle_long,chandelier_3x,no_data,21,0.47619047619047616,4.488785714285714,94.2645
cup_and_handle_long,class_time_stop,no_data,21,0.6666666666666666,4.8474,101.7954
cup_and_handle_long,earnings_blackout,no_data,21,0.8095238095238095,23.24487142857143,488.1423
cup_and_handle_long,fixed_4r_2r,no_data,21,0.6190476190476191,3.818809523809524,80.19500000000001
cup_and_handle_long,hybrid_50pct_target,no_data,21,0.7619047619047619,5.332123809523809,111.9746
cup_and_handle_long,ma_exit_ema9,no_data,21,0.2857142857142857,0.5887238095238095,12.3632
cup_and_handle_long,mfe_lockin_trail,no_data,21,0.09523809523809523,-0.9985047619047618,-20.9686
cup_and_handle_long,multi_tier_partial,no_data,21,0.19047619047619047,-0.8192190476190477,-17.2036
cup_and_handle_long,next_pivot_target,no_data,21,0.8571428571428571,1.3339095238095238,28.0121
cup_and_handle_long,r_multiple_2r,no_data,21,0.3333333333333333,0.11768095238095244,2.471300000000001
cup_and_handle_long,r_multiple_3r,no_data,21,0.3333333333333333,0.7597952380952381,15.9557
cup_and_handle_long,regime_flip,no_data,21,0.6666666666666666,3.412728571428571,71.6673
cup_and_handle_long,reverse_signal,no_data,21,0.09523809523809523,-0.9985047619047618,-20.9686
cup_and_handle_long,smc_mitigation_zone,no_data,21,0.19047619047619047,-0.8536761904761905,-17.9272
cup_and_handle_long,time_stop_10d,no_data,21,0.6666666666666666,1.229857142857143,25.827
cup_and_handle_long,time_stop_20d,no_data,21,0.6666666666666666,3.412728571428571,71.6673
cup_and_handle_long,trailing_10pct,no_data,21,0.6666666666666666,8.105685714285713,170.21939999999998
cup_and_handle_long,trailing_15pct,no_data,21,0.7619047619047619,11.283842857142858,236.9607
cup_and_handle_long,trailing_5pct,no_data,21,0.5238095238095238,4.7564714285714285,99.88589999999999
double_bottom_long,atr_trail_1x,no_data,21,0.2857142857142857,-0.884652380952381,-18.5777
double_bottom_long,atr_trail_2x,no_data,21,0.3333333333333333,-0.30964285714285716,-6.5025
double_bottom_long,atr_trail_mae_conditional,no_data,21,0.2857142857142857,-0.884652380952381,-18.5777
double_bottom_long,atr_trail_vix_conditional,no_data,21,0.2857142857142857,-0.3770619047619047,-7.9182999999999995
double_bottom_long,break_even_at_1r,no_data,21,0.047619047619047616,-0.6531666666666667,-13.7165
double_bottom_long,breakeven_plus_trail,no_data,21,0.14285714285714285,0.8187523809523809,17.1938
