tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,11,0.2727,0.4317,1.1183,4.7482,HIGH
HIGH,225,0.3422,0.7918,1.2581,178.148,MEDIUM
MEDIUM_HIGH,15,0.4,-0.8877,0.7574,-13.3161,MEDIUM
MEDIUM,9,0.4444,5.6689,2.9275,51.02,LOW
