strategy,point_sharpe,ci_low,ci_high,n_trades,method
bollinger_lower,2.0145779228895524,,,25,insufficient_sample
bollinger_tight,-5.653613494793124,-11.675944665884131,-0.7629429331487607,35,bootstrap
cmf_flip,-7.796253003645435,,,5,insufficient_sample
cpr_narrow_bullish,-3.6474541161828453,-8.902297654221087,0.1769050236266572,78,bootstrap
hull_rsi,-1.622867639809576,,,11,insufficient_sample
ichimoku_cloud_breakout,-51.543693549893206,,,4,insufficient_sample
macd_crossover,2.8064997677406054,,,8,insufficient_sample
macd_fast_crossover,0.0,,,1,insufficient_sample
morning_star,0.0,,,1,insufficient_sample
pivot_r1_breakout,-1.5539201071190485,,,17,insufficient_sample
pivot_r2_continuation,5.633137859574098,,,5,insufficient_sample
pivot_s1_bounce,0.0,,,1,insufficient_sample
pivot_s2_bounce,0.0,,,1,insufficient_sample
stochrsi_oversold,-4.630890855601287,,,29,insufficient_sample
supertrend_macd,-15.782879889344976,,,3,insufficient_sample
tema_dema,0.0,,,1,insufficient_sample
ultimate_oscillator,0.0,,,1,insufficient_sample
williams_r_oversold,-4.211340392620009,,,11,insufficient_sample
williams_stoch_dual,-53.1758137848113,,,4,insufficient_sample
