strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
bollinger_lower,earnings_blackout,25,0.76,11.3297,120.4717,3011.792,-152.3732,897.6,60.4,True
bollinger_lower,class_time_stop,25,0.52,3.9304,10.3849,259.6237,-16.5694,36.1,55.95,False
bollinger_lower,time_stop_20d,25,0.64,3.2148,7.7751,194.377,-28.7884,29.0,55.6,False
bollinger_lower,regime_flip,25,0.64,3.2148,7.7751,194.377,-28.7884,29.0,55.6,False
bollinger_lower,hybrid_50pct_target,25,0.6,2.5335,6.1342,153.3544,-31.7763,76.0,54.0,False
bollinger_lower,breakeven_plus_trail,25,0.44,3.04,7.9237,198.0937,-57.0462,65.6,47.6,False
bollinger_lower,trailing_10pct,25,0.4,1.928,4.3142,107.8551,-80.079,64.6,43.84,False
bollinger_lower,trailing_15pct,25,0.4,1.806,4.9364,123.4111,-115.6425,102.0,40.18,False
bollinger_lower,break_even_at_1r,25,0.08,1.7997,2.5928,64.8198,-54.5665,11.7,27.19,False
bollinger_lower,r_multiple_3r,25,0.32,1.4604,1.7237,43.0933,-28.7001,16.9,26.61,False
bollinger_lower,atr_trail_2x,25,0.36,1.3883,1.9231,48.0784,-69.6179,21.8,26.05,False
bollinger_lower,next_pivot_target,25,0.56,0.5419,-2.0161,-50.4023,-56.2323,16.1,22.4,False
bollinger_lower,time_stop_10d,25,0.52,1.031,0.1017,2.5418,-43.9387,14.4,21.73,False
bollinger_lower,r_multiple_2r,25,0.36,1.0818,0.2955,7.3885,-28.7001,12.8,16.85,False
bollinger_lower,trailing_5pct,25,0.36,0.8479,-0.3772,-9.4298,-33.4759,16.5,14.4,False
bollinger_lower,fixed_4r_2r,25,0.36,0.8003,-1.4937,-37.3419,-118.6935,34.7,14.4,False
bollinger_lower,ma_exit_ema9,25,0.36,0.3769,-0.8637,-21.5928,-25.8134,1.0,14.4,False
bollinger_lower,atr_trail_1x,25,0.28,0.3967,-1.6339,-40.8476,-45.0694,6.5,11.2,False
macd_crossover,next_pivot_target,8,0.875,6.4821,3.0228,24.1828,-4.4112,10.8,88.38,True
macd_crossover,hybrid_50pct_target,8,0.875,10.5096,11.887,95.0962,-10.0,124.6,80.0,False
macd_crossover,time_stop_10d,8,0.625,6.7009,3.0246,24.1968,-3.9056,14.6,79.14,False
macd_crossover,fixed_4r_2r,8,0.5,2.9099,6.4511,51.6084,-14.0983,42.9,58.85,False
macd_crossover,trailing_15pct,8,0.625,6.7817,15.0423,120.3384,-19.5554,188.1,55.67,False
macd_crossover,atr_trail_2x,8,0.5,1.7599,1.4111,11.2886,-14.143,23.9,51.58,False
macd_crossover,breakeven_plus_trail,8,0.375,2.8536,3.8099,30.4795,-16.4432,31.6,50.34,False
macd_crossover,time_stop_20d,8,0.75,1.063,0.1625,1.3001,-17.3883,29.1,35.81,False
macd_crossover,regime_flip,8,0.75,1.063,0.1625,1.3001,-17.3883,29.1,35.81,False
macd_crossover,earnings_blackout,8,0.75,0.4183,-87.5631,-700.5046,-1189.4172,1206.1,30.0,False
macd_crossover,trailing_10pct,8,0.375,1.3527,0.9675,7.7401,-21.9474,52.5,25.58,False
macd_crossover,ma_exit_ema9,8,0.125,0.6062,-0.7593,-6.0746,-8.318,9.2,22.52,False
macd_crossover,break_even_at_1r,8,0.0,0.0,-2.0262,-16.2098,-8.7768,5.8,16.83,False
macd_crossover,class_time_stop,8,0.375,0.5648,-2.3214,-18.5711,-31.1967,36.4,15.0,False
macd_crossover,trailing_5pct,8,0.25,0.2961,-1.9312,-15.4498,-16.9676,14.4,14.55,False
macd_crossover,atr_trail_1x,8,0.0,0.0,-2.4325,-19.46,-12.2715,4.4,11.59,False
macd_crossover,r_multiple_2r,8,0.125,0.2517,-2.7556,-22.045,-22.0274,11.6,5.0,False
macd_crossover,r_multiple_3r,8,0.125,0.3776,-2.2922,-18.3373,-22.0274,12.2,5.0,False
cmf_flip,earnings_blackout,5,1.0,999.0,52.7027,263.5133,0.0,1335.4,100.0,True
cmf_flip,next_pivot_target,5,1.0,999.0,3.7432,18.7159,0.0,5.0,100.0,False
cmf_flip,time_stop_10d,5,0.6,2.4046,2.3671,11.8353,-8.4262,14.8,71.36,False
cmf_flip,breakeven_plus_trail,5,0.2,999.0,1.1462,5.7312,0.0,35.8,68.0,False
cmf_flip,ma_exit_ema9,5,0.4,1.7401,0.5917,2.9585,-1.2262,3.0,66.36,False
cmf_flip,hybrid_50pct_target,5,0.6,0.7826,-0.8696,-4.3481,-10.0,37.4,39.0,False
cmf_flip,regime_flip,5,0.6,0.6405,-1.8333,-9.1665,-11.1454,29.2,37.28,False
cmf_flip,time_stop_20d,5,0.6,0.6405,-1.8333,-9.1665,-11.1454,29.2,37.28,False
cmf_flip,atr_trail_2x,5,0.4,0.925,-0.1536,-0.7679,-7.3239,19.6,35.01,False
cmf_flip,atr_trail_1x,5,0.2,0.0777,-1.8991,-9.4957,-4.2531,3.6,31.62,False
cmf_flip,r_multiple_2r,5,0.2,0.332,-2.0064,-10.0318,-6.6484,4.4,28.03,False
cmf_flip,r_multiple_3r,5,0.2,0.498,-1.5077,-7.5386,-6.6484,4.4,28.03,False
cmf_flip,trailing_5pct,5,0.2,0.1594,-2.3882,-11.9409,-6.9409,8.0,27.59,False
cmf_flip,trailing_10pct,5,0.2,0.4519,-1.3902,-6.9511,-7.8823,36.6,26.18,False
cmf_flip,fixed_4r_2r,5,0.4,0.9453,-0.2599,-1.2997,-13.2968,42.4,26.05,False
cmf_flip,trailing_15pct,5,0.2,0.0372,-4.1126,-20.5629,-11.1048,123.4,21.34,False
cmf_flip,break_even_at_1r,5,0.0,0.0,-2.2783,-11.3915,-6.1489,3.6,20.78,False
cmf_flip,class_time_stop,5,0.4,0.3735,-4.2529,-21.2645,-19.2807,36.2,17.08,False
williams_r_oversold,regime_flip,11,0.8182,34.2203,8.373,92.1034,-2.5285,28.8,88.94,True
williams_r_oversold,time_stop_20d,11,0.8182,34.2203,8.373,92.1034,-2.5285,28.8,88.94,False
williams_r_oversold,next_pivot_target,11,0.9091,3.6111,3.0946,34.0411,-13.0372,16.5,76.81,False
williams_r_oversold,breakeven_plus_trail,11,0.4545,9.7927,3.4092,37.5016,-4.2651,36.8,71.78,False
williams_r_oversold,class_time_stop,11,0.7273,2.6147,2.4331,26.7645,-12.8125,35.8,69.87,False
williams_r_oversold,break_even_at_1r,11,0.2727,4.2255,1.419,15.6087,-4.8391,12.4,63.65,False
williams_r_oversold,time_stop_10d,11,0.4545,1.9833,1.8347,20.1813,-9.7947,14.5,62.99,False
williams_r_oversold,atr_trail_2x,11,0.5455,1.8388,1.7016,18.7175,-10.3843,20.9,61.41,False
williams_r_oversold,r_multiple_3r,11,0.4545,1.853,2.4327,26.76,-11.11,14.2,57.1,False
williams_r_oversold,earnings_blackout,11,0.5455,2.2456,14.5203,159.7236,-42.0106,696.9,51.82,False
williams_r_oversold,fixed_4r_2r,11,0.5455,3.2664,6.9934,76.9275,-24.2648,39.5,51.82,False
williams_r_oversold,r_multiple_2r,11,0.4545,1.5803,1.6549,18.2037,-11.11,10.3,48.92,False
williams_r_oversold,atr_trail_1x,11,0.4545,1.2882,0.2966,3.2626,-9.7123,5.8,42.26,False
williams_r_oversold,trailing_5pct,11,0.5455,1.1438,0.2141,2.3547,-12.6391,15.1,37.18,False
williams_r_oversold,ma_exit_ema9,11,0.3636,0.5329,-0.534,-5.8742,-11.9075,1.0,26.68,False
williams_r_oversold,hybrid_50pct_target,11,0.5455,1.0637,0.2897,3.1872,-26.1474,47.7,23.73,False
williams_r_oversold,trailing_10pct,11,0.3636,0.6462,-1.0798,-11.8781,-31.2795,44.2,14.54,False
williams_r_oversold,trailing_15pct,11,0.2727,0.7598,-1.2316,-13.5479,-41.5443,75.4,10.91,False
pivot_r1_breakout,earnings_blackout,17,0.5882,2.7387,24.2581,412.3884,-85.9125,670.4,53.53,True
pivot_r1_breakout,breakeven_plus_trail,17,0.2941,3.8276,5.4568,92.7658,-18.3068,38.9,44.3,False
pivot_r1_breakout,trailing_15pct,17,0.4118,1.3632,2.5495,43.342,-38.5224,104.4,27.37,False
pivot_r1_breakout,next_pivot_target,17,0.5294,0.9657,-0.1059,-1.8009,-16.4053,16.6,26.57,False
pivot_r1_breakout,ma_exit_ema9,17,0.2941,1.393,1.2385,21.0543,-37.62,10.4,23.55,False
pivot_r1_breakout,class_time_stop,17,0.4118,1.0887,0.4828,8.2072,-57.5209,36.1,19.13,False
pivot_r1_breakout,regime_flip,17,0.4706,0.9406,-0.3657,-6.2166,-56.6342,28.9,18.82,False
pivot_r1_breakout,time_stop_20d,17,0.4706,0.9406,-0.3657,-6.2166,-56.6342,28.9,18.82,False
pivot_r1_breakout,time_stop_10d,17,0.3529,1.1119,0.4059,6.8997,-37.7342,14.5,17.47,False
pivot_r1_breakout,hybrid_50pct_target,17,0.4118,0.8288,-0.9838,-16.7252,-40.0,69.2,16.47,False
pivot_r1_breakout,trailing_10pct,17,0.3529,0.7274,-1.3705,-23.2986,-28.9064,46.1,14.12,False
pivot_r1_breakout,fixed_4r_2r,17,0.2941,0.8561,-0.7114,-12.0939,-36.7021,22.4,11.76,False
pivot_r1_breakout,atr_trail_2x,17,0.2353,0.7198,-1.0321,-17.5455,-45.7218,14.4,9.41,False
pivot_r1_breakout,trailing_5pct,17,0.1765,0.1751,-2.648,-45.0161,-42.367,5.4,7.06,False
pivot_r1_breakout,atr_trail_1x,17,0.1765,0.0744,-2.0712,-35.2097,-34.5211,3.2,7.06,False
pivot_r1_breakout,r_multiple_2r,17,0.1765,0.4161,-1.8615,-31.6455,-34.1562,4.8,7.06,False
pivot_r1_breakout,r_multiple_3r,17,0.0588,0.1477,-3.1285,-53.1841,-50.0285,8.9,2.35,False
pivot_r1_breakout,break_even_at_1r,17,0.0,0.0,-2.383,-40.5118,-40.32,3.0,0.0,False
hull_rsi,next_pivot_target,11,0.9091,16.7669,9.7247,106.9718,-6.7846,112.0,86.19,True
hull_rsi,earnings_blackout,11,0.8182,9.9724,88.2088,970.2963,-15.027,722.2,70.19,False
hull_rsi,atr_trail_2x,11,0.7273,6.88,10.6128,116.7409,-13.8087,141.1,68.38,False
hull_rsi,hybrid_50pct_target,11,0.7273,3.6785,7.3049,80.3538,-20.0,192.3,59.09,False
hull_rsi,breakeven_plus_trail,11,0.4545,3.0559,3.6935,40.6283,-12.9776,162.4,58.71,False
hull_rsi,time_stop_10d,11,0.6364,2.5506,3.835,42.1848,-19.2842,113.3,56.53,False
hull_rsi,class_time_stop,11,0.5455,2.3088,5.2049,57.2542,-28.7443,134.7,51.82,False
hull_rsi,atr_trail_1x,11,0.2727,3.3024,5.3847,59.232,-13.8245,114.6,50.17,False
hull_rsi,regime_flip,11,0.6364,1.7495,2.8433,31.2768,-27.3401,127.9,47.94,False
hull_rsi,time_stop_20d,11,0.6364,1.7495,2.8433,31.2768,-27.3401,127.9,47.94,False
hull_rsi,ma_exit_ema9,11,0.4545,1.5295,1.135,12.4855,-20.9794,113.4,34.07,False
hull_rsi,trailing_5pct,11,0.5455,0.1179,-9.2032,-101.2348,-14.947,129.0,29.4,False
hull_rsi,trailing_15pct,11,0.6364,1.0527,0.6343,6.9778,-25.3206,209.6,27.04,False
hull_rsi,r_multiple_3r,11,0.3636,0.4567,-6.1291,-67.4196,-13.8245,122.8,23.81,False
hull_rsi,r_multiple_2r,11,0.3636,0.3044,-7.8461,-86.3073,-13.8245,119.7,23.81,False
hull_rsi,fixed_4r_2r,11,0.5455,0.6546,-4.1733,-45.9058,-19.565,136.6,22.47,False
hull_rsi,trailing_10pct,11,0.4545,0.8103,-2.2495,-24.745,-34.4134,172.7,18.18,False
hull_rsi,break_even_at_1r,11,0.0909,0.1412,-9.6977,-106.6746,-15.56,115.4,10.3,False
pivot_r2_continuation,r_multiple_2r,5,0.6,6.002,3.3003,16.5017,-1.7712,3.2,81.34,True
pivot_r2_continuation,ma_exit_ema9,5,0.6,5.1639,3.6773,18.3863,-2.2357,19.8,80.65,False
pivot_r2_continuation,next_pivot_target,5,0.6,2.9692,2.9464,14.7318,-3.5423,7.8,78.69,False
pivot_r2_continuation,fixed_4r_2r,5,0.6,4.7496,5.6102,28.0512,-3.5423,12.4,78.69,False
pivot_r2_continuation,time_stop_10d,5,0.6,2.5394,1.7659,8.8293,-3.8156,14.6,78.28,False
pivot_r2_continuation,hybrid_50pct_target,5,0.8,2.2685,2.537,12.685,-10.0,38.2,77.0,False
pivot_r2_continuation,r_multiple_3r,5,0.4,4.1883,3.3595,16.7973,-1.7712,5.6,73.34,False
pivot_r2_continuation,atr_trail_2x,5,0.4,5.7997,3.8421,19.2104,-3.4376,17.4,70.84,False
pivot_r2_continuation,breakeven_plus_trail,5,0.4,4.6512,2.5867,12.9337,-3.5423,25.6,70.69,False
pivot_r2_continuation,trailing_10pct,5,0.6,3.3295,7.8378,39.189,-9.9922,73.4,69.01,False
pivot_r2_continuation,trailing_5pct,5,0.4,2.3501,2.3435,11.7173,-4.9917,23.0,68.51,False
pivot_r2_continuation,earnings_blackout,5,0.8,10.7127,34.3887,171.9436,-17.7029,345.0,65.45,False
pivot_r2_continuation,break_even_at_1r,5,0.2,3.0011,0.8079,4.0397,-1.8873,3.8,65.17,False
pivot_r2_continuation,atr_trail_1x,5,0.4,1.706,0.4742,2.371,-1.8305,2.6,64.43,False
pivot_r2_continuation,regime_flip,5,0.6,1.6002,1.6413,8.2066,-6.7097,28.6,61.94,False
pivot_r2_continuation,time_stop_20d,5,0.6,1.6002,1.6413,8.2066,-6.7097,28.6,61.94,False
pivot_r2_continuation,class_time_stop,5,0.6,1.5856,2.4022,12.0111,-15.1262,35.6,48.88,False
pivot_r2_continuation,trailing_15pct,5,0.6,1.5346,2.594,12.97,-14.9926,107.0,47.55,False
