date,bullish,neutral,bearish,bull_bear_spread
2020-01-02,0.372159,0.409091,0.21875,0.15340900000000002
2020-01-09,0.330688,0.37037,0.298942,0.031745999999999996
2020-01-16,0.418338,0.30659,0.275072,0.143266
2020-01-23,0.456019,0.296296,0.247685,0.20833400000000002
2020-01-30,0.319783,0.311653,0.368564,-0.04878100000000002
2020-02-06,0.33871,0.30914,0.352151,-0.01344099999999998
2020-02-13,0.413333,0.322667,0.264,0.149333
2020-02-20,0.405594,0.307692,0.286713,0.11888100000000001
2020-02-27,0.304348,0.304348,0.391304,-0.08695599999999998
2020-03-05,0.387387,0.216216,0.396396,-0.009009000000000045
2020-03-12,0.297386,0.189542,0.513072,-0.215686
2020-03-19,0.343511,0.145038,0.51145,-0.16793899999999995
2020-03-26,0.329016,0.150259,0.520725,-0.19170900000000002
2020-04-02,0.342391,0.160326,0.497283,-0.15489199999999997
2020-04-09,0.365994,0.18732,0.446686,-0.08069200000000004
2020-04-16,0.348601,0.223919,0.427481,-0.07888
2020-04-23,0.248634,0.251366,0.5,-0.251366
2020-04-30,0.30597,0.253731,0.440299,-0.13432899999999998
2020-05-07,0.236686,0.236686,0.526627,-0.28994099999999995
2020-05-14,0.233129,0.260736,0.506135,-0.27300599999999997
2020-05-21,0.290043,0.25974,0.450216,-0.160173
2020-05-28,0.330709,0.248031,0.42126,-0.09055100000000005
2020-06-04,0.345515,0.265781,0.388704,-0.04318899999999998
2020-06-11,0.342767,0.27673,0.380503,-0.03773599999999999
2020-06-18,0.243671,0.278481,0.477848,-0.234177
2020-06-25,0.241379,0.269592,0.489028,-0.247649
2020-07-02,0.221519,0.31962,0.458861,-0.23734200000000003
2020-07-09,0.271552,0.301724,0.426724,-0.15517199999999998
2020-07-16,0.30837,0.237885,0.453744,-0.145374
2020-07-23,0.260563,0.271127,0.46831,-0.20774700000000001
2020-07-30,0.20229,0.312977,0.484733,-0.282443
2020-08-06,0.232877,0.291096,0.476027,-0.24314999999999998
2020-08-13,0.300366,0.278388,0.421245,-0.12087899999999996
2020-08-20,0.303887,0.272085,0.424028,-0.120141
2020-08-27,0.320755,0.283019,0.396226,-0.07547100000000001
2020-09-03,0.308017,0.274262,0.417722,-0.109705
2020-09-10,0.237113,0.278351,0.484536,-0.24742300000000003
2020-09-17,0.320197,0.275862,0.403941,-0.08374399999999999
2020-09-24,0.248945,0.291139,0.459916,-0.210971
2020-10-01,0.262376,0.306931,0.430693,-0.168317
2020-10-08,0.347418,0.262911,0.389671,-0.042252999999999985
2020-10-15,0.347826,0.294686,0.357488,-0.009661999999999948
2020-10-22,0.357466,0.312217,0.330317,0.02714899999999998
2020-10-29,0.352941,0.294118,0.352941,0.0
2020-11-05,0.37963,0.305556,0.314815,0.06481500000000001
2020-11-12,0.558376,0.192893,0.248731,0.30964499999999995
2020-11-19,0.443515,0.292887,0.263598,0.179917
2020-11-27,0.472527,0.252747,0.274725,0.19780199999999998
2020-12-03,0.490706,0.282528,0.226766,0.26393999999999995
2020-12-10,0.480565,0.250883,0.268551,0.21201400000000004
2020-12-17,0.434263,0.302789,0.262948,0.171315
2020-12-24,0.435685,0.344398,0.219917,0.215768
2020-12-31,0.460784,0.271242,0.267974,0.19281000000000004
2021-01-07,0.4519,0.2308,0.3173,0.1346
2021-01-21,0.425466,0.229814,0.34472,0.08074599999999998
2021-01-28,0.376623,0.24026,0.383117,-0.006494
2021-02-04,0.373529,0.270588,0.355882,0.017647000000000024
2021-02-11,0.454545,0.282828,0.262626,0.19191899999999995
2021-02-18,0.470588,0.275542,0.25387,0.21671800000000002
2021-02-25,0.459283,0.302932,0.237785,0.221498
2021-03-04,0.402597,0.344156,0.253247,0.14934999999999998
2021-03-11,0.494118,0.270588,0.235294,0.258824
