strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
smc_liquidity_sweep_reversal,0.0,0.9,inf,0.2
cmf_flip,0.0,0.9,inf,0.2
po3_htf_aligned_long,0.0,0.9,inf,0.2
pivot_s1_bounce,0.0,0.9,inf,0.2
monthly_bias_momentum_long,0.0,0.8,inf,0.4
smc_discount_long,0.0,0.9,inf,0.2
lead_lag_sector_rotation,0.0,0.9,inf,0.2
macd_fast_crossover,0.0,0.53336,1.77848,0.4
orb_stocks_in_play_short,0.0,0.45,53.68519,0.2
pivot_r1_breakout,0.0,0.4,1.0928,0.4
ultimate_oscillator,0.0,0.45,0.8995,0.2
po3_htf_aligned_short,0.0,0.45,0.6192,0.2
avwap_252_breakout,0.0,0.4,0.318,0.4
bollinger_lower,0.0,0.45,0.1004,0.2
avwap_50_reclaim,0.0,0.32724,1.59076,0.2
bollinger_tight,0.0,0.29997,0.5802,0.2
williams_r_oversold,0.0,0.29997,0.5549,0.2
cpr_narrow_bullish,0.0,0.29034,0.4945,0.2
po3_bullish,0.0,0.23688,1.58284,0.2
xs_momentum_top_decile,0.0,0.2,0.5719,0.4
hull_rsi,0.0,0.2,0.3197,0.4
smc_choch_reversal,0.0,0.15003,0.1325,0.2
po3_bearish,0.0,0.1125,0.1524,0.2
rsi_oversold,0.0,0.0,0.0,0.4
supertrend_macd,0.0,0.0,0.0,0.4
ichimoku_cloud_breakout,0.0,0.0,0.0,0.4
smc_bos_continuation,0.0,0.0,0.0,0.2
smc_inverse_fvg,0.0,0.0,0.0,0.2
smc_order_block_bounce,0.0,0.0,0.0,0.2
htf_aligned_breakout_long,0.0,0.0,0.0,0.4
stochrsi_oversold,0.0,0.0,0.0,0.4
