strategy,exit_method,vix_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_50_reclaim,atr_trail_1x,13.48,1,0.0,-1.7679,-1.7679
avwap_50_reclaim,atr_trail_1x,17.03,1,0.0,-0.9418,-0.9418
avwap_50_reclaim,atr_trail_1x,17.12,2,0.0,-1.12755,-2.2551
avwap_50_reclaim,atr_trail_1x,17.54,1,1.0,5.2492,5.2492
avwap_50_reclaim,atr_trail_1x,17.61,1,0.0,-1.5289,-1.5289
avwap_50_reclaim,atr_trail_1x,19.75,1,0.0,-8.8233,-8.8233
avwap_50_reclaim,atr_trail_1x,21.67,1,1.0,0.4346,0.4346
avwap_50_reclaim,atr_trail_1x,23.8,2,0.0,-3.8579,-7.7158
avwap_50_reclaim,atr_trail_1x,36.45,1,0.0,-3.6682,-3.6682
avwap_50_reclaim,atr_trail_2x,13.48,1,0.0,-3.5357,-3.5357
avwap_50_reclaim,atr_trail_2x,17.03,1,0.0,-2.7604,-2.7604
avwap_50_reclaim,atr_trail_2x,17.12,2,0.0,-2.7098500000000003,-5.419700000000001
avwap_50_reclaim,atr_trail_2x,17.54,1,1.0,5.2492,5.2492
avwap_50_reclaim,atr_trail_2x,17.61,1,0.0,-3.0578,-3.0578
avwap_50_reclaim,atr_trail_2x,19.75,1,0.0,-11.4891,-11.4891
avwap_50_reclaim,atr_trail_2x,21.67,1,1.0,3.9224,3.9224
avwap_50_reclaim,atr_trail_2x,23.8,2,1.0,15.4936,30.9872
avwap_50_reclaim,atr_trail_2x,36.45,1,0.0,-7.3364,-7.3364
avwap_50_reclaim,atr_trail_mae_conditional,13.48,1,0.0,-1.7679,-1.7679
avwap_50_reclaim,atr_trail_mae_conditional,17.03,1,0.0,-0.9418,-0.9418
avwap_50_reclaim,atr_trail_mae_conditional,17.12,2,0.0,-1.12755,-2.2551
avwap_50_reclaim,atr_trail_mae_conditional,17.54,1,1.0,5.2492,5.2492
avwap_50_reclaim,atr_trail_mae_conditional,17.61,1,0.0,-1.5289,-1.5289
avwap_50_reclaim,atr_trail_mae_conditional,19.75,1,0.0,-8.8233,-8.8233
avwap_50_reclaim,atr_trail_mae_conditional,21.67,1,1.0,0.4346,0.4346
avwap_50_reclaim,atr_trail_mae_conditional,23.8,2,0.0,-3.8579,-7.7158
avwap_50_reclaim,atr_trail_mae_conditional,36.45,1,0.0,-3.6682,-3.6682
avwap_50_reclaim,atr_trail_vix_conditional,13.48,1,0.0,-1.3259,-1.3259
avwap_50_reclaim,atr_trail_vix_conditional,17.03,1,0.0,-0.9418,-0.9418
avwap_50_reclaim,atr_trail_vix_conditional,17.12,2,0.0,-0.8001999999999999,-1.6003999999999998
avwap_50_reclaim,atr_trail_vix_conditional,17.54,1,1.0,5.2492,5.2492
avwap_50_reclaim,atr_trail_vix_conditional,17.61,1,0.0,-1.5289,-1.5289
avwap_50_reclaim,atr_trail_vix_conditional,19.75,1,0.0,-8.8233,-8.8233
avwap_50_reclaim,atr_trail_vix_conditional,21.67,1,1.0,4.8922,4.8922
avwap_50_reclaim,atr_trail_vix_conditional,23.8,2,0.0,-3.8579,-7.7158
avwap_50_reclaim,atr_trail_vix_conditional,36.45,1,0.0,-5.5023,-5.5023
avwap_50_reclaim,break_even_at_1r,13.48,1,0.0,-1.7679,-1.7679
avwap_50_reclaim,break_even_at_1r,17.03,1,0.0,-0.0843,-0.0843
avwap_50_reclaim,break_even_at_1r,17.12,2,0.0,-1.00315,-2.0063
avwap_50_reclaim,break_even_at_1r,17.54,1,1.0,0.2676,0.2676
avwap_50_reclaim,break_even_at_1r,17.61,1,0.0,-1.5289,-1.5289
avwap_50_reclaim,break_even_at_1r,19.75,1,0.0,-8.8233,-8.8233
avwap_50_reclaim,break_even_at_1r,21.67,1,0.0,0.0,0.0
avwap_50_reclaim,break_even_at_1r,23.8,2,0.0,-3.8579,-7.7158
avwap_50_reclaim,break_even_at_1r,36.45,1,0.0,-3.6682,-3.6682
avwap_50_reclaim,breakeven_plus_trail,13.48,1,0.0,-3.5357,-3.5357
avwap_50_reclaim,breakeven_plus_trail,17.03,1,0.0,-3.2165,-3.2165
avwap_50_reclaim,breakeven_plus_trail,17.12,2,0.0,-2.00625,-4.0125
avwap_50_reclaim,breakeven_plus_trail,17.54,1,1.0,0.2676,0.2676
avwap_50_reclaim,breakeven_plus_trail,17.61,1,0.0,0.0,0.0
avwap_50_reclaim,breakeven_plus_trail,19.75,1,0.0,-11.4891,-11.4891
avwap_50_reclaim,breakeven_plus_trail,21.67,1,0.0,0.0,0.0
avwap_50_reclaim,breakeven_plus_trail,23.8,2,1.0,23.0914,46.1828
avwap_50_reclaim,breakeven_plus_trail,36.45,1,0.0,-7.3364,-7.3364
avwap_50_reclaim,chandelier_3x,13.48,1,0.0,-3.7203,-3.7203
avwap_50_reclaim,chandelier_3x,17.03,1,0.0,-0.9467,-0.9467
avwap_50_reclaim,chandelier_3x,17.12,2,0.0,-3.5711000000000004,-7.142200000000001
avwap_50_reclaim,chandelier_3x,17.54,1,1.0,5.2492,5.2492
avwap_50_reclaim,chandelier_3x,17.61,1,1.0,1.755,1.755
avwap_50_reclaim,chandelier_3x,19.75,1,0.0,-14.3207,-14.3207
avwap_50_reclaim,chandelier_3x,21.67,1,1.0,2.9156,2.9156
avwap_50_reclaim,chandelier_3x,23.8,2,0.5,11.86905,23.7381
avwap_50_reclaim,chandelier_3x,36.45,1,0.0,-10.7267,-10.7267
avwap_50_reclaim,class_time_stop,13.48,1,0.0,-3.1342,-3.1342
avwap_50_reclaim,class_time_stop,17.03,1,1.0,1.1766,1.1766
avwap_50_reclaim,class_time_stop,17.12,2,0.5,-2.4638999999999998,-4.9277999999999995
avwap_50_reclaim,class_time_stop,17.54,1,1.0,3.449,3.449
avwap_50_reclaim,class_time_stop,17.61,1,1.0,1.8183,1.8183
avwap_50_reclaim,class_time_stop,19.75,1,0.0,-21.981,-21.981
avwap_50_reclaim,class_time_stop,21.67,1,1.0,5.7596,5.7596
avwap_50_reclaim,class_time_stop,23.8,2,1.0,20.3776,40.7552
avwap_50_reclaim,class_time_stop,36.45,1,0.0,-13.2312,-13.2312
avwap_50_reclaim,earnings_blackout,13.48,1,1.0,19.7722,19.7722
avwap_50_reclaim,earnings_blackout,17.03,1,1.0,15.9401,15.9401
avwap_50_reclaim,earnings_blackout,17.12,2,0.0,-15.729400000000002,-31.458800000000004
avwap_50_reclaim,earnings_blackout,17.54,1,0.0,-2.0034,-2.0034
avwap_50_reclaim,earnings_blackout,17.61,1,0.0,-1.4437,-1.4437
avwap_50_reclaim,earnings_blackout,19.75,1,0.0,-26.9682,-26.9682
avwap_50_reclaim,earnings_blackout,21.67,1,0.0,-3.4692,-3.4692
avwap_50_reclaim,earnings_blackout,23.8,2,0.0,-107.651,-215.302
avwap_50_reclaim,earnings_blackout,36.45,1,0.0,-37.2747,-37.2747
avwap_50_reclaim,fixed_4r_2r,13.48,1,0.0,-3.5357,-3.5357
avwap_50_reclaim,fixed_4r_2r,17.03,1,0.0,-3.2165,-3.2165
avwap_50_reclaim,fixed_4r_2r,17.12,2,0.5,1.4943,2.9886
avwap_50_reclaim,fixed_4r_2r,17.54,1,1.0,4.6375,4.6375
avwap_50_reclaim,fixed_4r_2r,17.61,1,0.0,-3.0578,-3.0578
avwap_50_reclaim,fixed_4r_2r,19.75,1,0.0,-11.4891,-11.4891
avwap_50_reclaim,fixed_4r_2r,21.67,1,1.0,8.3907,8.3907
avwap_50_reclaim,fixed_4r_2r,23.8,2,1.0,15.431750000000001,30.863500000000002
avwap_50_reclaim,fixed_4r_2r,36.45,1,0.0,-7.3364,-7.3364
