s,pooled,best_regime,uplift,null_uplift,n
institutional_insider_combo_long,0.614,1.47,0.856,0.08472499999999994,616
institutional_multi_quarter_persistence_long,0.635,1.476,0.841,0.11104999999999998,667
institutional_persistence_breakout_long,0.683,0.58,-0.10300000000000009,0.13572499999999987,136
institutional_persistence_momentum_long,0.492,0.47,-0.02200000000000002,0.09197499999999992,564
institutional_persistence_oversold_long,0.517,0.358,-0.15900000000000003,0.20677500000000004,199
institutional_persistence_volume_long,0.483,0.395,-0.08799999999999997,0.10972499999999996,286
institutional_persistent_holders_long,0.613,1.42,0.8069999999999999,0.07677500000000004,590
institutional_recent_init_momentum_long,0.494,0.498,0.0040000000000000036,0.08727499999999999,611
institutional_recent_init_volume_long,0.483,0.395,-0.08799999999999997,0.11997500000000005,286
institutional_strong_conviction_long,0.613,1.42,0.8069999999999999,0.10257499999999997,590
institutional_volume_confirmation_long,0.457,0.352,-0.10500000000000004,0.11617499999999997,295
m_and_a_target_long,0.365,0.36,-0.0050000000000000044,0.13832500000000003,274
macd_bullish_with_smart_money_long,0.574,0.732,0.15800000000000003,0.09912500000000002,277
macd_crossover,0.338,1.083,0.7449999999999999,0.09315000000000001,687
macd_crossover_short,0.086,0.156,0.07,0.15465000000000004,422
macd_fast_crossover,0.226,0.668,0.44200000000000006,0.10645000000000002,967
macd_ichimoku,0.332,1.083,0.7509999999999999,0.11249999999999999,685
mmbm_long,0.461,0.424,-0.03700000000000003,0.10002500000000009,349
mmsm_short,-0.09,-0.035,0.05499999999999999,0.17945,555
morning_star,0.036,0.976,0.94,0.132775,612
naked_poc_retest_long,0.461,0.573,0.11199999999999993,0.10535,413
news_sentiment_long,0.635,0.42,-0.21500000000000002,0.16979999999999995,173
pairs_mean_reversion_long,0.46,1.177,0.7170000000000001,0.071525,1261
pairs_mean_reversion_short,-0.153,-0.092,0.061,0.11412499999999999,1378
parabolic_sar_flip,0.185,1.253,1.0679999999999998,0.1663,401
parabolic_sar_flip_short,-0.4,-0.291,0.10900000000000004,0.23612500000000003,456
pead_long_high_yoy_growth_only,0.585,0.557,-0.027999999999999914,0.08962500000000007,422
pead_short,-0.254,-0.151,0.10300000000000001,0.231775,205
pead_short_negative_yoy_growth,-0.388,-0.248,0.14,0.195325,496
pivot_r1_breakout,0.27,0.37,0.09999999999999998,0.17959999999999993,194
po3_bearish,0.129,0.253,0.124,0.15807500000000002,557
po3_bullish,0.488,0.421,-0.067,0.21682500000000005,197
poc_magnet_long,0.853,0.735,-0.118,0.14105,151
ppo_crossover,0.406,1.362,0.9560000000000001,0.1532,394
prev_day_high_break,0.309,0.75,0.441,0.14582500000000004,314
prev_day_low_bounce,0.443,0.484,0.04099999999999998,0.17062500000000008,144
prev_day_low_breakdown,-0.226,-0.106,0.12000000000000001,0.34365,154
r1_break_retest,0.2,1.105,0.905,0.14825,736
roc_burst,0.124,-0.051,-0.175,0.22165,228
rsi_oversold,0.458,0.553,0.09500000000000003,0.09892499999999999,462
rsi_oversold_with_smart_money_long,0.611,1.47,0.859,0.08812500000000001,618
rsi_volume_200ema,0.584,0.537,-0.04699999999999993,0.235,137
simple_below_ema_50_short,-0.149,-0.032,0.11699999999999999,0.1649,765
smc_bos_retest_entry,0.473,0.524,0.051000000000000045,0.21525000000000005,154
smc_breaker_block_long,0.693,1.883,1.19,0.11417500000000025,356
smc_breaker_block_short,0.069,0.295,0.22599999999999998,0.18259999999999998,427
smc_equal_highs_sweep_short,-0.577,-0.574,0.0030000000000000027,0.3561249999999999,191
smc_inverse_fvg,0.376,0.25,-0.126,0.15410000000000001,231
smc_liquidity_sweep_reversal,0.2,0.433,0.23299999999999998,0.12954999999999994,570
smc_order_block_bounce,0.111,0.115,0.0040000000000000036,0.2015,352
squeeze_breakout,0.207,0.054,-0.153,0.177575,188
squeeze_breakout_with_smart_money_long,0.185,0.054,-0.131,0.167825,187
stochrsi_overbought_short,-0.175,0.055,0.22999999999999998,0.12795,1115
stochrsi_oversold,0.233,0.37,0.13699999999999998,0.127875,615
tema_dema,0.133,0.324,0.191,0.15715,454
three_black_crows_short,-0.173,-0.157,0.015999999999999986,0.1614,470
three_white_soldiers,0.395,0.199,-0.196,0.14315,321
triangle_descending_short,-0.172,0.043,0.21499999999999997,0.28874999999999995,244
turtle_soup_short,0.105,0.236,0.131,0.16697499999999998,402
ultimate_oscillator,-0.145,0.034,0.179,0.353275,152
vol_spike_2x_below_ema_50_short,-0.243,-0.049,0.194,0.253225,269
volume_spike_breakout,0.159,0.215,0.055999999999999994,0.15814999999999999,326
week_opening_gap_fill_down,-1.466,-0.916,0.5499999999999999,0.44314999999999993,215
week_opening_gap_fill_up,0.015,-0.16,-0.175,0.27915,152
williams_r_oversold,0.355,0.558,0.20300000000000007,0.10550000000000004,702
williams_stoch_dual,-0.045,0.067,0.112,0.24007499999999998,188
xs_momentum_bottom_decile_short,0.231,0.368,0.13699999999999998,0.2028,322
xs_momentum_with_smart_money_long,0.952,0.6,-0.352,0.1952250000000002,162
