s,n,exp,wr,pf,wl
macd_crossover,687,1.3791890829694322,0.29839883551673946,1.5743316890828094,3.7015993860386054
macd_crossover_short,422,0.2607450236966824,0.2796208530805687,1.099368368275531,2.8322710504725546
macd_ichimoku,685,1.353375328467153,0.29781021897810217,1.5620095703757984,3.682973545837054
mmbm_long,349,1.9613630372492838,0.2521489971346705,2.218070122928839,6.578594341868489
mmsm_short,555,-0.2014057657657657,0.16396396396396395,0.887711740541253,4.526354369353202
naked_poc_retest_long,413,2.743611138014528,0.3171912832929782,2.2085652722140297,4.754316082170659
news_sentiment_shift_long,72,1.6645097222222223,0.3333333333333333,1.5650445219139475,3.1300890438278945
orb_stocks_in_play_short,31,-0.26342903225806424,0.3870967741935484,0.9435569431187412,1.4939651599380068
pairs_mean_reversion_long,1261,2.3870349722442503,0.3394131641554322,1.9967830614661963,3.8862623602835082
parabolic_sar_flip,401,0.564251620947631,0.26433915211970077,1.2364536153493175,3.441073740830648
parabolic_sar_flip_short,456,-0.9719609649122807,0.2149122807017544,0.6715236670658109,2.4531170694853093
pead_short,205,-0.9003853658536585,0.24878048780487805,0.7263755233885858,2.193369227487102
pead_short_negative_yoy_growth,496,-1.2166086693548388,0.2056451612903226,0.6300946148002883,2.433894884620721
pead_with_smart_money_long,106,4.665835849056604,0.29245283018867924,3.1471070756447355,7.613968731398554
pivot_r1_breakout,194,1.2874097938144333,0.3247422680412371,1.4223353301007402,2.9575544165586822
pivot_s1_bounce,112,1.2682464285714288,0.2767857142857143,1.7375057113187955,4.539934277962014
po3_bearish,557,0.3773536804308798,0.2872531418312388,1.1441729037718953,2.8389790174840153
po3_bullish,197,2.0930355329949237,0.3350253807106599,1.853007936593314,3.677939995359457
post_inclusion_reversal_short,43,-2.538862790697674,0.3488372093023256,0.6399036322297681,1.1944867801622339
ppo_crossover,394,1.3021558375634517,0.3197969543147208,1.611402621580244,3.4274277982817885
prev_day_high_break,314,1.8324506369426752,0.31210191082802546,1.585938144413883,3.495537134626517
prev_day_low_bounce,144,2.4159180555555557,0.24305555555555555,2.2956994773882524,7.149464086723415
prev_day_low_breakdown,154,-0.7102012987012988,0.2727272727272727,0.8053925538110379,2.147713476829434
risk_off_bond_equity_short,89,-0.40449213483146046,0.34831460674157305,0.8819059565982296,1.6500175962160422
roc_burst,228,0.6109526315789475,0.27631578947368424,1.181243320340281,3.0937325056531173
rsi_oversold_with_smart_money_long,618,4.083210517799353,0.3592233009708738,2.775167172172477,4.950298199010364
shooting_star_short,59,-0.9018118644067795,0.1694915254237288,0.6637282518222366,3.2522684339289594
smc_bos_retest_entry,154,1.782912987012987,0.2792207792207792,1.9499049467476917,5.033475560209157
smc_breaker_block_short,427,0.2109056206088993,0.3044496487119438,1.068072887675166,2.4401357510732633
smc_choch_reversal,95,0.24535684210526335,0.2631578947368421,1.09985242049663,3.0795867773905643
smc_discount_long,88,4.267597727272727,0.2840909090909091,2.4912320549178886,6.277904778393079
smc_equal_highs_sweep_short,191,-1.2928764397905759,0.21465968586387435,0.5648488509542898,2.0665201864181335
smc_equal_lows_sweep_long,113,2.007328318584071,0.2831858407079646,2.0504413344694723,5.190179627875852
smc_fvg_retest_short,60,-0.6622833333333332,0.25,0.7962484111149911,2.3887452333449732
smc_liquidity_sweep_reversal,570,0.9072882456140351,0.26842105263157895,1.3312404160291231,3.6282827025107474
smc_order_block_bounce,352,0.39126392045454544,0.29261363636363635,1.1285999011164318,2.728362867747491
smc_ote_long,42,3.678561904761905,0.19047619047619047,2.2925418885047972,9.743303026145387
smc_ote_short,82,-0.8252451219512196,0.1951219512195122,0.6802267282238361,2.8059352539233244
smc_premium_short,105,-0.5133914285714284,0.21904761904761905,0.8021749485676373,2.859928077502011
squeeze_breakout,188,0.9725042553191489,0.2553191489361702,1.3803851687258726,4.0261234087837945
squeeze_breakout_with_smart_money_long,187,0.8673262032085565,0.25133689839572193,1.3374413420257922,3.983867827310871
stoch_oversold,58,0.7936982758620689,0.3103448275862069,1.3021475120719204,2.8936611379376007
stochrsi_overbought_short,1115,-0.4394117488789237,0.2358744394618834,0.8354562127572254,2.7064969325823425
stochrsi_oversold,615,0.921469268292683,0.2764227642276423,1.3588750431255252,3.557055259946228
supertrend_macd,97,-0.8611494845360823,0.27835051546391754,0.7643969680439687,1.9817699171510301
supertrend_macd_short,56,-0.8346196428571425,0.2857142857142857,0.7826388029826843,1.9565970074567107
three_black_crows_short,470,-0.46192234042553193,0.2,0.8269535678713672,3.3078142714854684
three_white_soldiers,321,1.641201246105919,0.27102803738317754,1.707531473077976,4.592670858623522
triangle_ascending_long,81,4.22682098765432,0.35802469135802467,3.17329137900828,5.690039714083813
triangle_descending_short,244,-0.42569057377049174,0.21311475409836064,0.82969104883758,3.063474641861834
turtle_soup_long,95,2.303429473684212,0.3157894736842105,1.7773524394550084,3.850930285485851
turtle_soup_short,402,0.33355572139303485,0.26119402985074625,1.122274526096322,3.1744336595295968
ultimate_oscillator,152,-0.37390526315789446,0.29605263157894735,0.8637100274577045,2.0537105097327637
value_area_breakout_long,100,2.3289940000000002,0.33,1.8396090274245347,3.734963782952843
vix_backwardation_long,108,1.754188888888889,0.2777777777777778,1.4898102910824635,3.873506756814405
vol_spike_2x_below_ema_50_short,269,-0.7993360594795538,0.2379182156133829,0.7734742878345361,2.4775348282199983
volume_spike_breakout,326,0.7302598159509203,0.26380368098159507,1.240052236497303,3.4606108925506134
week_opening_gap_fill_down,215,-3.0199395348837204,0.14883720930232558,0.28948656524932104,1.6555012950195547
week_opening_gap_fill_up,152,0.05774605263157932,0.2894736842105263,1.0154549893288487,2.4924804283526285
williams_r_oversold,702,1.4081427350427351,0.29914529914529914,1.615934823262626,3.7859044430724382
williams_stoch_dual,188,-0.1432829787234042,0.22340425531914893,0.9424645134253814,3.276186165716802
xs_momentum_bottom_decile_short,322,0.7728450310559007,0.35093167701863354,1.2429196775050666,2.2988514389253
xs_momentum_quality_combined,50,5.705863999999999,0.36,3.359794040406129,5.97296718294423
xs_momentum_top_decile,50,2.5299360000000006,0.4,2.311573451008123,3.467360176512184
