s,n,exp,wr,pf,wl
52w_high_breakout_pullback_long,50,7.830639999999999,0.42,4.377054638262049,6.044504024266639
52w_high_breakout_with_smart_money_vol_below_long,41,4.582617073170732,0.21951219512195122,2.8538442487969924,10.147001773500417
52w_low_breakdown_pullback_short,73,-0.41932876712328754,0.2054794520547945,0.833930012005909,3.2245293797561816
avwap_50_reclaim,265,0.5456067924528305,0.27169811320754716,1.1898319139837803,3.1894105472065224
bb_squeeze_volume,173,-0.7501352601156068,0.1907514450867052,0.7913154980324478,3.35709605225887
bollinger_lower,430,2.0008941860465113,0.3511627906976744,1.9282750065327825,3.5628392504811015
bollinger_tight_with_smart_money_long,159,1.6382088050314467,0.2641509433962264,1.892115652486328,5.270893603354771
bollinger_upper_short,32,-0.4385125000000001,0.25,0.8087978809217554,2.4263936427652664
camarilla_s3_bounce,59,1.6936508474576268,0.22033898305084745,1.8034144878549618,6.381312803179096
cpr_narrow_momentum,235,0.6030331914893617,0.28085106382978725,1.2228873812626366,3.1313328398997817
cpr_narrow_momentum_short,399,-0.9463030075187969,0.21052631578947367,0.662107801756852,2.482904256588195
cup_and_handle_long,32,1.7015031249999995,0.25,1.9204481868482042,5.761344560544613
doji_at_resistance_short,90,-1.5625699999999998,0.15555555555555556,0.43836958956989724,2.3797206290937276
doji_at_support,57,1.4385122807017543,0.2631578947368421,1.6350044220579378,4.578012381762226
donchian_10_breakout,213,1.1521774647887322,0.2863849765258216,1.36180311115488,3.393345457303963
donchian_breakdown_retest_short,224,-0.9167500000000002,0.1875,0.6428201815850769,2.785554120202
donchian_breakdown_short,183,-1.4161486338797813,0.22404371584699453,0.6117956044130533,2.118901849430575
donchian_breakout_long,122,3.76114262295082,0.28688524590163933,2.423896266386807,6.025113576447206
donchian_breakout_retest_long,134,2.856616417910448,0.291044776119403,2.109670794836777,5.138941679730611
donchian_breakout_with_smart_money_long,232,2.7131366379310347,0.3232758620689655,2.123469669688537,4.445129841881338
double_bottom_long,64,0.20300312499999995,0.234375,1.0731579866096816,3.50564942292496
golden_cross_20_50,104,-0.12911538461538466,0.22115384615384615,0.9521003709117838,3.3530491323414995
golden_cross_9_21,206,3.5594393203883494,0.32038834951456313,2.490820078167745,5.283557741567943
hammer_at_support_long,30,1.8097700000000003,0.3333333333333333,1.7275194063330368,3.4550388126660736
head_and_shoulders_bottom_long,35,0.7654085714285719,0.2571428571428571,1.3931976064075715,4.0247930851774285
head_and_shoulders_top_short,85,-1.6752517647058824,0.2,0.5444705840201103,2.177882336080441
htf_aligned_breakout_long,91,7.151568131868132,0.3516483516483517,4.314487702695064,7.954836701844023
htf_aligned_breakout_short,216,-0.6920643518518518,0.24074074074074073,0.7961735369026827,2.5110088471546144
hull_rsi,323,1.0878380804953562,0.3065015479876161,1.436119322622601,3.2494012956309355
ichimoku_cloud_breakdown,35,0.5653485714285716,0.3142857142857143,1.181093837087665,2.5769320081912688
ichimoku_cloud_breakout,163,2.6806294478527604,0.3128834355828221,1.94472972639887,4.270779006993598
inside_bar_breakout,220,1.7619254545454546,0.3181818181818182,1.7999248826291083,3.8569818913480893
insider_cluster_concentrated_sell_short,75,0.14198400000000008,0.3466666666666667,1.0589641407790458,1.9957401114682014
institutional_breakout_confirmation_long,140,5.3384,0.39285714285714285,3.8912064501428816,6.013682695675362
institutional_buy_momentum_long,580,2.970351206896552,0.3086206896551724,2.2655728559741073,5.075389470645906
institutional_cluster_long,596,4.168919127516778,0.3573825503355705,2.8234133188478427,5.076841789289782
institutional_insider_combo_long,616,4.110414123376623,0.3587662337662338,2.7925068845092285,4.991132214394323
institutional_multi_quarter_persistence_long,667,3.987259370314843,0.3748125937031484,2.7779800330218007,4.6336706950803634
institutional_oversold_long,93,1.7532666666666672,0.3548387096774194,1.7448763250883395,3.1725024092515266
institutional_persistence_momentum_long,564,3.0614583333333334,0.3120567375886525,2.3259784611941865,5.1277252439962755
institutional_persistence_volume_long,286,3.4062143356643357,0.3146853146853147,2.4043395709355773,5.236117287815257
institutional_persistent_holders_long,590,4.170443389830509,0.3576271186440678,2.8137226335050345,5.054032597622787
institutional_recent_init_momentum_long,611,2.9992950900163664,0.3109656301145663,2.3192082487098338,5.138877224772842
institutional_recent_init_volume_long,286,3.4062143356643357,0.3146853146853147,2.4043395709355773,5.236117287815257
institutional_strong_conviction_long,590,4.170443389830509,0.3576271186440678,2.8137226335050345,5.054032597622787
institutional_with_directors_long,31,3.1648838709677425,0.2903225806451613,2.2988917676246814,5.619513209749221
inverted_cup_and_handle_short,72,1.0790680555555554,0.2638888888888889,1.5061552012362525,4.201380298185335
macd_bullish_with_smart_money_long,277,4.0590129963898915,0.33935018050541516,2.9654976201909755,5.773256005265409
