s,cur,cur_exp,bpt_exp,best,best_exp,n
smc_ote_long,trailing_stop,,3.6785619047619043,breakeven_plus_trail,3.6785619047619043,42
smc_ote_short,trailing_stop,,-0.8252451219512196,ma_exit_ema9,-0.27520853658536587,82
smc_premium_short,trailing_stop,,-0.5133914285714285,time_stop_10d,0.012987619047619024,105
squeeze_breakout,earnings_blackout,1.7334409574468086,0.972504255319149,earnings_blackout,1.7334409574468086,188
squeeze_breakout_with_smart_money_long,trailing_stop,,0.8673262032085561,earnings_blackout,1.6323320855614973,187
stoch_oversold,trailing_stop,,0.7936982758620689,breakeven_plus_trail,0.7936982758620689,58
stochrsi_overbought_short,class_time_stop,-2.0164412556053812,-0.43941174887892376,breakeven_plus_trail,-0.43941174887892376,1115
stochrsi_oversold,breakeven_plus_trail,0.9214692682926828,0.9214692682926828,breakeven_plus_trail,0.9214692682926828,615
supertrend_macd,earnings_blackout,-3.2827443298969072,-0.8611494845360824,r_multiple_3r,-0.7701556701030928,97
supertrend_macd_short,trailing_stop,,-0.8346196428571427,time_stop_10d,-0.49002678571428565,56
tema_dema,next_pivot_target,-0.5182138766519823,0.4689894273127754,breakeven_plus_trail,0.4689894273127754,454
three_black_crows_short,trailing_stop,,-0.46192234042553193,breakeven_plus_trail,-0.46192234042553193,470
three_white_soldiers,next_pivot_target,-0.06581246105918996,1.641201246105919,earnings_blackout,2.367263862928349,321
totm_long,trailing_stop,,9.803182558139536,earnings_blackout,11.649522093023256,86
triangle_ascending_long,trailing_stop,,4.226820987654321,class_time_stop,5.308595061728395,81
triangle_descending_short,trailing_stop,,-0.42569057377049185,breakeven_plus_trail,-0.42569057377049185,244
turtle_soup_long,trailing_stop,,2.3034294736842105,earnings_blackout,4.351862105263158,95
turtle_soup_short,trailing_stop,,0.33355572139303485,breakeven_plus_trail,0.33355572139303485,402
ultimate_oscillator,earnings_blackout,-1.029082894736842,-0.37390526315789463,r_multiple_2r,-0.24578552631578957,152
value_area_breakout_long,trailing_stop,,2.3289940000000002,earnings_blackout,4.91202,100
vix_backwardation_long,trailing_stop,,1.754188888888889,earnings_blackout,3.343875,108
vol_spike_2x_below_ema_50_short,trailing_stop,,-0.7993360594795538,breakeven_plus_trail,-0.7993360594795538,269
volume_spike_breakout,trailing_stop,,0.7302598159509203,breakeven_plus_trail,0.7302598159509203,326
week_opening_gap_fill_down,trailing_stop,,-3.0199395348837212,smc_mitigation_zone,-1.485360930232558,215
week_opening_gap_fill_up,trailing_stop,,0.057746052631579184,class_time_stop,2.092932894736842,152
williams_r_oversold,breakeven_plus_trail,1.408142735042735,1.408142735042735,earnings_blackout,1.7658009971509971,702
williams_stoch_dual,next_pivot_target,-0.4428739361702127,-0.14328297872340426,breakeven_plus_trail,-0.14328297872340426,188
xs_combined_momentum_low_ivol,trailing_stop,,7.341325714285714,trailing_15pct,12.443325714285715,35
xs_low_beta_with_smart_money_long,trailing_stop,,2.011595890410959,breakeven_plus_trail,2.011595890410959,73
xs_momentum_bottom_decile_short,trailing_stop,,0.7728450310559007,breakeven_plus_trail,0.7728450310559007,322
xs_momentum_quality_combined,trailing_stop,,5.705863999999999,earnings_blackout,10.933886,50
xs_momentum_top_decile,breakeven_plus_trail,2.529936,2.529936,hybrid_50pct_target,4.4855160000000005,50
xs_momentum_with_smart_money_long,trailing_stop,,7.776322222222222,earnings_blackout,13.91648024691358,162
