strategy,best_exit,n,exp,wr,pf,wl,verdict
news_momentum_long,trailing_15pct,25,5.559772000000001,0.52,2.408432907205798,2.2231688374207366,INSUFFICIENT_DATA
break_retest_volume,trailing_15pct,256,2.8650859375000004,0.4140625,1.5473953638919913,2.1897104206018745,
institutional_volume_confirmation_long,trailing_15pct,198,2.822238888888889,0.4393939393939394,1.5191205807427464,1.9381883271545384,
dc20_break_retest,breakeven_plus_trail,275,2.5505032727272727,0.2690909090909091,2.076787552166875,5.641004026831647,
ichimoku_tk_cross,trailing_15pct,170,1.9790600000000014,0.4470588235294118,1.3898614755003542,1.719039193382017,
m_and_a_target_long,class_time_stop,74,1.8674554054054058,0.5135135135135135,1.557305720711765,1.4753422617269354,
awesome_oscillator,trailing_15pct,162,1.2741907407407407,0.42592592592592593,1.2439445195211605,1.6766208741372162,
xs_low_beta_with_smart_money_long,breakeven_plus_trail,36,1.1895666666666664,0.3333333333333333,1.7674211063921292,3.534842212784258,
cmf_flip,breakeven_plus_trail,231,1.066974891774892,0.2987012987012987,1.3778600564755996,3.2349757847687988,
camarilla_r4_breakout,breakeven_plus_trail,340,0.5405711764705884,0.31176470588235294,1.1497037393313374,2.5380252358823863,
morning_star,breakeven_plus_trail,162,0.32184259259259257,0.24074074074074073,1.128845489944499,3.560205006748035,
pairs_mean_reversion_short,breakeven_plus_trail,318,-0.3648333333333334,0.20754716981132076,0.856060044934943,3.26859289884251,
simple_below_ema_50_short,breakeven_plus_trail,248,-0.4442951612903225,0.21774193548387097,0.8658649948262221,3.1107001665979093,
tema_dema,breakeven_plus_trail,201,-0.761710945273632,0.20398009950248755,0.7380771244851276,2.880300973600498,
