strategy,point_sharpe,ci_low,ci_high,n_trades,method
52wh_break_retest,0.0,,,1,insufficient_sample
adx_initiation,-1.6674113712921157,-5.67201426810659,0.7020851163851219,186,bootstrap
avwap_252_breakout,0.0755922466289957,-8.192052245359024,4.823361456320015,33,bootstrap
avwap_50_reclaim,-4.007506663017891,-6.426277651913171,-2.0377291138475595,257,bootstrap
awesome_oscillator,-3.6510979290794525,-11.665874041361008,0.9096188891882024,42,bootstrap
bollinger_lower,-3.650387982052066,,,21,insufficient_sample
bollinger_tight,1.4787192624993406,-3.047538200761112,4.495048099173442,71,bootstrap
bollinger_upper_short,0.0,,,1,insufficient_sample
break_retest_confluence,1.2462224990507476,,,20,insufficient_sample
break_retest_volume,-1.6022401336215457,-9.464656871133782,1.8329244352927272,70,bootstrap
bullish_engulfing_support,2.9443433767952265,,,8,insufficient_sample
buyback_8k_recent_long,1.8167655677577375,-9.932545770134238,4.400700693762578,46,bootstrap
camarilla_r3_breakout,0.0582509418984872,-10.253843261615083,3.1699762943083423,45,bootstrap
camarilla_s3_bounce,0.0,,,1,insufficient_sample
cmf_flip,-0.03783445398969612,-4.264212266910222,2.223443813615421,124,bootstrap
cpr_narrow_bullish,-0.41576796876040717,-2.0048778215011205,0.9361699235758589,458,bootstrap
cpr_narrow_momentum,-0.2941849699535487,-6.0943104852308565,3.56200601840875,48,bootstrap
cpr_narrow_momentum_short,-19.710065431505022,,,15,insufficient_sample
doji_at_support,0.0,,,1,insufficient_sample
donchian_10_breakout_retest,0.0,,,1,insufficient_sample
double_bottom_long,1.3310588080377395,,,11,insufficient_sample
force_index_breakout,0.06937214626140245,-3.103751362400319,2.172264093848327,129,bootstrap
golden_cross_20_50,-21.91280804185486,,,3,insufficient_sample
golden_cross_50_200,0.0,,,1,insufficient_sample
golden_cross_9_21,1.1265094297138623,-8.700107245920318,4.326543917607211,38,bootstrap
halloween_seasonal_long,-2.4609791539473367,,,5,insufficient_sample
head_and_shoulders_bottom_long,-5.722161133614656,,,3,insufficient_sample
htf_aligned_breakout_long,1.0516315683807627,-7.548534102157256,4.594552733389166,41,bootstrap
htf_aligned_breakout_short,-7.922478075383511,-16.390470280694643,-2.8547653355038536,58,bootstrap
hull_rsi,-1.6249090487997622,-6.448270857426145,1.8864307319406521,70,bootstrap
hull_rsi_short,-2.762146450105182,-9.028445621459424,1.0862786563678444,54,bootstrap
ichimoku_cloud_breakout,-4.355361019987737,-12.60984523405518,-0.3455312261858653,72,bootstrap
ichimoku_tk_cross,6.435074109496227,,,16,insufficient_sample
inside_bar_breakout,5.767809385756197,,,8,insufficient_sample
insider_cluster_long,-13.89962841496462,,,7,insufficient_sample
institutional_buy_momentum_long,-1.8370171832258475,,,24,insufficient_sample
institutional_cluster_long,1.5212330460787002,-3.8947854875329915,4.671958285060231,49,bootstrap
institutional_distribution_short,0.0,,,1,insufficient_sample
institutional_multi_quarter_persistence_long,0.0,,,1,insufficient_sample
lead_lag_sector_rotation,-1.4792351836229045,-11.162157526846343,1.4533418099942983,78,bootstrap
macd_crossover,0.4269028854371158,,,18,insufficient_sample
macd_fast_crossover,-5.298856583587409,-21.63725257534356,-0.11254328633554467,46,bootstrap
monthly_bias_momentum_long,0.6435367269276401,-1.5317853755336157,2.123995152192913,281,bootstrap
morning_star,3.9511291322715123,-1.1851483802416554,7.0536460571403365,38,bootstrap
orb_stocks_in_play_long,-0.20167058103349272,-7.204228209955222,3.9128213204151323,40,bootstrap
orb_stocks_in_play_short,-3.082136902915841,-12.335709538044844,1.5051810779366208,40,bootstrap
pairs_mean_reversion_long,-0.7917616106610363,-3.7063946653295474,1.2487554285930682,220,bootstrap
pairs_mean_reversion_short,-1.516415147406572,-7.290439169742057,2.9909846585456465,42,bootstrap
parabolic_sar_flip,1.7298335812858412,-3.5454419766150806,5.2525431287169955,51,bootstrap
pead_long,2.053816428959949,-1.2900386540580484,3.978589767416464,106,bootstrap
pead_short,-5.483431922530024,-9.811417534929635,-1.996213455612568,100,bootstrap
pead_with_insider_confirmation_long,0.0,,,1,insufficient_sample
pivot_r1_breakout,-0.30750196234272004,,,12,insufficient_sample
pivot_r2_continuation,0.0,,,1,insufficient_sample
pivot_s1_bounce,-3.6525128950322574,,,12,insufficient_sample
pivot_s3_capitulation,-248.00599559437106,,,2,insufficient_sample
po3_bearish,-3.0484497778445956,-5.616515110825302,-1.1216380887255997,367,bootstrap
po3_bullish,-1.3500457522441376,-3.509119079461968,0.3180092886126418,324,bootstrap
po3_htf_aligned_long,-6.983029060825443,-15.093817609885624,-1.895428568470237,41,bootstrap
po3_htf_aligned_short,-4.9177347809533885,-16.888217835454064,0.8343291818173959,34,bootstrap
post_inclusion_reversal_short,0.0,,,1,insufficient_sample
ppo_crossover,3.432244665064538,-0.48021643565787603,6.077521697805246,58,bootstrap
pre_fomc_long_sleeve,2.5472403244315083,-2.4054491321338145,5.915060026584023,51,bootstrap
prev_day_high_break,0.10179973247832476,,,15,insufficient_sample
prev_day_low_bounce,-30.154482898636797,,,13,insufficient_sample
r1_break_retest,-3.6225097097179835,,,17,insufficient_sample
risk_off_bond_equity_short,-8.323680807393417,,,28,insufficient_sample
roc_burst,1.4269645535309439,,,19,insufficient_sample
rsi_oversold,-0.3719785568939595,,,6,insufficient_sample
shooting_star_short,0.0,,,1,insufficient_sample
squeeze_breakout,-1.5136619390450474,-8.020438866811567,2.784032260504423,41,bootstrap
stoch_oversold,2.295488060842457,,,4,insufficient_sample
stochrsi_overbought_short,-7.030026975164482,-15.494662768500584,-2.281373715894628,58,bootstrap
stochrsi_oversold,-0.031459400911761116,-2.4839688204031924,1.8973217531612776,230,bootstrap
supertrend_macd,0.8383188728450313,-3.4996651556878744,3.4017117625096436,90,bootstrap
tema_dema,1.094415526450976,-3.1589378851100487,3.8019681350494263,85,bootstrap
three_white_soldiers,1.7098748452772705,-3.2999725594828377,4.647568380481702,60,bootstrap
totm_long,-11.147029572149899,,,4,insufficient_sample
ultimate_oscillator,-1.7880311125808106,-6.260272324670739,1.2562425973973403,101,bootstrap
vix_backwardation_long,2.03743702979614,,,11,insufficient_sample
williams_r_oversold,0.6290384858748376,-1.857317780295425,2.895917878408122,191,bootstrap
williams_stoch_dual,1.4094001998815793,,,27,insufficient_sample
xs_low_beta_long,1.034412296478524,-1.227871987653993,2.8498931926625604,206,bootstrap
xs_momentum_bottom_decile_short,-3.2502904969084145,-5.235066970598942,-1.5533951942497612,428,bootstrap
xs_momentum_top_decile,1.7939271837127198,-2.104015762345292,4.54775642420648,75,bootstrap
xs_quality_top_quintile_long,-0.028416010920972956,-4.276870805456169,2.291022285693596,136,bootstrap
