strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,bear,66,0.2727,0.5223,34.4736
adx_initiation,bull,100,0.21,-2.5198,-251.9833
adx_initiation,neutral,20,0.1,-6.4562,-129.1231
avwap_252_breakout,bear,16,0.375,-0.526,-8.4161
avwap_252_breakout,bull,9,0.2222,-2.7703,-24.933
avwap_252_breakout,neutral,8,0.625,4.4525,35.6199
avwap_50_reclaim,bear,116,0.2672,-3.8518,-446.812
avwap_50_reclaim,bull,131,0.4046,-1.3177,-172.622
avwap_50_reclaim,neutral,10,0.1,-8.0114,-80.114
awesome_oscillator,bear,17,0.3529,-1.0022,-17.0374
awesome_oscillator,bull,20,0.25,-3.1811,-63.6222
awesome_oscillator,neutral,5,0.0,-10.4503,-52.2513
bollinger_lower,bear,7,0.0,-5.9627,-41.7392
bollinger_lower,bull,10,0.2,-0.9917,-9.9169
bollinger_lower,neutral,4,0.5,4.1377,16.5509
bollinger_tight,bear,19,0.3684,-2.2256,-42.2872
bollinger_tight,bull,42,0.4048,5.234,219.8275
bollinger_tight,neutral,10,0.2,-5.2204,-52.2042
break_retest_confluence,bear,9,0.2222,-2.2312,-20.0807
break_retest_confluence,bull,6,0.5,1.1133,6.6799
break_retest_confluence,neutral,5,0.4,8.9624,44.812
break_retest_volume,bear,31,0.2581,-0.4019,-12.4583
break_retest_volume,bull,29,0.2759,-0.7596,-22.0274
break_retest_volume,neutral,10,0.0,-8.6343,-86.343
bullish_engulfing_support,bull,4,0.5,16.9566,67.8265
buyback_8k_recent_long,bear,6,0.3333,12.3193,73.916
buyback_8k_recent_long,bull,37,0.2162,7.7968,288.481
buyback_8k_recent_long,neutral,3,0.0,-7.3741,-22.1224
camarilla_r3_breakout,bear,17,0.2941,5.7279,97.3742
camarilla_r3_breakout,bull,27,0.2222,-4.1371,-111.7028
cmf_flip,bear,55,0.3273,3.1614,173.8762
cmf_flip,bull,56,0.25,-2.4902,-139.4537
cmf_flip,neutral,13,0.3077,-3.1123,-40.4595
cpr_narrow_bullish,bear,146,0.3356,-1.5139,-221.0357
cpr_narrow_bullish,bull,265,0.3208,-0.3368,-89.2507
cpr_narrow_bullish,neutral,47,0.5532,3.0645,144.03
cpr_narrow_momentum,bear,22,0.3636,-0.4515,-9.9334
cpr_narrow_momentum,bull,23,0.2174,-0.6641,-15.2753
cpr_narrow_momentum,neutral,3,1.0,4.3575,13.0724
cpr_narrow_momentum_short,bear,3,0.3333,-7.7841,-23.3524
cpr_narrow_momentum_short,bull,12,0.0833,-8.9717,-107.6607
double_bottom_long,bear,3,0.3333,2.4323,7.2969
double_bottom_long,bull,5,0.4,9.912,49.5601
double_bottom_long,neutral,3,0.0,-10.2071,-30.6212
force_index_breakout,bear,53,0.1698,-1.7711,-93.8668
force_index_breakout,bull,53,0.3019,0.7766,41.1624
force_index_breakout,neutral,23,0.3478,2.7738,63.7965
golden_cross_9_21,bear,12,0.25,-1.2113,-14.5353
golden_cross_9_21,bull,14,0.5,12.2231,171.1234
golden_cross_9_21,neutral,12,0.0833,-6.3553,-76.2633
halloween_seasonal_long,neutral,5,0.2,-0.8652,-4.3258
htf_aligned_breakout_long,bear,7,0.2857,-7.6706,-53.6945
htf_aligned_breakout_long,bull,31,0.3871,4.0749,126.3234
htf_aligned_breakout_long,neutral,3,0.3333,-1.7392,-5.2175
htf_aligned_breakout_short,bear,27,0.1852,-4.4099,-119.0677
htf_aligned_breakout_short,bull,29,0.2414,-4.3202,-125.2853
hull_rsi,bear,24,0.3333,-1.6861,-40.4655
hull_rsi,bull,40,0.35,-0.5848,-23.393
hull_rsi,neutral,6,0.0,-4.126,-24.7557
hull_rsi_short,bear,20,0.15,-5.349,-106.9805
hull_rsi_short,bull,32,0.2812,-0.9727,-31.1259
ichimoku_cloud_breakout,bear,21,0.1429,-5.7789,-121.3559
ichimoku_cloud_breakout,bull,29,0.1724,-2.7123,-78.6568
