strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,bear,19,0.3158,-1.1203,-21.2863
bollinger_lower,bull,22,0.4091,0.7431,16.349
bollinger_lower,neutral,15,0.5333,1.2851,19.2764
bollinger_tight,bear,11,0.2727,5.3189,58.508
bollinger_tight,bull,27,0.2593,-2.6359,-71.1696
bollinger_tight,neutral,10,0.6,4.1319,41.3193
cpr_narrow_bullish,bear,7,0.1429,-4.6955,-32.8685
cpr_narrow_bullish,bull,23,0.3478,-1.4837,-34.1246
cpr_narrow_bullish,neutral,12,0.3333,-2.0392,-24.47
ichimoku_cloud_breakout,neutral,4,0.0,-7.4878,-29.9512
pivot_r1_breakout,bear,3,0.0,-6.9091,-20.7274
pivot_r1_breakout,bull,15,0.4667,1.6092,24.1383
pivot_r2_continuation,bull,9,0.5556,1.2128,10.9154
stochrsi_oversold,bull,16,0.125,-4.807,-76.9121
stochrsi_oversold,neutral,4,0.5,-2.4382,-9.753
williams_r_oversold,bull,7,0.1429,-3.5999,-25.1991
williams_r_oversold,neutral,6,0.5,4.6587,27.9523
