# T3 momentum_watchlist.csv — DEC-496 Pass 53 SCREENER-FIRST output
# Built: 2026-05-05 via Polygon /v2/aggs/grouped/locale/us/market/stocks/{date}
# Methodology: J-T 12-1 (lookback 252d, skip 21d, risk-adj OFF, tie-breakers vol-asc → ADV-desc)
# Window: 2020-01-01 to 2026-05-05 (77 monthly snapshots)
# Liquidity floor: $5M min daily dollar volume on D-21
# T1 exclusion: T1a + T1c PIT membership at each snapshot
# SCHEMA: Symbol, Company, Sector, added_date (first month rank ≤100), removed_date (first month rank >100), MomentumScore, MarketCapB (blank — not from grouped endpoint), LastPrice
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of)
Symbol,Company,Sector,added_date,removed_date,MomentumScore,MarketCapB,LastPrice
AMLX,,,2023-04-03,2023-07-03,2.713178,,14.37
AMLX,,,2025-08-01,2026-05-01,2.713178,,14.37
AMPH,,,2022-06-01,2022-10-03,1.033693,,62.17
AMPH,,,2022-11-01,2022-12-01,1.033693,,62.17
AMPH,,,2023-09-01,2023-10-02,1.033693,,62.17
AMPH,,,2024-02-01,2024-03-01,1.033693,,62.17
AMPX,,,2026-01-01,2026-02-02,2.749153,,11.06
AMPX,,,2026-03-02,2026-05-01,2.749153,,11.06
AMPY,,,2022-06-01,2022-10-03,0.765172,,6.69
AMR,,,2022-08-01,2023-04-03,1.497404,,341.47
AMR,,,2024-02-01,2024-05-01,1.497404,,341.47
AMR,,,2024-06-03,2024-07-01,1.497404,,341.47
AMRX,,,2024-02-01,2024-03-01,1.031646,,6.42
AMRX,,,2024-04-01,2024-09-02,1.031646,,6.42
AMSC,,,2023-10-02,2023-11-01,1.526578,,60.84
AMSC,,,2024-02-01,2024-06-03,1.526578,,60.84
AMSC,,,2024-07-01,2025-02-03,1.526578,,60.84
AMSC,,,2025-11-03,2025-12-01,1.526578,,60.84
AMTX,,,2024-05-01,2024-06-03,1.787037,,6.02
AMUU,,,2026-03-02,2026-04-01,2.375919,,73.46
AMYT,,,2023-05-01,2023-06-01,0.72255,,14.59
AMZU,,,2024-01-01,2024-02-01,1.107704,,26.81
ANAB,,,2026-01-01,2026-03-02,1.822062,,50.91
ANDE,,,2022-06-01,2022-07-01,0.681393,,52.14
ANF,,,2023-08-01,2024-11-01,2.053702,,166.61
ANIP,,,2023-10-02,2023-11-01,1.017685,,62.75
ANNX,,,2024-09-02,2024-10-01,1.945525,,7.57
ANNX,,,2024-11-01,2025-01-01,1.945525,,7.57
ANRO,,,2025-12-01,2026-01-01,3.348946,,18.57
ANRO,,,2026-02-02,2026-03-02,3.348946,,18.57
APEI,,,2024-08-01,2024-09-02,1.60974,,39.12
APEI,,,2025-11-03,2025-12-01,1.60974,,39.12
APEN,,,2023-03-01,2023-05-01,0.56378,,9.93
APG,,,2023-10-02,2023-11-01,1.040684,,18.39
APGE,,,2024-08-01,2024-10-01,2.179502,,54.91
APGE,,,2024-11-01,2025-01-01,2.179502,,54.91
API,,,2025-01-01,2025-02-03,1.354582,,5.91
API,,,2025-04-01,2025-05-01,1.354582,,5.91
APLD,,,2023-08-01,2023-12-01,4.055319,,23.76
APLD,,,2024-02-01,2024-03-01,4.055319,,23.76
APLD,,,2025-05-01,2025-06-02,4.055319,,23.76
APLD,,,2025-08-01,2025-09-01,4.055319,,23.76
APLD,,,2025-11-03,,4.055319,,23.76
APLS,,,2022-11-01,2022-12-01,0.959667,,86.97
APLS,,,2023-06-01,2023-08-01,0.959667,,86.97
APLT,,,2024-11-01,2025-02-03,1.764516,,8.57
APP,,,2023-11-01,2024-09-02,2.527057,,127.75
APP,,,2024-10-01,2024-12-02,2.527057,,127.75
APPF,,,2023-12-01,2024-01-01,0.621011,,187.94
APPS,,,2025-08-01,2025-09-01,3.739437,,6.73
APPS,,,2025-12-01,2026-01-01,3.739437,,6.73
APTS,,,2022-06-01,2022-08-01,1.48654,,24.94
AQST,,,2024-12-02,2025-02-03,1.58,,5.16
AR,,,2022-06-01,2023-03-01,0.66109,,30.78
ARBK,,,2024-02-01,2024-03-01,1.147368,,881.28
ARCH,,,2022-06-01,2022-11-01,0.662321,,153.0
ARCH,,,2022-12-01,2023-02-01,0.662321,,153.0
ARCT,,,2023-09-01,2023-10-02,1.64129,,40.94
ARCT,,,2024-04-01,2024-05-01,1.64129,,40.94
ARDX,,,2024-02-01,2024-04-01,2.071186,,9.06
ARHS,,,2023-03-01,2023-05-01,0.948571,,10.23
ARHS,,,2023-08-01,2023-09-01,0.948571,,10.23
ARIS,,,2025-01-01,2025-04-01,1.232951,,33.07
ARIS,,,2025-05-01,2025-06-02,1.232951,,33.07
ARLO,,,2023-10-02,2023-11-01,1.333333,,8.96
ARLO,,,2023-12-01,2024-04-01,1.333333,,8.96
ARLP,,,2022-06-01,2023-01-02,1.308357,,24.03
ARMN,,,2026-01-01,2026-04-01,4.422872,,20.39
AROC,,,2023-11-01,2023-12-01,1.2,,20.13
