strategy,exit_method,vix_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
adx_initiation,atr_trail_1x,19.09,1,0.0,-4.0408,-4.0408
adx_initiation,atr_trail_1x,19.11,1,1.0,14.4904,14.4904
adx_initiation,atr_trail_1x,19.12,1,1.0,0.4953,0.4953
adx_initiation,atr_trail_1x,19.18,1,0.0,-2.9992,-2.9992
adx_initiation,atr_trail_1x,19.26,1,0.0,-3.1684,-3.1684
adx_initiation,atr_trail_1x,19.43,1,0.0,-0.1502,-0.1502
adx_initiation,atr_trail_1x,19.45,2,1.0,14.3721,28.7442
adx_initiation,atr_trail_1x,19.56,1,0.0,-3.796,-3.796
adx_initiation,atr_trail_1x,19.58,1,0.0,-9.7543,-9.7543
adx_initiation,atr_trail_1x,19.63,2,0.0,-8.5257,-17.0514
adx_initiation,atr_trail_1x,19.83,1,0.0,-5.1394,-5.1394
adx_initiation,atr_trail_1x,19.9,1,0.0,-0.1791,-0.1791
adx_initiation,atr_trail_1x,20.14,1,1.0,3.8064,3.8064
adx_initiation,atr_trail_1x,20.34,1,0.0,-11.5069,-11.5069
adx_initiation,atr_trail_1x,20.37,2,0.0,-0.4212,-0.8424
adx_initiation,atr_trail_1x,20.51,1,0.0,-4.6359,-4.6359
adx_initiation,atr_trail_1x,20.58,1,0.0,-5.6079,-5.6079
adx_initiation,atr_trail_1x,20.62,1,0.0,-4.7351,-4.7351
adx_initiation,atr_trail_1x,20.68,1,0.0,-1.1082,-1.1082
adx_initiation,atr_trail_1x,20.72,2,0.5,-7.48865,-14.9773
adx_initiation,atr_trail_1x,20.81,1,1.0,1.3324,1.3324
adx_initiation,atr_trail_1x,21.01,1,0.0,-6.231,-6.231
adx_initiation,atr_trail_1x,21.14,1,0.0,-9.9307,-9.9307
adx_initiation,atr_trail_1x,21.15,1,0.0,-0.3784,-0.3784
adx_initiation,atr_trail_1x,21.37,1,0.0,-4.4528,-4.4528
adx_initiation,atr_trail_1x,21.44,1,1.0,2.2352,2.2352
adx_initiation,atr_trail_1x,21.74,1,0.0,-64.023,-64.023
adx_initiation,atr_trail_1x,21.77,2,0.0,-3.05035,-6.1007
adx_initiation,atr_trail_1x,21.93,1,0.0,-1.6684,-1.6684
adx_initiation,atr_trail_1x,22.86,3,0.6666666666666666,-0.5306000000000001,-1.5918
adx_initiation,atr_trail_1x,22.9,1,0.0,-2.2959,-2.2959
adx_initiation,atr_trail_1x,23.61,1,0.0,-3.3903,-3.3903
adx_initiation,atr_trail_1x,23.64,1,1.0,2.6505,2.6505
adx_initiation,atr_trail_1x,23.66,1,1.0,5.9263,5.9263
adx_initiation,atr_trail_1x,23.75,1,0.0,-8.3267,-8.3267
adx_initiation,atr_trail_1x,23.8,1,1.0,0.2346,0.2346
adx_initiation,atr_trail_1x,24.02,2,0.0,-4.43915,-8.8783
adx_initiation,atr_trail_1x,24.15,1,0.0,-3.1215,-3.1215
adx_initiation,atr_trail_1x,24.17,1,0.0,-3.3237,-3.3237
adx_initiation,atr_trail_1x,24.35,1,0.0,-0.7874,-0.7874
adx_initiation,atr_trail_1x,24.72,2,0.0,-3.8787000000000003,-7.7574000000000005
adx_initiation,atr_trail_1x,25.0,1,0.0,-4.257,-4.257
adx_initiation,atr_trail_1x,25.25,2,0.5,7.47315,14.9463
adx_initiation,atr_trail_1x,25.3,1,1.0,8.7193,8.7193
adx_initiation,atr_trail_1x,25.76,1,0.0,-7.6153,-7.6153
adx_initiation,atr_trail_1x,25.88,1,0.0,-8.1959,-8.1959
adx_initiation,atr_trail_1x,26.09,1,0.0,-0.165,-0.165
adx_initiation,atr_trail_1x,26.15,1,1.0,11.3592,11.3592
adx_initiation,atr_trail_1x,26.21,1,0.0,-3.9012,-3.9012
adx_initiation,atr_trail_1x,26.3,1,0.0,-6.4147,-6.4147
adx_initiation,atr_trail_1x,26.4,2,0.5,0.09810000000000008,0.19620000000000015
adx_initiation,atr_trail_1x,26.67,1,1.0,4.9662,4.9662
adx_initiation,atr_trail_1x,26.91,1,1.0,5.5984,5.5984
adx_initiation,atr_trail_1x,27.02,1,0.0,-6.7696,-6.7696
adx_initiation,atr_trail_1x,27.47,1,0.0,-4.9,-4.9
adx_initiation,atr_trail_1x,27.59,1,0.0,-3.6175,-3.6175
adx_initiation,atr_trail_1x,28.33,1,0.0,-10.2377,-10.2377
adx_initiation,atr_trail_1x,28.37,1,0.0,-2.0613,-2.0613
adx_initiation,atr_trail_1x,28.48,1,0.0,-0.0398,-0.0398
adx_initiation,atr_trail_1x,28.81,1,0.0,-5.1049,-5.1049
adx_initiation,atr_trail_1x,28.95,1,0.0,-0.4253,-0.4253
adx_initiation,atr_trail_1x,30.1,1,0.0,-2.9464,-2.9464
adx_initiation,atr_trail_1x,30.12,1,1.0,21.3759,21.3759
adx_initiation,atr_trail_1x,30.89,3,0.3333333333333333,-0.5378000000000004,-1.6134000000000013
adx_initiation,atr_trail_1x,30.96,1,0.0,-8.8213,-8.8213
adx_initiation,atr_trail_1x,31.77,1,1.0,8.0062,8.0062
