date,level,event,dd_from_peak,rolling_peak_equity,current_equity,ticker,reason,exit_price,z_score,today_dispersion,action,new_stop,note
2022-01-06,6.0,halt_triggered,-0.2791,100000.0,72090.26,,,,,,,,
2022-02-10,1.0,,,,,LUMN,overnight_gap_down_12.9pct,11.17,,,,,
2022-02-17,1.0,,,,,GLBE,overnight_gap_up_21.6pct,44.87,,,,,
2022-02-18,1.0,,,,,DKNG,overnight_gap_down_13.9pct,18.995,,,,,
2022-02-24,1.0,,,,,CLSK,overnight_gap_down_12.7pct,7.34,,,,,
2022-02-24,,dispersion_cb_triggered_dec128,,,,,,,3.8038,0.048302,,,
2022-02-28,,dispersion_cb_triggered_dec128,,,,,,,3.1504,0.050104,,,
2022-03-08,6.0,halt_triggered,-1.1735,100000.0,-17349.559999999998,,,,,,,,
2022-03-09,6.0,halt_resumed,-1.1372,100000.0,-13719.75,,,,,,,,
2022-03-10,6.0,halt_triggered,-1.1473,100000.0,-14726.960000000006,,,,,,,,
2022-03-11,6.0,halt_resumed,-1.1119,100000.0,-11189.740000000005,,,,,,,,
2022-03-14,6.0,halt_triggered,-1.1178,100000.0,-11775.869999999995,,,,,,,,
2022-03-16,6.0,halt_resumed,-1.0901,100000.0,-9013.449999999997,,,,,,,,
2022-03-17,6.0,halt_triggered,-1.0457,100000.0,-4566.369999999995,,,,,,,,
2022-03-18,6.0,halt_resumed,-1.0081,100000.0,-806.0299999999988,,,,,,,,
2022-03-21,6.0,halt_triggered,-1.0171,100000.0,-1713.7900000000081,,,,,,,,
2022-03-29,1.0,,,,,NEO,overnight_gap_down_28.4pct,12.73,,,,,
2022-03-31,1.0,,,,,PATH,overnight_gap_down_18.4pct,23.7,,,,,
2022-04-20,,dispersion_cb_triggered_dec128,,,,,,,3.7919,0.041278,,,
2022-05-05,1.0,,,,,SHOP,overnight_gap_down_16.0pct,40.764,,,,,
2022-05-06,1.0,,,,,CCXI,overnight_gap_up_16.8pct,18.26,,,,,
2022-05-11,1.0,,,,,PRCH,overnight_gap_up_31.9pct,4.42,,,,,
2022-05-13,,dispersion_cb_triggered_dec128,,,,,,,3.2296,0.053533,,,
2022-05-23,6.0,halt_triggered,-1.5259,100000.0,-52593.28,,,,,,,,
2022-06-02,1.0,,,,,PSTG,overnight_gap_up_13.0pct,27.12,,,,,
2022-06-06,1.0,,,,,ARRY,overnight_gap_up_18.8pct,13.66,,,,,
2022-06-23,,dispersion_cb_triggered_dec128,,,,,,,4.2453,0.047303,,,
