strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,passes_all,audit_flags,category
hull_rsi,Industrials,medium_volatility,29L/0S,29,0.2069,0.0985,0.3839,True,0.428,-1.7787,1.6406,6.4324,-3.9207,-47.4868,-51.581,-1.242,-0.522,"{'full_kelly_pct': -27.65, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",18.1,19.8116,-5.3516,,,0,False,['ci_lower_9.8pct_may_be_random'],momentum
bollinger_lower,Information Technology,high_volatility,29L/0S,29,0.2069,0.0985,0.3839,True,0.1072,-2.591,0.4111,1.5043,-3.6593,-71.152,-75.1386,-3.903,-0.643,"{'full_kelly_pct': -172.23, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",14.3,4.9502,-5.4429,,,0,False,['ci_lower_9.8pct_may_be_random'],mean_reversion
williams_stoch_dual,Information Technology,high_volatility,44L/0S,44,0.2045,0.1115,0.345,True,0.3327,-1.8929,1.294,4.6149,-3.5663,-81.6534,-83.2858,-1.992,-0.433,"{'full_kelly_pct': -41.02, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",13.5,12.5558,-5.3556,,,0,False,['ci_lower_11.2pct_may_be_random'],confluence
macd_fast_crossover,Information Technology,high_volatility,15L/0S,15,0.2,0.0705,0.4519,True,0.1854,-2.7931,0.7416,3.1784,-4.2859,-43.3524,-41.8961,-3.301,-1.041,"{'full_kelly_pct': -87.88, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",15.6,4.8556,-5.2397,,,0,False,['ci_lower_7.0pct_may_be_random'],momentum
macd_crossover,Industrials,medium_volatility,10L/0S,10,0.2,0.0567,0.5098,True,0.029,-3.507,0.1161,0.5244,-4.5148,-31.1838,-35.0695,-6.722,-2.18,"{'full_kelly_pct': -668.77, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",13.0,0.9271,-5.302,,,0,False,['ci_lower_5.7pct_may_be_random'],momentum
cmf_flip,Industrials,medium_volatility,21L/0S,21,0.1905,0.0767,0.4,True,0.3282,-2.1608,1.3947,5.5412,-3.973,-41.2674,-45.3761,-1.853,-0.801,"{'full_kelly_pct': -38.99, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",16.5,13.008,-5.3556,,,0,False,['ci_lower_7.7pct_may_be_random'],mean_reversion
tema_dema,Health Care,high_volatility,22L/0S,22,0.1818,0.0731,0.3852,True,0.6077,-1.1252,2.7348,9.5876,-3.5058,-35.9582,-24.754,-0.702,-0.393,"{'full_kelly_pct': -11.74, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",20.0,15.9295,-5.319,,,0,False,['ci_lower_7.3pct_may_be_random'],trend
golden_cross_9_21,Health Care,high_volatility,11L/0S,11,0.1818,0.0514,0.477,True,0.1909,-3.3402,0.8588,4.3331,-5.0454,-36.5376,-36.7423,-3.425,-1.416,"{'full_kelly_pct': -77.09, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",16.3,5.0389,-5.5929,,,0,False,['ci_lower_5.1pct_may_be_random'],trend
supertrend_ichimoku_adx,Health Care,high_volatility,6L/0S,6,0.1667,0.0301,0.5635,True,1.374,1.1392,6.8698,25.1129,-3.6556,-14.8414,6.8351,0.338,0.936,"{'full_kelly_pct': 4.54, 'quarter_kelly_pct': 1.13, 'note': 'reasonable'}",20.7,25.1129,-5.202,,,0,False,['ci_lower_3.0pct_may_be_random'],confluence
camarilla_r3_breakout,Industrials,medium_volatility,6L/0S,6,0.1667,0.0301,0.5635,True,0.1403,-3.072,0.7013,3.0068,-4.2877,-13.0922,-18.4319,-3.809,-4.274,"{'full_kelly_pct': -102.17, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",13.8,3.0068,-5.3397,,,0,False,['ci_lower_3.0pct_may_be_random'],pivot
