strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_fast_crossover,reverse_signal,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,reverse_signal,unknown,2,0.0,-4.26225,-8.5245
macd_fast_crossover,smc_mitigation_zone,T1a,3,0.3333333333333333,-0.3194666666666667,-0.9584
macd_fast_crossover,smc_mitigation_zone,T2,1,0.0,-3.1018,-3.1018
macd_fast_crossover,smc_mitigation_zone,T3,1,1.0,2.3564,2.3564
macd_fast_crossover,smc_mitigation_zone,unknown,2,0.0,-4.26225,-8.5245
macd_fast_crossover,time_stop_10d,T1a,3,0.6666666666666666,2.0888,6.2664
macd_fast_crossover,time_stop_10d,T2,1,0.0,-5.197,-5.197
macd_fast_crossover,time_stop_10d,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,time_stop_10d,unknown,2,1.0,14.663450000000001,29.326900000000002
macd_fast_crossover,time_stop_20d,T1a,3,0.3333333333333333,-1.7182333333333333,-5.1547
macd_fast_crossover,time_stop_20d,T2,1,0.0,-6.1268,-6.1268
macd_fast_crossover,time_stop_20d,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,time_stop_20d,unknown,2,1.0,12.8385,25.677
macd_fast_crossover,trailing_10pct,T1a,3,0.0,-4.681866666666667,-14.0456
macd_fast_crossover,trailing_10pct,T2,1,0.0,-7.5418,-7.5418
macd_fast_crossover,trailing_10pct,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_10pct,unknown,2,0.5,-4.07055,-8.1411
macd_fast_crossover,trailing_15pct,T1a,3,0.3333333333333333,-6.672266666666666,-20.0168
macd_fast_crossover,trailing_15pct,T2,1,0.0,-7.5418,-7.5418
macd_fast_crossover,trailing_15pct,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_15pct,unknown,2,0.0,-8.80105,-17.6021
macd_fast_crossover,trailing_5pct,T1a,3,0.6666666666666666,0.17929999999999993,0.5378999999999998
macd_fast_crossover,trailing_5pct,T2,1,0.0,-5.0,-5.0
macd_fast_crossover,trailing_5pct,T3,1,1.0,1.6277,1.6277
macd_fast_crossover,trailing_5pct,unknown,2,0.5,0.6598999999999999,1.3197999999999999
risk_off_bond_equity_short,atr_trail_1x,T1a,1,0.0,-0.2749,-0.2749
risk_off_bond_equity_short,atr_trail_1x,T2,2,0.0,-1.43815,-2.8763
risk_off_bond_equity_short,atr_trail_1x,T3,1,0.0,-1.0503,-1.0503
risk_off_bond_equity_short,atr_trail_1x,unknown,1,1.0,0.9237,0.9237
risk_off_bond_equity_short,atr_trail_2x,T1a,1,1.0,2.9658,2.9658
