ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
APLD,macd_fast_crossover,2024-01-01,short,6.8106,smc_mitigation_zone,-7.4325,False,3,7.3168,2024-01-04,smc_trail_safety_batch227a,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
EAT,macd_fast_crossover,2024-01-01,short,42.8159,smc_mitigation_zone,-1.092,False,1,43.2834,2024-01-02,smc_trail_safety_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,unknown,yes,12.45,0.027520150224566105,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
CAT,macd_fast_crossover,2024-01-01,short,292.973,smc_mitigation_zone,0.0898,True,1,292.71,2024-01-02,smc_mitigation_batch227a,bull,Industrials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.019106197499428275,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
CE,macd_fast_crossover,2024-01-01,short,153.2802,smc_mitigation_zone,-0.9393,False,1,154.72,2024-01-02,smc_mitigation_batch227a,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
AEE,macd_fast_crossover,2024-01-01,long,72.2086,smc_mitigation_zone,-0.1089,False,1,72.13,2024-01-02,smc_trail_safety_batch227a,bull,Utilities,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,12.45,0.022810302373955454,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
CLS,macd_fast_crossover,2024-03-26,short,46.6595,smc_mitigation_zone,2.3564,True,1,45.56,2024-03-27,smc_mitigation_batch227a,bull,Information Technology,LOW,unknown,low_lt_15,medium_4_10d,win,T3,yes,13.24,0.04052979564718867,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,tue,5,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
APLD,macd_fast_crossover,2024-01-01,short,6.8106,chandelier_3x,-0.2849,False,1,6.83,2024-01-02,chandelier_exit,bull,Information Technology,HIGH,unknown,low_lt_15,medium_4_10d,loss,unknown,yes,12.45,0.07432531641852407,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,no,mon,90,unknown,normal_3_5,5_25M,unknown,spy_mild_up_0_5pct
EAT,macd_fast_crossover,2024-01-01,short,42.8159,chandelier_3x,-0.1497,False,1,42.88,2024-01-02,chandelier_exit,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,unknown,yes,12.45,0.027520150224566105,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,25_100M,unknown,spy_mild_up_0_5pct
CAT,macd_fast_crossover,2024-01-01,short,292.973,chandelier_3x,-0.156,False,1,293.43,2024-01-02,chandelier_exit,bull,Industrials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.019106197499428275,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
CE,macd_fast_crossover,2024-01-01,short,153.2802,chandelier_3x,-0.1956,False,1,153.58,2024-01-02,chandelier_exit,bull,Materials,MEDIUM_HIGH,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,12.45,0.01932278272079499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,90,unknown,normal_3_5,100_500M,unknown,spy_mild_up_0_5pct
