preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
HIGH,HIGH,40,0.5,False,False
LOW,LOW,6,0.5,False,False
MEDIUM,MEDIUM,7,0.2857142857142857,False,False
MEDIUM_HIGH,MEDIUM_HIGH,5,0.4,False,False
