tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,6,0.6667,23.6382,8.9442,141.8291,MEDIUM
MEDIUM,3,0.3333,5.6849,3.1347,17.0548,LOW
LOW,3,0.0,-9.286,0.0,-27.858,LOW
