tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,3,0.6667,23.748,14.5473,71.2439,MEDIUM
MEDIUM,3,0.3333,4.4182,2.6591,13.2547,LOW
LOW,1,0.0,-11.9441,0.0,-11.9441,LOW
