tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
HIGH,8,0.25,-1.7255,0.5857,-13.8039,MEDIUM
MEDIUM_HIGH,4,0.5,2.8971,3.25,11.5883,MEDIUM
MEDIUM,2,0.0,-9.3127,0.0,-18.6255,LOW
LOW,31,0.3548,-2.8354,0.4343,-87.8966,LOW
