strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed,gate_2_bonferroni_value,gate_2_bonferroni_passed
bollinger_lower,neutral,Broad Market,INSUFFICIENT_SAMPLE,0,1,1,False,,
bollinger_lower,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,6,6,False,,
bollinger_lower,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,18,18,False,,
bollinger_lower,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_lower,neutral,Energy,INSUFFICIENT_SAMPLE,0,11,11,False,,
bollinger_lower,neutral,Financials,INSUFFICIENT_SAMPLE,0,24,24,False,,
bollinger_lower,neutral,Fixed Income,INSUFFICIENT_SAMPLE,0,2,2,False,,
bollinger_lower,neutral,Health Care,FAIL_GATE_2_BONFERRONI,1,41,41,True,1.0,False
bollinger_lower,neutral,Industrials,INSUFFICIENT_SAMPLE,0,24,24,False,,
bollinger_lower,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,22,22,False,,
bollinger_lower,neutral,Materials,INSUFFICIENT_SAMPLE,0,9,9,False,,
bollinger_lower,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_lower,neutral,Unknown,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_lower,neutral,Utilities,INSUFFICIENT_SAMPLE,0,4,4,False,,
bollinger_tight,neutral,Broad Market,INSUFFICIENT_SAMPLE,0,1,1,False,,
bollinger_tight,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,11,11,False,,
bollinger_tight,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False,,
bollinger_tight,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_tight,neutral,Energy,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_tight,neutral,Financials,INSUFFICIENT_SAMPLE,0,9,9,False,,
bollinger_tight,neutral,Health Care,INSUFFICIENT_SAMPLE,0,24,24,False,,
bollinger_tight,neutral,Industrials,INSUFFICIENT_SAMPLE,0,13,13,False,,
bollinger_tight,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,19,19,False,,
bollinger_tight,neutral,Materials,INSUFFICIENT_SAMPLE,0,5,5,False,,
bollinger_tight,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,8,8,False,,
bollinger_tight,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
bollinger_tight,neutral,Utilities,INSUFFICIENT_SAMPLE,0,4,4,False,,
camarilla_r3_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
camarilla_r3_breakout,neutral,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,
cmf_flip,neutral,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Materials,INSUFFICIENT_SAMPLE,0,3,3,False,,
cmf_flip,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False,,
cmf_flip,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
cpr_narrow_bullish,crisis_CRISIS_FLAG,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
cpr_narrow_bullish,crisis_CRISIS_FLAG,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False,,
cpr_narrow_bullish,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False,,
cpr_narrow_bullish,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False,,
cpr_narrow_bullish,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
cpr_narrow_bullish,neutral,Energy,INSUFFICIENT_SAMPLE,0,4,4,False,,
cpr_narrow_bullish,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,
cpr_narrow_bullish,neutral,Fixed Income,INSUFFICIENT_SAMPLE,0,1,1,False,,
cpr_narrow_bullish,neutral,Health Care,INSUFFICIENT_SAMPLE,0,5,5,False,,
cpr_narrow_bullish,neutral,Industrials,INSUFFICIENT_SAMPLE,0,3,3,False,,
cpr_narrow_bullish,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,4,4,False,,
cpr_narrow_bullish,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
hull_rsi,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False,,
hull_rsi,neutral,Industrials,INSUFFICIENT_SAMPLE,0,4,4,False,,
hull_rsi,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
hull_rsi,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,
hull_rsi,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
ichimoku_cloud_breakout,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
ichimoku_cloud_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
ichimoku_cloud_breakout,neutral,Health Care,INSUFFICIENT_SAMPLE,0,3,3,False,,
ichimoku_cloud_breakout,neutral,Industrials,INSUFFICIENT_SAMPLE,0,3,3,False,,
ichimoku_cloud_breakout,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False,,
ichimoku_cloud_breakout,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
macd_crossover,neutral,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
macd_crossover,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
parabolic_sar_flip,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r1_breakout,crisis_CRISIS_FLAG,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False,,
pivot_r1_breakout,crisis_CRISIS_FLAG,Health Care,INSUFFICIENT_SAMPLE,0,3,3,False,,
pivot_r1_breakout,crisis_CRISIS_FLAG,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r1_breakout,crisis_CRISIS_FLAG,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r1_breakout,crisis_CRISIS_FLAG,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r1_breakout,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,4,4,False,,
pivot_r1_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,4,4,False,,
pivot_r1_breakout,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,3,3,False,,
pivot_r1_breakout,neutral,Energy,INSUFFICIENT_SAMPLE,0,11,11,False,,
pivot_r1_breakout,neutral,Financials,INSUFFICIENT_SAMPLE,0,9,9,False,,
pivot_r1_breakout,neutral,Health Care,INSUFFICIENT_SAMPLE,0,17,17,False,,
pivot_r1_breakout,neutral,Industrials,INSUFFICIENT_SAMPLE,0,12,12,False,,
pivot_r1_breakout,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,22,22,False,,
pivot_r1_breakout,neutral,Materials,INSUFFICIENT_SAMPLE,0,5,5,False,,
pivot_r1_breakout,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,2,2,False,,
pivot_r1_breakout,neutral,Unknown,INSUFFICIENT_SAMPLE,0,8,8,False,,
pivot_r1_breakout,neutral,Utilities,INSUFFICIENT_SAMPLE,0,4,4,False,,
pivot_r2_continuation,crisis_CRISIS_FLAG,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r2_continuation,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r2_continuation,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r2_continuation,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False,,
pivot_r2_continuation,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r2_continuation,neutral,Industrials,INSUFFICIENT_SAMPLE,0,4,4,False,,
pivot_r2_continuation,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False,,
pivot_r2_continuation,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_r2_continuation,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s2_bounce,neutral,Industrials,INSUFFICIENT_SAMPLE,0,3,3,False,,
pivot_s2_bounce,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s2_bounce,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s3_capitulation,neutral,Broad Market,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s3_capitulation,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s3_capitulation,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s3_capitulation,neutral,Energy,INSUFFICIENT_SAMPLE,0,2,2,False,,
pivot_s3_capitulation,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False,,
pivot_s3_capitulation,neutral,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False,,
stochrsi_oversold,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
stochrsi_oversold,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False,,
stochrsi_oversold,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,2,2,False,,
stochrsi_oversold,neutral,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
stochrsi_oversold,neutral,Financials,INSUFFICIENT_SAMPLE,0,3,3,False,,
stochrsi_oversold,neutral,Health Care,INSUFFICIENT_SAMPLE,0,4,4,False,,
stochrsi_oversold,neutral,Industrials,INSUFFICIENT_SAMPLE,0,8,8,False,,
stochrsi_oversold,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,8,8,False,,
stochrsi_oversold,neutral,Materials,INSUFFICIENT_SAMPLE,0,3,3,False,,
stochrsi_oversold,neutral,Unknown,INSUFFICIENT_SAMPLE,0,2,2,False,,
stochrsi_oversold,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Materials,INSUFFICIENT_SAMPLE,0,1,1,False,,
supertrend_macd,neutral,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,crisis_CRISIS_FLAG,Financials,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,neutral,Fixed Income,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False,,
ultimate_oscillator,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Consumer Staples,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Energy,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False,,
williams_r_oversold,neutral,Industrials,INSUFFICIENT_SAMPLE,0,6,6,False,,
williams_r_oversold,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False,,
williams_r_oversold,neutral,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_r_oversold,neutral,Utilities,INSUFFICIENT_SAMPLE,0,1,1,False,,
williams_stoch_dual,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False,,
