strategy,exit_method,cap_band,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,unknown,177,0.2824858757062147,-1.6253666666666668,-287.6899
bollinger_lower,atr_trail_2x,unknown,177,0.4350282485875706,0.2707033898305085,47.914500000000004
bollinger_lower,break_even_at_1r,unknown,177,0.1864406779661017,-0.48407966101694916,-85.6821
bollinger_lower,breakeven_plus_trail,unknown,177,0.4632768361581921,2.8080977401129945,497.0333
bollinger_lower,class_time_stop,unknown,177,0.5875706214689266,2.9279005649717513,518.2384
bollinger_lower,earnings_blackout,unknown,177,0.655367231638418,68.32317966101695,12093.202800000001
bollinger_lower,fixed_4r_2r,unknown,177,0.4576271186440678,3.8218514124293788,676.4677
bollinger_lower,hybrid_50pct_target,unknown,177,0.5423728813559322,3.2076497175141245,567.754
bollinger_lower,ma_exit_ema9,unknown,177,0.5084745762711864,0.12131694915254236,21.4731
bollinger_lower,next_pivot_target,unknown,177,0.5536723163841808,-0.22254689265536717,-39.39079999999999
bollinger_lower,r_multiple_2r,unknown,177,0.3954802259887006,0.38400734463276837,67.9693
bollinger_lower,r_multiple_3r,unknown,177,0.3107344632768362,0.678109604519774,120.02539999999999
bollinger_lower,regime_flip,unknown,177,0.576271186440678,0.754871186440678,133.6122
bollinger_lower,time_stop_10d,unknown,177,0.5988700564971752,1.0105457627118644,178.8666
bollinger_lower,time_stop_20d,unknown,177,0.576271186440678,0.754871186440678,133.6122
bollinger_lower,trailing_10pct,unknown,177,0.3898305084745763,0.2411887005649716,42.690399999999975
bollinger_lower,trailing_15pct,unknown,177,0.3785310734463277,1.403722033898305,248.4588
bollinger_lower,trailing_5pct,unknown,177,0.3107344632768362,-0.5951768361581921,-105.3463
bollinger_tight,atr_trail_1x,unknown,107,0.29906542056074764,-0.8411616822429907,-90.0043
bollinger_tight,atr_trail_2x,unknown,107,0.411214953271028,3.657978504672897,391.4037
bollinger_tight,break_even_at_1r,unknown,107,0.16822429906542055,-0.12462429906542052,-13.334799999999996
bollinger_tight,breakeven_plus_trail,unknown,107,0.42990654205607476,6.876331775700935,735.7675
bollinger_tight,class_time_stop,unknown,107,0.5327102803738317,5.668422429906542,606.5212
bollinger_tight,earnings_blackout,unknown,107,0.6635514018691588,52.438027102803744,5610.8689
