tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,1,0.0,-6.494,0.0,-6.494,HIGH
HIGH,545,0.3578,0.204,1.0422,111.1654,MEDIUM
