strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,neutral,177,0.3842,-0.0131,-2.3228
bollinger_tight,neutral,107,0.3738,0.5678,60.7582
cmf_flip,neutral,11,0.2727,-0.7443,-8.1873
cpr_narrow_bullish,crisis_CRISIS_FLAG,3,0.3333,-3.3206,-9.9619
cpr_narrow_bullish,neutral,25,0.36,1.2391,30.9773
hull_rsi,neutral,8,0.375,-2.7339,-21.8712
ichimoku_cloud_breakout,neutral,11,0.0909,-7.4169,-81.5859
pivot_r1_breakout,crisis_CRISIS_FLAG,8,0.375,1.2774,10.2191
pivot_r1_breakout,neutral,101,0.3267,-0.8663,-87.5004
pivot_r2_continuation,neutral,13,0.1538,-5.8686,-76.2919
pivot_s2_bounce,neutral,5,0.2,-1.4113,-7.0563
pivot_s3_capitulation,neutral,7,0.4286,15.0778,105.5448
stochrsi_oversold,neutral,35,0.2857,0.2886,10.1024
supertrend_macd,neutral,6,0.5,4.2821,25.6925
ultimate_oscillator,neutral,5,0.8,9.0634,45.3171
williams_r_oversold,neutral,16,0.4375,6.4912,103.86
