strategy,exit_method,adv_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_tight,atr_trail_mae_conditional,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,atr_trail_mae_conditional,ge_500M,9,0.1111111111111111,-1.1057222222222223,-9.951500000000001
bollinger_tight,atr_trail_vix_conditional,100_500M,1,0.0,-4.3202,-4.3202
bollinger_tight,atr_trail_vix_conditional,ge_500M,9,0.1111111111111111,-1.5630777777777778,-14.0677
bollinger_tight,break_even_at_1r,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,break_even_at_1r,ge_500M,9,0.1111111111111111,-1.0899444444444444,-9.8095
bollinger_tight,breakeven_plus_trail,100_500M,1,0.0,0.0,0.0
bollinger_tight,breakeven_plus_trail,ge_500M,9,0.2222222222222222,-0.7305777777777777,-6.575199999999999
bollinger_tight,chandelier_3x,100_500M,1,0.0,-1.3313,-1.3313
bollinger_tight,chandelier_3x,ge_500M,9,0.0,-0.41234444444444446,-3.7111
bollinger_tight,class_time_stop,100_500M,1,1.0,0.901,0.901
bollinger_tight,class_time_stop,ge_500M,9,0.2222222222222222,-3.0065333333333335,-27.0588
bollinger_tight,earnings_blackout,100_500M,1,0.0,-9.1146,-9.1146
bollinger_tight,earnings_blackout,ge_500M,9,0.6666666666666666,33.68837777777778,303.1954
bollinger_tight,fixed_4r_2r,100_500M,1,0.0,-6.6181,-6.6181
bollinger_tight,fixed_4r_2r,ge_500M,9,0.1111111111111111,-2.2418666666666667,-20.1768
bollinger_tight,hybrid_50pct_target,100_500M,1,1.0,5.2102,5.2102
bollinger_tight,hybrid_50pct_target,ge_500M,9,0.4444444444444444,-1.790288888888889,-16.1126
bollinger_tight,ma_exit_ema9,100_500M,1,0.0,-1.7429,-1.7429
bollinger_tight,ma_exit_ema9,ge_500M,9,0.4444444444444444,-0.040711111111111115,-0.36640000000000006
bollinger_tight,mfe_lockin_trail,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,mfe_lockin_trail,ge_500M,9,0.1111111111111111,-0.8128444444444445,-7.3156
bollinger_tight,multi_tier_partial,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,multi_tier_partial,ge_500M,9,0.2222222222222222,-0.7825000000000001,-7.0425
bollinger_tight,next_pivot_target,100_500M,1,1.0,2.1921,2.1921
bollinger_tight,next_pivot_target,ge_500M,9,0.7777777777777778,-0.3111444444444444,-2.8002999999999996
bollinger_tight,r_multiple_2r,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,r_multiple_2r,ge_500M,9,0.2222222222222222,-0.25215555555555585,-2.2694000000000027
bollinger_tight,r_multiple_3r,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,r_multiple_3r,ge_500M,9,0.1111111111111111,-0.4587222222222223,-4.128500000000001
bollinger_tight,regime_flip,100_500M,1,0.0,-0.5557,-0.5557
bollinger_tight,regime_flip,ge_500M,9,0.2222222222222222,-1.0733666666666666,-9.6603
bollinger_tight,reverse_signal,100_500M,1,0.0,-2.8801,-2.8801
bollinger_tight,reverse_signal,ge_500M,9,0.1111111111111111,-1.1057222222222223,-9.951500000000001
bollinger_tight,smc_mitigation_zone,100_500M,1,0.0,-1.7429,-1.7429
bollinger_tight,smc_mitigation_zone,ge_500M,9,0.3333333333333333,0.07028888888888885,0.6325999999999996
bollinger_tight,time_stop_10d,100_500M,1,0.0,-3.7805,-3.7805
bollinger_tight,time_stop_10d,ge_500M,9,0.6666666666666666,2.184877777777778,19.6639
bollinger_tight,time_stop_20d,100_500M,1,0.0,-0.5557,-0.5557
bollinger_tight,time_stop_20d,ge_500M,9,0.2222222222222222,-1.0733666666666666,-9.6603
bollinger_tight,trailing_10pct,100_500M,1,1.0,1.78,1.78
bollinger_tight,trailing_10pct,ge_500M,9,0.2222222222222222,-2.1970666666666667,-19.773600000000002
bollinger_tight,trailing_15pct,100_500M,1,0.0,-3.8744,-3.8744
