strategy,exit_method,sector_momentum_vs_spy_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_2x,spy_mild_down_neg5_0,9,0.1111111111111111,-4.011155555555556,-36.1004
bollinger_lower,atr_trail_2x,spy_mild_up_0_5pct,5,0.0,-3.6072800000000003,-18.0364
bollinger_lower,atr_trail_2x,spy_strong_down_lt_neg5,5,0.6,2.32208,11.6104
bollinger_lower,atr_trail_mae_conditional,spy_mild_down_neg5_0,9,0.0,-2.0923444444444446,-18.8311
bollinger_lower,atr_trail_mae_conditional,spy_mild_up_0_5pct,5,0.0,-2.41154,-12.0577
bollinger_lower,atr_trail_mae_conditional,spy_strong_down_lt_neg5,5,0.6,5.025440000000001,25.127200000000002
bollinger_lower,atr_trail_vix_conditional,spy_mild_down_neg5_0,9,0.0,-3.3723111111111113,-30.3508
bollinger_lower,atr_trail_vix_conditional,spy_mild_up_0_5pct,5,0.0,-2.60338,-13.0169
bollinger_lower,atr_trail_vix_conditional,spy_strong_down_lt_neg5,5,0.6,3.3550600000000004,16.7753
bollinger_lower,break_even_at_1r,spy_mild_down_neg5_0,9,0.0,-2.2955111111111113,-20.6596
bollinger_lower,break_even_at_1r,spy_mild_up_0_5pct,5,0.0,-2.6843,-13.4215
bollinger_lower,break_even_at_1r,spy_strong_down_lt_neg5,5,0.4,2.2883400000000003,11.4417
bollinger_lower,breakeven_plus_trail,spy_mild_down_neg5_0,9,0.0,-3.4593555555555557,-31.1342
bollinger_lower,breakeven_plus_trail,spy_mild_up_0_5pct,5,0.0,-3.01878,-15.0939
bollinger_lower,breakeven_plus_trail,spy_strong_down_lt_neg5,5,0.6,6.257,31.285
bollinger_lower,chandelier_3x,spy_mild_down_neg5_0,9,0.0,-0.1608777777777778,-1.4479
bollinger_lower,chandelier_3x,spy_mild_up_0_5pct,5,0.0,-0.13196000000000002,-0.6598
bollinger_lower,chandelier_3x,spy_strong_down_lt_neg5,5,0.0,-0.5855,-2.9275
bollinger_lower,class_time_stop,spy_mild_down_neg5_0,9,0.2222222222222222,-3.758222222222222,-33.824
bollinger_lower,class_time_stop,spy_mild_up_0_5pct,5,0.2,-4.7373400000000006,-23.686700000000002
bollinger_lower,class_time_stop,spy_strong_down_lt_neg5,5,1.0,10.57344,52.8672
bollinger_lower,earnings_blackout,spy_mild_down_neg5_0,9,0.6666666666666666,19.452533333333335,175.0728
bollinger_lower,earnings_blackout,spy_mild_up_0_5pct,5,0.4,-3.32042,-16.6021
bollinger_lower,earnings_blackout,spy_strong_down_lt_neg5,5,0.6,10.21012,51.0506
bollinger_lower,fixed_4r_2r,spy_mild_down_neg5_0,9,0.1111111111111111,-3.1852666666666667,-28.6674
bollinger_lower,fixed_4r_2r,spy_mild_up_0_5pct,5,0.0,-5.33608,-26.6804
bollinger_lower,fixed_4r_2r,spy_strong_down_lt_neg5,5,0.8,18.46212,92.3106
bollinger_lower,hybrid_50pct_target,spy_mild_down_neg5_0,9,0.4444444444444444,-3.292477777777778,-29.6323
bollinger_lower,hybrid_50pct_target,spy_mild_up_0_5pct,5,0.2,-7.3459,-36.7295
bollinger_lower,hybrid_50pct_target,spy_strong_down_lt_neg5,5,1.0,14.468880000000002,72.34440000000001
bollinger_lower,ma_exit_ema9,spy_mild_down_neg5_0,9,0.2222222222222222,-0.6324777777777779,-5.692300000000001
bollinger_lower,ma_exit_ema9,spy_mild_up_0_5pct,5,0.6,0.01654,0.0827
bollinger_lower,ma_exit_ema9,spy_strong_down_lt_neg5,5,0.6,0.9998999999999999,4.999499999999999
bollinger_lower,mfe_lockin_trail,spy_mild_down_neg5_0,9,0.0,-2.0923444444444446,-18.8311
bollinger_lower,mfe_lockin_trail,spy_mild_up_0_5pct,5,0.0,-2.41154,-12.0577
bollinger_lower,mfe_lockin_trail,spy_strong_down_lt_neg5,5,0.6,4.364839999999999,21.824199999999998
bollinger_lower,multi_tier_partial,spy_mild_down_neg5_0,9,0.1111111111111111,-1.9429,-17.4861
bollinger_lower,multi_tier_partial,spy_mild_up_0_5pct,5,0.0,-2.41154,-12.0577
bollinger_lower,multi_tier_partial,spy_strong_down_lt_neg5,5,0.6,3.70728,18.5364
bollinger_lower,next_pivot_target,spy_mild_down_neg5_0,9,0.5555555555555556,-2.907766666666667,-26.169900000000002
bollinger_lower,next_pivot_target,spy_mild_up_0_5pct,5,0.2,-5.949540000000001,-29.747700000000002
bollinger_lower,next_pivot_target,spy_strong_down_lt_neg5,5,0.8,3.9474399999999994,19.737199999999998
bollinger_lower,r_multiple_2r,spy_mild_down_neg5_0,9,0.1111111111111111,-1.7477555555555555,-15.7298
bollinger_lower,r_multiple_2r,spy_mild_up_0_5pct,5,0.0,-2.6843,-13.4215
bollinger_lower,r_multiple_2r,spy_strong_down_lt_neg5,5,0.4,2.1738999999999997,10.869499999999999
bollinger_lower,r_multiple_3r,spy_mild_down_neg5_0,9,0.0,-2.9434222222222224,-26.4908
bollinger_lower,r_multiple_3r,spy_mild_up_0_5pct,5,0.0,-2.6843,-13.4215
bollinger_lower,r_multiple_3r,spy_strong_down_lt_neg5,5,0.4,5.74452,28.7226
bollinger_lower,regime_flip,spy_mild_down_neg5_0,9,0.2222222222222222,-0.6244333333333332,-5.619899999999999
bollinger_lower,regime_flip,spy_mild_up_0_5pct,5,0.2,-5.9848799999999995,-29.9244
bollinger_lower,regime_flip,spy_strong_down_lt_neg5,5,0.8,10.2168,51.083999999999996
bollinger_lower,reverse_signal,spy_mild_down_neg5_0,9,0.0,-2.0923444444444446,-18.8311
bollinger_lower,reverse_signal,spy_mild_up_0_5pct,5,0.0,-2.41154,-12.0577
bollinger_lower,reverse_signal,spy_strong_down_lt_neg5,5,0.6,5.025440000000001,25.127200000000002
bollinger_lower,smc_mitigation_zone,spy_mild_down_neg5_0,9,0.1111111111111111,-1.0699444444444444,-9.6295
bollinger_lower,smc_mitigation_zone,spy_mild_up_0_5pct,5,0.4,-0.5140399999999999,-2.5702
bollinger_lower,smc_mitigation_zone,spy_strong_down_lt_neg5,5,0.6,1.53034,7.6517
bollinger_lower,time_stop_10d,spy_mild_down_neg5_0,9,0.3333333333333333,-0.8041666666666667,-7.2375
bollinger_lower,time_stop_10d,spy_mild_up_0_5pct,5,0.0,-5.61064,-28.0532
bollinger_lower,time_stop_10d,spy_strong_down_lt_neg5,5,0.6,5.30654,26.5327
bollinger_lower,time_stop_20d,spy_mild_down_neg5_0,9,0.2222222222222222,-0.6244333333333332,-5.619899999999999
bollinger_lower,time_stop_20d,spy_mild_up_0_5pct,5,0.2,-5.9848799999999995,-29.9244
bollinger_lower,time_stop_20d,spy_strong_down_lt_neg5,5,0.8,10.2168,51.083999999999996
bollinger_lower,trailing_10pct,spy_mild_down_neg5_0,9,0.2222222222222222,-5.246544444444445,-47.218900000000005
bollinger_lower,trailing_10pct,spy_mild_up_0_5pct,5,0.0,-8.688419999999999,-43.442099999999996
bollinger_lower,trailing_10pct,spy_strong_down_lt_neg5,5,0.6,4.46948,22.3474
bollinger_lower,trailing_15pct,spy_mild_down_neg5_0,9,0.1111111111111111,-4.796055555555555,-43.1645
bollinger_lower,trailing_15pct,spy_mild_up_0_5pct,5,0.0,-13.20656,-66.0328
bollinger_lower,trailing_15pct,spy_strong_down_lt_neg5,5,0.6,4.27942,21.397100000000002
bollinger_lower,trailing_5pct,spy_mild_down_neg5_0,9,0.0,-3.791744444444445,-34.1257
bollinger_lower,trailing_5pct,spy_mild_up_0_5pct,5,0.0,-3.2608800000000002,-16.3044
bollinger_lower,trailing_5pct,spy_strong_down_lt_neg5,5,0.2,-1.24564,-6.2282
bollinger_tight,atr_trail_1x,spy_mild_down_neg5_0,5,0.0,-2.44346,-12.2173
bollinger_tight,atr_trail_1x,spy_mild_up_0_5pct,1,0.0,-2.1917,-2.1917
bollinger_tight,atr_trail_1x,spy_strong_down_lt_neg5,4,0.25,0.39434999999999987,1.5773999999999995
bollinger_tight,atr_trail_2x,spy_mild_down_neg5_0,5,0.0,-5.2163200000000005,-26.0816
bollinger_tight,atr_trail_2x,spy_mild_up_0_5pct,1,0.0,-4.011,-4.011
bollinger_tight,atr_trail_2x,spy_strong_down_lt_neg5,4,0.5,-0.818,-3.272
bollinger_tight,atr_trail_mae_conditional,spy_mild_down_neg5_0,5,0.0,-2.44346,-12.2173
bollinger_tight,atr_trail_mae_conditional,spy_mild_up_0_5pct,1,0.0,-2.1917,-2.1917
bollinger_tight,atr_trail_mae_conditional,spy_strong_down_lt_neg5,4,0.25,0.39434999999999987,1.5773999999999995
bollinger_tight,atr_trail_vix_conditional,spy_mild_down_neg5_0,5,0.0,-3.7112000000000003,-18.556
bollinger_tight,atr_trail_vix_conditional,spy_mild_up_0_5pct,1,0.0,-1.9732,-1.9732
bollinger_tight,atr_trail_vix_conditional,spy_strong_down_lt_neg5,4,0.25,0.535325,2.1413
bollinger_tight,break_even_at_1r,spy_mild_down_neg5_0,5,0.0,-3.132,-15.66
bollinger_tight,break_even_at_1r,spy_mild_up_0_5pct,1,0.0,-0.1593,-0.1593
bollinger_tight,break_even_at_1r,spy_strong_down_lt_neg5,4,0.25,0.7824249999999998,3.1296999999999993
bollinger_tight,breakeven_plus_trail,spy_mild_down_neg5_0,5,0.2,-2.02474,-10.1237
bollinger_tight,breakeven_plus_trail,spy_mild_up_0_5pct,1,0.0,0.0,0.0
bollinger_tight,breakeven_plus_trail,spy_strong_down_lt_neg5,4,0.25,0.8871249999999999,3.5484999999999998
bollinger_tight,chandelier_3x,spy_mild_down_neg5_0,5,0.0,-0.39782,-1.9891
bollinger_tight,chandelier_3x,spy_mild_up_0_5pct,1,0.0,-0.2356,-0.2356
bollinger_tight,chandelier_3x,spy_strong_down_lt_neg5,4,0.0,-0.704425,-2.8177
bollinger_tight,class_time_stop,spy_mild_down_neg5_0,5,0.0,-5.08136,-25.4068
bollinger_tight,class_time_stop,spy_mild_up_0_5pct,1,0.0,-3.1659,-3.1659
bollinger_tight,class_time_stop,spy_strong_down_lt_neg5,4,0.75,0.6037250000000001,2.4149000000000003
bollinger_tight,earnings_blackout,spy_mild_down_neg5_0,5,0.6,30.023560000000003,150.11780000000002
bollinger_tight,earnings_blackout,spy_mild_up_0_5pct,1,1.0,16.7048,16.7048
bollinger_tight,earnings_blackout,spy_strong_down_lt_neg5,4,0.5,31.814550000000004,127.25820000000002
bollinger_tight,fixed_4r_2r,spy_mild_down_neg5_0,5,0.0,-6.5172799999999995,-32.5864
bollinger_tight,fixed_4r_2r,spy_mild_up_0_5pct,1,0.0,-8.6662,-8.6662
bollinger_tight,fixed_4r_2r,spy_strong_down_lt_neg5,4,0.25,3.614425,14.4577
bollinger_tight,hybrid_50pct_target,spy_mild_down_neg5_0,5,0.4,-3.02534,-15.1267
