strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
volume_spike_breakout,dual,unknown,10,STARVED,"bear,bull,neutral",,False,False,"above_avwap_20low,below_avwap_20high,close_above_open,close_below_open,close_in_bottom_40pct_of_range,close_in_top_40pct_of_range,dc20_breakout_dn,dc20_breakout_up,vol_spike_15x",REVIEW_NEEDED,
52w_high_breakout,dual,unknown,9,STARVED,"bull,neutral","bull,neutral",False,False,"break_52w_high,break_52w_high_clearance_atr_05,break_52w_high_confirmed_today,close_above_open,close_in_top_40pct_of_range,vol_spike_17x,year_high",REVIEW_NEEDED,
cup_and_handle_retest_long,long,unknown,9,STARVED,"bear,bull,neutral",,False,False,"cup_handle_detected,cup_handle_neckline_break_retest_long,price_above_ema_200,price_above_ema_50,rsi_14",REVIEW_NEEDED,
doji_at_resistance_short,short,unknown,9,STARVED,"bear,bull",,False,False,"at_key_fib_wide,doji,near_r1_wide,near_r2_wide,vol_spike_15x",REVIEW_NEEDED,
pead_long,long,unknown,9,STARVED,"bear,bull,neutral","bear,bull",False,False,"earnings_announcement_return,earnings_eps_yoy_growth,pead_positive_surprise,within_pead_window",REVIEW_NEEDED,
post_inclusion_reversal_short,short,unknown,9,STARVED,"bear,bull","bear,bull,crisis,neutral",False,False,,REVIEW_NEEDED,
xs_quality_top_quintile_long,long,unknown,9,STARVED,"bear,bull,neutral",bear,False,False,"price_above_ema_200,xs_quality_top_quintile",REVIEW_NEEDED,
52w_high_breakout_pullback_long,long,unknown,8,STARVED,"bull,neutral",,False,False,near_52w_high_retest_long,REVIEW_NEEDED,
golden_cross_50_200,dual,unknown,8,STARVED,"bear,bull",,False,False,"ema_50_200_death_cross,ema_50_200_golden_cross",REVIEW_NEEDED,
smc_fvg_retest_short,short,unknown,8,STARVED,"bear,bull","bear,crisis,neutral",False,False,"below_ema_200,smc_fvg_retest_short_zone",REVIEW_NEEDED,
vol_spike_2x_below_ema_50_short,short,unknown,8,STARVED,"bear,bull",,False,False,"below_ema_50,vol_spike_2x",REVIEW_NEEDED,
bollinger_tight,dual,unknown,7,STARVED,"bull,neutral",bull,False,False,"bb_20_15_reclaim_from_lower_recent_3d,bb_20_15_reclaim_from_upper_recent_3d,bb_20_20_reclaim_from_lower_recent_3d,bb_20_20_reclaim_from_upper_recent_3d,below_ema_200,price_above_ema_200,rsi_14,rsi_2,vix_band_high,vix_band_low",REVIEW_NEEDED,
monthly_bias_momentum_long,long,unknown,7,STARVED,"bear,bull,neutral","bull,neutral",False,False,"above_prev_high_clearance_atr_05,monthly_bias_bull,monthly_momentum_pos",REVIEW_NEEDED,
pead_with_smart_money_long,long,unknown,7,STARVED,"bear,bull",,False,False,"pead_positive_surprise,within_pead_window",REVIEW_NEEDED,
squeeze_breakout_with_smart_money_long,long,unknown,7,STARVED,"bear,bull",,False,False,"close_above_open,squeeze_fire_up",REVIEW_NEEDED,
xs_momentum_quality_combined,dual,unknown,7,STARVED,"bear,bull","bull,neutral",False,True,"price_above_ema_200,xs_momentum_top_decile,xs_quality_top_quintile",EXPLORATORY_INTENTIONAL,
xs_momentum_with_smart_money_long,long,unknown,7,STARVED,bull,,False,False,"price_above_ema_200,xs_momentum_top_decile",REVIEW_NEEDED,
donchian_breakdown_retest_short,short,unknown,6,STARVED,"bear,bull,neutral",,False,False,"close_below_open,close_in_bottom_40pct_of_range,dc20_support_break_retest_strong,macd_12_26_9_bearish,vol_below_avg",REVIEW_NEEDED,
