strategy_name,direction,category,n_fires,class,fired_regimes,regime_affinity,disabled_flag,exploratory_flag,producer_signals,root_cause_hypothesis,notes
classification_change_to_defensive_short,short,unknown,0,SILENT,,,False,True,"below_ema_200,classification_change_to_defensive,new_sector",EXPLORATORY_INTENTIONAL,
classification_change_to_tech_long,long,unknown,0,SILENT,,,False,True,"classification_change_to_tech,new_sector,price_above_ema_200",EXPLORATORY_INTENTIONAL,
classification_change_volume_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,days_since_classification_change,new_sector,price_above_ema_200,vol_spike_2x",EXPLORATORY_INTENTIONAL,
classification_change_with_insider_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,insider_cluster_active,new_sector,price_above_ema_200",EXPLORATORY_INTENTIONAL,
classification_change_with_institutional_long,long,unknown,0,SILENT,,,False,True,"classification_changed_recent,institutional_buy,new_sector,price_above_ema_200",EXPLORATORY_INTENTIONAL,
cup_and_handle_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"cup_handle_detected,price_above_ema_200,price_above_ema_50,rsi_14,vol_spike_2x",GATE_STACK_TOO_TIGHT_5_signals,
death_cross_50_200_volume,dual,unknown,0,SILENT,,"bear,crisis,neutral",False,True,"ema_50_200_death_cross,vol_spike_2x",EXPLORATORY_INTENTIONAL,
double_bottom_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"close_in_top_40pct_of_range,double_bottom_detected,price_above_ema_200,vol_spike_15x",GATE_STACK_TOO_TIGHT_4_signals,
dxy_headwind_multinational_short,short,unknown,0,SILENT,,"bear,bull,crisis,neutral",True,False,"foreign_rev_pct,usd_strengthening",DISABLED_KNOWN,
flag_bull_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"flag_bull_broke,price_above_ema_200",REVIEW_NEEDED,
flag_bull_retest_long,long,unknown,0,SILENT,,,False,False,"close_above_open,flag_bull_break_retest_long,price_above_ema_200,vol_below_avg",GATE_STACK_TOO_TIGHT_4_signals,
gold_silver_risk_off_long,long,unknown,0,SILENT,,"bear,crisis",False,False,"risk_off_regime_gold_signal,sector",REVIEW_NEEDED,
golden_cross_volume,dual,unknown,0,SILENT,,,False,True,"ema_50_200_death_cross,ema_50_200_golden_cross,vol_spike_2x",EXPLORATORY_INTENTIONAL,
ichimoku_cloud_breakdown,dual,unknown,0,SILENT,,"bear,crisis,neutral",False,False,"adx_trending,ichi_below_cloud,ichi_tk_cross_dn",REVIEW_NEEDED,
institutional_oversold_long,long,unknown,0,SILENT,,,False,False,"institutional_buy,price_above_ema_200,rsi_14",REVIEW_NEEDED,
institutional_persistence_volume_long,long,unknown,0,SILENT,,,False,False,"institutional_increased,price_above_ema_50,vol_spike_2x",REVIEW_NEEDED,
institutional_recent_init_volume_long,long,unknown,0,SILENT,,,False,False,"institutional_new_positions,price_above_ema_50,vol_spike_2x",REVIEW_NEEDED,
institutional_volume_confirmation_long,long,unknown,0,SILENT,,,False,False,"institutional_buy,price_above_ema_50,vol_spike_2x",REVIEW_NEEDED,
judas_swing_short,short,unknown,0,SILENT,,,False,False,"close_below_open,near_pivot,smc_liquidity_swept_up",REVIEW_NEEDED,
keltner_lower,dual,unknown,0,SILENT,,,False,False,"hammer,kc_touch_lower,kc_touch_upper,obv_bearish,obv_bullish,shooting_star",GATE_STACK_TOO_TIGHT_6_signals,
macd_bullish_with_smart_money_long,long,unknown,0,SILENT,,,False,False,"macd_12_26_9_crossover_up,price_above_ema_200",REVIEW_NEEDED,
mfi_oversold_with_smart_money_long,long,unknown,0,SILENT,,,False,False,"mfi_oversold,price_above_ema_200",REVIEW_NEEDED,
news_momentum_long,long,unknown,0,SILENT,,,False,False,"above_avwap_20low,close_above_open,close_in_top_40pct_of_range,dc20_breakout_up,news_sentiment_5d,news_volume_zscore_5d,vol_above_avg",GATE_STACK_TOO_TIGHT_7_signals,
news_momentum_short,short,unknown,0,SILENT,,,False,False,"above_avwap_20high,below_avwap_20high,close_below_open,close_in_bottom_40pct_of_range,dc20_breakout_dn,news_sentiment_5d,news_volume_zscore_5d,vol_above_avg",GATE_STACK_TOO_TIGHT_8_signals,
news_reversal_long,long,unknown,0,SILENT,,,False,False,"close_above_open,close_in_top_40pct_of_range,news_count_5d,news_sentiment_5d,news_sentiment_shift,pct_change_5d",GATE_STACK_TOO_TIGHT_6_signals,
news_reversal_short,short,unknown,0,SILENT,,,False,False,"close_below_open,close_in_bottom_40pct_of_range,news_count_5d,news_sentiment_5d,news_sentiment_shift,pct_change_5d",GATE_STACK_TOO_TIGHT_6_signals,
pivot_r2_continuation,dual,unknown,0,SILENT,,,False,False,"above_avwap_252low,above_avwap_50low,above_r2,adx_trending,below_avwap_252low,below_avwap_50low,below_s2,ema_50_200_bearish,ema_50_200_bullish,vol_spike_15x,vol_spike_2x",GATE_STACK_TOO_TIGHT_11_signals,
pivot_r3_blowoff_short,short,unknown,0,SILENT,,,False,True,"bearish_engulfing,below_prev_low,recent_blowoff_at_r3,shooting_star,vol_below_avg",EXPLORATORY_INTENTIONAL,
pivot_s3_capitulation,dual,unknown,0,SILENT,,"bear,crisis,neutral",False,True,"above_prev_high,bullish_engulfing,hammer,recent_capitulation_at_s3,vol_below_avg",EXPLORATORY_INTENTIONAL,
post_deletion_drift_short,short,unknown,0,SILENT,,"bear,crisis,neutral",False,False,,REVIEW_NEEDED,
post_inclusion_drift_long,long,unknown,0,SILENT,,"bear,bull,crisis,neutral",False,False,,REVIEW_NEEDED,
pre_fomc_quality_momentum_long,long,unknown,0,SILENT,,"bull,neutral",False,True,"pre_fomc_d1,price_above_ema_200,xs_momentum_top_decile",EXPLORATORY_INTENTIONAL,
pre_rebalance_long,long,unknown,0,SILENT,,"bear,bull,crisis,neutral",False,True,,EXPLORATORY_INTENTIONAL,
rsi21_slow,dual,unknown,0,SILENT,,,False,True,"below_sma_50,price_above_sma_50,rsi_21",EXPLORATORY_INTENTIONAL,
rsi9_extreme,dual,unknown,0,SILENT,,,False,False,"price_above_ema_200,rsi_9_extreme_os,rsi_9_rising",REVIEW_NEEDED,
rsi_overbought_short,short,unknown,0,SILENT,,"bear,crisis,neutral",False,True,"bearish_engulfing,below_sma_50,rsi_14,rsi_14_rising",EXPLORATORY_INTENTIONAL,
rsi_oversold_with_smart_money_long,long,unknown,0,SILENT,,,False,False,"price_above_ema_200,rsi_14_oversold",REVIEW_NEEDED,
rsi_volume_200ema,dual,unknown,0,SILENT,,,False,True,"below_ema_200,price_above_ema_200,rsi_14,vol_above_avg",EXPLORATORY_INTENTIONAL,
sector_rotation_defensive_long,long,unknown,0,SILENT,,"bear,crisis",False,False,"defensive_leadership,sector",REVIEW_NEEDED,
short_borrow_trap_avoid,dual,unknown,0,SILENT,,,False,False,days_to_cover,REVIEW_NEEDED,
smc_mitigation_block_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"price_above_ema_200,rsi_14,smc_mitigation_block_long",REVIEW_NEEDED,
squeeze_setup_long,long,unknown,0,SILENT,,,False,False,"above_avwap_20low,close_above_open,close_in_top_40pct_of_range,days_to_cover,insider_cluster_active,institutional_buy,news_sentiment_shift,pead_positive_surprise,short_interest_pct,vol_spike_15x,within_pead_window",EXPLORATORY_INTENTIONAL,
supertrend_ichimoku_adx,dual,unknown,0,SILENT,,,False,True,"adx_strong,ichi_above_cloud_break_recent_5d,ichi_below_cloud_break_recent_5d,supertrend_flip_recent_long_5d,supertrend_flip_recent_short_5d",EXPLORATORY_INTENTIONAL,
triangle_ascending_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"price_above_ema_200,triangle_ascending_detected",REVIEW_NEEDED,
triangle_ascending_retest_long,long,unknown,0,SILENT,,,False,False,"price_above_ema_200,triangle_apex_break_retest_long,triangle_ascending_detected",REVIEW_NEEDED,
triangle_descending_short,short,unknown,0,SILENT,,,False,True,"below_ema_200,triangle_descending_detected",EXPLORATORY_INTENTIONAL,
value_area_breakout_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"price_above_ema_200,vol_spike_2x,vp_above_value_area",REVIEW_NEEDED,
weekly_bias_pullback_long,long,unknown,0,SILENT,,"bull,neutral",False,False,"bullish_engulfing,hammer,rsi_14,weekly_bias_bull",GATE_STACK_TOO_TIGHT_4_signals,
weekly_bias_pullback_short,short,unknown,0,SILENT,,"bear,crisis,neutral",False,False,"bearish_engulfing,rsi_14,shooting_star,weekly_bias_bear",GATE_STACK_TOO_TIGHT_4_signals,
xs_combined_momentum_low_ivol,dual,unknown,0,SILENT,,"bear,bull,neutral",False,True,"price_above_ema_200,xs_ivol_decile,xs_momentum_top_decile",EXPLORATORY_INTENTIONAL,
bollinger_lower,dual,unknown,29,STARVED,"bear,bull,neutral",,False,False,"adx,bb_20_20_reclaim_from_lower_recent_3d,bb_20_20_reclaim_from_upper_recent_3d,below_ema_200,price_above_ema_200,rsi_14,rsi_2,vix_band_high,vix_band_low",REVIEW_NEEDED,
htf_aligned_breakout_long,long,unknown,29,STARVED,"bear,bull","bull,neutral",False,False,"above_prev_high,htf_aligned_bull,vol_spike_15x",REVIEW_NEEDED,
break_retest_confluence,dual,unknown,28,STARVED,"bear,bull,neutral",,False,False,"below_ema_20,below_ema_50,close_above_open,close_below_open,close_in_bottom_40pct_of_range,close_in_top_40pct_of_range,macd_12_26_9_bearish,macd_12_26_9_bullish,price_above_ema_20,price_above_ema_50,resistance_break_retest,support_break_retest",REVIEW_NEEDED,
williams_stoch_dual,dual,unknown,28,STARVED,"bear,bull",bear,False,False,"near_cam_r3,near_cam_s3,near_r1,near_r2,near_s1,near_s2,stoch_bearish_cross,stoch_bullish_cross,williams_r,williams_r_oversold",REVIEW_NEEDED,
inside_bar_breakout,dual,unknown,27,STARVED,"bear,bull,neutral",,False,False,"above_vwap,adx_trending,inside_bar",REVIEW_NEEDED,
institutional_persistence_momentum_long,long,unknown,26,STARVED,"bear,bull,neutral",,False,False,"institutional_increased,macd_12_26_9_bullish,price_above_ema_50",REVIEW_NEEDED,
cpr_narrow_momentum,dual,unknown,25,STARVED,"bear,bull,neutral",,False,True,"above_cpr,below_cpr,below_ema_200,cpr_narrow_tight,macd_12_26_9_bearish,macd_12_26_9_bullish,price_above_ema_200,rsi_14",EXPLORATORY_INTENTIONAL,
institutional_recent_init_momentum_long,long,unknown,25,STARVED,"bear,bull,neutral",,False,False,"institutional_new_positions,macd_12_26_9_bullish,price_above_ema_200",REVIEW_NEEDED,
smc_bos_continuation,dual,unknown,25,STARVED,"bear,bull,neutral",,False,False,"below_ema_200,force_index_cross_up,price_above_ema_200,rsi_14,smc_bos_bearish,smc_bos_bullish,vol_spike_2x",REVIEW_NEEDED,
turtle_soup_long,long,unknown,24,STARVED,"bear,bull",,False,False,"above_prev_low,below_prev_low,close_above_open,smc_liquidity_swept_dn",REVIEW_NEEDED,
