strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,actual_fire_rate,composite_score,recommended
avwap_50_reclaim,trailing_10pct,89,0.3034,0.8071,-0.7555,-67.2387,-121.091,47.2,0.9775,12.14,False
avwap_50_reclaim,atr_trail_2x,89,0.2921,0.7658,-0.6142,-54.6671,-112.4902,16.2,0.9775,11.68,False
avwap_50_reclaim,ma_exit_ema9,89,0.2697,0.7346,-0.6408,-57.0295,-100.8285,10.6,0.9888,10.79,False
avwap_50_reclaim,chandelier_3x,89,0.2472,0.5829,-1.387,-123.4391,-185.3762,17.8,0.9775,9.89,False
avwap_50_reclaim,smc_mitigation_zone,89,0.2247,0.3806,-0.8786,-78.1973,-86.0794,3.9,0.9888,8.99,False
avwap_50_reclaim,atr_trail_vix_conditional,89,0.2247,0.415,-0.9401,-83.6688,-96.8085,5.4,0.9888,8.99,False
avwap_50_reclaim,reverse_signal,89,0.2022,0.3435,-1.0343,-92.054,-99.641,4.5,0.9888,8.09,False
avwap_50_reclaim,smart_money_reversal,89,0.2022,0.3435,-1.0343,-92.054,-99.641,4.5,1.0,8.09,False
avwap_50_reclaim,mfe_lockin_trail,89,0.2022,0.2989,-1.1045,-98.3025,-104.5207,4.0,0.9888,8.09,False
avwap_50_reclaim,atr_trail_mae_conditional,89,0.2022,0.3435,-1.0343,-92.054,-99.641,4.5,0.9888,8.09,False
avwap_50_reclaim,atr_trail_1x,89,0.2022,0.3435,-1.0343,-92.054,-99.641,4.5,0.9888,8.09,False
avwap_50_reclaim,break_even_at_1r,89,0.0449,0.6022,-0.5949,-52.9482,-79.5752,7.3,0.9888,1.8,False
awesome_oscillator,earnings_blackout,59,0.5763,2.0006,20.6702,1219.5429,-334.6323,800.9,0.0,53.05,False
awesome_oscillator,breakeven_plus_trail,59,0.2203,1.9355,2.0576,121.398,-39.0434,38.5,1.0,36.88,True
awesome_oscillator,r_multiple_2r,59,0.4576,1.5869,0.9407,55.5033,-21.4173,6.4,1.0,35.91,False
awesome_oscillator,break_even_at_1r,59,0.1017,2.7489,2.1464,126.6369,-21.733,20.9,1.0,34.07,False
awesome_oscillator,multi_tier_partial,59,0.5254,1.1144,0.1173,6.9218,-15.7226,4.8,1.0,30.86,False
awesome_oscillator,hybrid_50pct_target,59,0.6949,0.6976,-2.2469,-132.5679,-270.1466,84.8,0.9322,27.8,False
awesome_oscillator,time_stop_10d,59,0.6102,1.0911,0.277,16.3423,-75.007,14.5,1.0,27.14,False
awesome_oscillator,regime_flip,59,0.5424,1.1144,0.5404,31.8847,-113.7858,28.9,1.0,25.13,False
awesome_oscillator,time_stop_20d,59,0.5424,1.1144,0.5404,31.8847,-113.7858,28.9,1.0,25.13,False
awesome_oscillator,trailing_10pct,59,0.339,1.3114,1.2852,75.8259,-82.3946,59.6,0.9831,22.9,False
awesome_oscillator,class_time_stop,59,0.5424,0.9115,-0.5015,-29.5907,-114.4777,36.0,1.0,21.7,False
awesome_oscillator,next_pivot_target,59,0.5424,0.9657,-0.0885,-5.2231,-30.1646,10.6,1.0,21.7,False
awesome_oscillator,chandelier_3x,59,0.339,1.2693,0.7976,47.058,-48.4254,22.7,1.0,21.64,False
awesome_oscillator,r_multiple_3r,59,0.3559,1.2246,0.531,31.3264,-42.2661,10.7,1.0,20.97,False
awesome_oscillator,atr_trail_2x,59,0.3729,1.1131,0.3026,17.8552,-56.8346,15.9,1.0,18.31,False
awesome_oscillator,atr_trail_vix_conditional,59,0.339,1.1465,0.2272,13.4074,-39.5319,7.3,1.0,17.96,False
awesome_oscillator,smc_mitigation_zone,59,0.3898,0.6814,-0.3477,-20.5157,-31.0518,3.5,1.0,15.59,False
awesome_oscillator,ma_exit_ema9,59,0.3729,0.9204,-0.184,-10.8569,-49.5016,10.7,1.0,14.92,False
awesome_oscillator,fixed_4r_2r,59,0.3559,0.9834,-0.0653,-3.8512,-83.191,23.1,1.0,14.24,False
awesome_oscillator,smart_money_reversal,59,0.339,0.9581,-0.0572,-3.3745,-32.6251,6.1,1.0,13.56,False
awesome_oscillator,mfe_lockin_trail,59,0.339,0.8908,-0.1552,-9.1579,-38.6478,5.1,1.0,13.56,False
awesome_oscillator,reverse_signal,59,0.339,0.9208,-0.1126,-6.6415,-33.8922,6.1,1.0,13.56,False
awesome_oscillator,atr_trail_1x,59,0.339,0.9208,-0.1126,-6.6415,-33.8922,6.1,1.0,13.56,False
awesome_oscillator,atr_trail_mae_conditional,59,0.339,0.9208,-0.1126,-6.6415,-33.8922,6.1,1.0,13.56,False
awesome_oscillator,trailing_15pct,59,0.339,0.9497,-0.3231,-19.0615,-235.1602,101.3,0.9153,13.56,False
awesome_oscillator,trailing_5pct,59,0.322,0.7576,-0.5716,-33.7228,-53.1342,16.5,1.0,12.88,False
bollinger_lower,regime_flip,29,0.6207,3.9625,4.9957,144.8741,-18.1391,28.3,1.0,57.62,True
bollinger_lower,time_stop_20d,29,0.6207,3.9625,4.9957,144.8741,-18.1391,28.3,1.0,57.62,False
bollinger_lower,reverse_signal,29,0.6207,2.4043,3.8434,111.4575,-48.7151,56.4,0.931,54.83,False
bollinger_lower,trailing_15pct,29,0.4828,2.9963,10.0812,292.3549,-92.7688,186.7,0.8621,49.31,False
bollinger_lower,earnings_blackout,29,0.7586,1.1855,8.8781,257.4647,-855.6648,575.0,0.0,35.91,False
bollinger_lower,hybrid_50pct_target,29,0.6897,0.1514,-27.3799,-794.0162,-892.5141,68.0,0.8966,27.59,False
bollinger_lower,ma_exit_ema9,29,0.4828,0.3953,-0.7061,-20.4758,-16.4301,2.7,1.0,24.67,False
bollinger_lower,breakeven_plus_trail,29,0.2759,1.4175,0.9395,27.2462,-28.417,26.7,0.8966,23.56,False
bollinger_lower,next_pivot_target,29,0.5517,0.8597,-0.3265,-9.4695,-33.2024,10.3,1.0,22.07,False
bollinger_lower,class_time_stop,29,0.4828,0.4725,-1.4932,-43.3038,-43.5722,9.7,1.0,19.31,False
bollinger_lower,chandelier_3x,29,0.0,0.0,-0.5116,-14.8368,-8.8368,1.6,1.0,16.74,False
bollinger_lower,time_stop_10d,29,0.4138,0.8108,-0.6084,-17.6439,-38.2628,14.2,1.0,16.55,False
bollinger_lower,trailing_10pct,29,0.3793,0.7276,-1.1498,-33.3439,-83.8149,49.6,0.931,15.17,False
bollinger_lower,multi_tier_partial,29,0.3448,0.4652,-0.9525,-27.6223,-27.5306,4.6,1.0,13.79,False
bollinger_lower,smc_mitigation_zone,29,0.3448,0.1286,-1.2934,-37.5076,-35.5076,2.0,1.0,13.79,False
bollinger_lower,fixed_4r_2r,29,0.2759,0.9918,-0.0365,-1.0576,-60.533,18.4,1.0,11.04,False
bollinger_lower,r_multiple_2r,29,0.2414,0.7607,-0.5828,-16.9013,-31.7017,5.9,1.0,9.66,False
bollinger_lower,atr_trail_vix_conditional,29,0.2069,0.271,-1.5341,-44.4877,-42.4877,5.8,1.0,8.28,False
bollinger_lower,atr_trail_2x,29,0.2069,0.3083,-2.4809,-71.9448,-73.0279,12.3,1.0,8.28,False
