tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,1,0.0,-8.9937,0.0,-8.9937,HIGH
HIGH,48,0.4792,1.5599,1.3845,74.8744,MEDIUM
MEDIUM_HIGH,5,0.4,-5.9918,0.1114,-29.9588,MEDIUM
MEDIUM,5,0.6,13.0512,4.062,65.2558,LOW
LOW,3,0.6667,3.5696,2.7584,10.7089,LOW
