exit_method,regime_at_entry,sector,cap_band,vol_band,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct,sharpe_proxy
smc_mitigation_zone,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.2222222222222222,-0.8497888888888888,-7.6480999999999995,-1.6634335051377616
smc_mitigation_zone,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.2,0.36868000000000006,1.8434000000000004,0.3386496680488841
time_stop_10d,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.6666666666666666,1.8793444444444445,16.9141,0.7652297322944892
time_stop_10d,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,1.0,4.24328,21.2164,2.691134034806092
time_stop_20d,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.5555555555555556,4.831144444444444,43.4803,1.6519510795252468
time_stop_20d,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,4.46396,22.3198,2.2465884667822626
trailing_10pct,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.7777777777777778,11.249888888888888,101.249,3.51517343502776
trailing_10pct,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,1.0,6.58826,32.9413,2.4197901686136056
trailing_15pct,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.8888888888888888,13.366077777777777,120.29469999999999,3.060344067152313
trailing_15pct,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,5.4596800000000005,27.2984,1.6087664585665982
trailing_5pct,bull,Consumer Discretionary,unknown,low_lt_15,long_ge_11d,9,0.4444444444444444,1.4077333333333337,12.669600000000003,0.546436459028694
trailing_5pct,bull,Health Care,unknown,low_lt_15,long_ge_11d,5,0.8,7.075739999999999,35.378699999999995,2.3521101785727248
