strategy,exit_method,news_sentiment_shift_during_hold,n,win_rate,avg_pnl_pct,total_pnl_pct
macd_crossover,atr_trail_1x,high_gt_20,4,0.5,-1.2048999999999999,-4.819599999999999
macd_crossover,atr_trail_1x,mid_6_20,1,0.0,-3.3631,-3.3631
macd_crossover,atr_trail_2x,high_gt_20,4,0.5,4.328525,17.3141
macd_crossover,atr_trail_2x,mid_6_20,1,0.0,-6.7262,-6.7262
macd_crossover,atr_trail_mae_conditional,high_gt_20,4,0.5,-1.2048999999999999,-4.819599999999999
macd_crossover,atr_trail_mae_conditional,mid_6_20,1,0.0,-3.3631,-3.3631
macd_crossover,atr_trail_vix_conditional,high_gt_20,4,0.5,-0.9622499999999999,-3.8489999999999998
macd_crossover,atr_trail_vix_conditional,mid_6_20,1,0.0,-2.5223,-2.5223
macd_crossover,break_even_at_1r,high_gt_20,4,0.0,-1.2683,-5.0732
macd_crossover,break_even_at_1r,mid_6_20,1,0.0,-3.3631,-3.3631
macd_crossover,breakeven_plus_trail,high_gt_20,4,0.25,4.264175,17.0567
macd_crossover,breakeven_plus_trail,mid_6_20,1,0.0,-6.7262,-6.7262
macd_crossover,chandelier_3x,high_gt_20,4,0.25,4.60745,18.4298
macd_crossover,chandelier_3x,mid_6_20,1,0.0,-0.2356,-0.2356
macd_crossover,class_time_stop,high_gt_20,4,0.25,0.7188000000000003,2.8752000000000013
macd_crossover,class_time_stop,mid_6_20,1,0.0,-19.2697,-19.2697
macd_crossover,earnings_blackout,high_gt_20,4,0.25,-5.609300000000001,-22.437200000000004
macd_crossover,earnings_blackout,mid_6_20,1,0.0,-51.0811,-51.0811
macd_crossover,fixed_4r_2r,high_gt_20,4,0.25,0.3484499999999999,1.3937999999999997
macd_crossover,fixed_4r_2r,mid_6_20,1,0.0,-6.7262,-6.7262
macd_crossover,hybrid_50pct_target,high_gt_20,4,0.5,-0.3167749999999998,-1.2670999999999992
macd_crossover,hybrid_50pct_target,mid_6_20,1,0.0,-51.0811,-51.0811
macd_crossover,ma_exit_ema9,high_gt_20,4,0.25,-0.27715,-1.1086
macd_crossover,ma_exit_ema9,mid_6_20,1,0.0,-4.2349,-4.2349
macd_crossover,mfe_lockin_trail,high_gt_20,4,0.5,-1.2048999999999999,-4.819599999999999
macd_crossover,mfe_lockin_trail,mid_6_20,1,0.0,-3.3631,-3.3631
