preliminary_tier,confidence_tier,trades,win_rate,upgraded,downgraded
HIGH,HIGH,23,0.43478260869565216,False,False
MEDIUM,MEDIUM,1,1.0,False,False
VERY_HIGH,VERY_HIGH,2,0.5,False,False
