tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,2,0.5,-1.3214,0.7482,-2.6428,HIGH
HIGH,23,0.4348,2.0555,1.8402,47.2774,MEDIUM
MEDIUM,1,1.0,0.5471,inf,0.5471,LOW
