strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_252_breakout,neutral,5,0.4,-1.1693,-5.8467
avwap_50_reclaim,neutral,29,0.2759,-1.1196,-32.4684
bollinger_tight,neutral,4,0.0,-8.5808,-34.323
cmf_flip,neutral,4,0.0,-7.3053,-29.2213
cpr_narrow_bullish,neutral,94,0.266,-4.2748,-401.8353
hull_rsi,neutral,12,0.25,-0.6943,-8.3312
ichimoku_cloud_breakout,neutral,11,0.5455,8.5307,93.8382
macd_crossover,neutral,9,0.3333,-1.9548,-17.593
morning_star,neutral,3,0.3333,-2.3218,-6.9655
pivot_r1_breakout,neutral,11,0.2727,-1.0662,-11.728
stochrsi_oversold,neutral,5,0.6,-2.673,-13.3651
supertrend_macd,neutral,5,0.4,-7.8126,-39.063
ultimate_oscillator,neutral,5,0.2,3.8035,19.0175
williams_r_oversold,neutral,6,0.6667,3.1023,18.6141
williams_stoch_dual,neutral,18,0.2778,-3.1183,-56.1296
