strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
pivot_s2_bounce,0.0,0.9,inf,0.2
prev_day_high_break,0.0,0.9,inf,0.2
inside_bar_breakout,0.0,0.8,inf,0.4
williams_r_oversold,0.0,0.60003,2.06263,0.2
stochrsi_oversold,0.0,0.48,0.2909,0.4
ichimoku_cloud_breakout,0.0,0.4364,2.73224,0.4
bollinger_lower,0.0,0.45,0.434,0.2
avwap_252_breakout,0.0,0.32000000000000006,0.7389,0.4
supertrend_macd,0.0,0.32000000000000006,0.1924,0.4
macd_crossover,0.0,0.26664,0.644,0.4
morning_star,0.0,0.29997,0.5876,0.2
williams_stoch_dual,0.0,0.25002,0.2858,0.2
avwap_50_reclaim,0.0,0.24830999999999998,0.7031,0.2
pivot_r1_breakout,0.0,0.21816000000000002,0.7833,0.4
cpr_narrow_bullish,0.0,0.23940000000000003,0.3937,0.2
hull_rsi,0.0,0.2,0.8336,0.4
ultimate_oscillator,0.0,0.18000000000000002,1.49086,0.2
bollinger_tight,0.0,0.0,0.0,0.2
macd_fast_crossover,0.0,0.0,0.0,0.4
ichimoku_tk_cross,0.0,0.0,0.0,0.2
cmf_flip,0.0,0.0,0.0,0.2
golden_cross_50_200,0.0,0.0,0.0,0.2
adx_initiation,0.0,0.0,0.0,0.2
orb_stocks_in_play_long,0.0,0.0,0.0,0.2
prev_day_low_bounce,0.0,0.0,0.0,0.2
camarilla_r3_breakout,0.0,0.0,0.0,0.4
