strategy,exit_method,mae_bucket,n,win_rate,avg_pnl_pct,total_pnl_pct
monthly_bias_momentum_long,r_multiple_2r,q4_ge_10pct,22,0.4090909090909091,0.5528,12.1616
monthly_bias_momentum_long,r_multiple_3r,q4_ge_10pct,22,0.36363636363636365,1.7017590909090907,37.4387
monthly_bias_momentum_long,regime_flip,q4_ge_10pct,22,0.45454545454545453,-1.065568181818182,-23.442500000000003
monthly_bias_momentum_long,reverse_signal,q4_ge_10pct,22,0.22727272727272727,-1.5337681818181819,-33.7429
monthly_bias_momentum_long,smc_mitigation_zone,q4_ge_10pct,22,0.22727272727272727,-1.5560727272727275,-34.2336
monthly_bias_momentum_long,time_stop_10d,q4_ge_10pct,22,0.5454545454545454,1.036527272727273,22.803600000000007
monthly_bias_momentum_long,time_stop_20d,q4_ge_10pct,22,0.45454545454545453,-1.065568181818182,-23.442500000000003
monthly_bias_momentum_long,trailing_10pct,q4_ge_10pct,22,0.3181818181818182,-0.029245454545454352,-0.6433999999999958
monthly_bias_momentum_long,trailing_15pct,q4_ge_10pct,22,0.36363636363636365,0.4199545454545458,9.239000000000008
monthly_bias_momentum_long,trailing_5pct,q4_ge_10pct,22,0.22727272727272727,-1.4559954545454545,-32.0319
pairs_mean_reversion_long,atr_trail_1x,q4_ge_10pct,7,0.2857142857142857,-0.6745142857142856,-4.7216
pairs_mean_reversion_long,atr_trail_2x,q4_ge_10pct,7,0.2857142857142857,-2.0236428571428573,-14.1655
pairs_mean_reversion_long,atr_trail_mae_conditional,q4_ge_10pct,7,0.2857142857142857,-0.6745142857142856,-4.7216
pairs_mean_reversion_long,atr_trail_vix_conditional,q4_ge_10pct,7,0.14285714285714285,-1.1775142857142857,-8.2426
pairs_mean_reversion_long,break_even_at_1r,q4_ge_10pct,7,0.0,-1.6929571428571428,-11.8507
pairs_mean_reversion_long,breakeven_plus_trail,q4_ge_10pct,7,0.0,-2.448514285714286,-17.1396
pairs_mean_reversion_long,chandelier_3x,q4_ge_10pct,7,0.0,-0.4997285714285714,-3.4981
pairs_mean_reversion_long,class_time_stop,q4_ge_10pct,7,0.5714285714285714,0.30187142857142873,2.113100000000001
pairs_mean_reversion_long,earnings_blackout,q4_ge_10pct,7,0.42857142857142855,-2.5156,-17.6092
pairs_mean_reversion_long,fixed_4r_2r,q4_ge_10pct,7,0.2857142857142857,0.1168571428571427,0.817999999999999
pairs_mean_reversion_long,hybrid_50pct_target,q4_ge_10pct,7,0.7142857142857143,4.7569,33.2983
pairs_mean_reversion_long,ma_exit_ema9,q4_ge_10pct,7,0.14285714285714285,-0.9046714285714286,-6.3327
pairs_mean_reversion_long,mfe_lockin_trail,q4_ge_10pct,7,0.2857142857142857,-1.0429285714285714,-7.3004999999999995
pairs_mean_reversion_long,multi_tier_partial,q4_ge_10pct,7,0.2857142857142857,-0.6339,-4.4373000000000005
pairs_mean_reversion_long,next_pivot_target,q4_ge_10pct,7,0.5714285714285714,-1.9750714285714286,-13.8255
pairs_mean_reversion_long,r_multiple_2r,q4_ge_10pct,7,0.14285714285714285,-0.8265428571428572,-5.785800000000001
pairs_mean_reversion_long,r_multiple_3r,q4_ge_10pct,7,0.14285714285714285,-0.24672857142857155,-1.7271000000000007
pairs_mean_reversion_long,regime_flip,q4_ge_10pct,7,0.5714285714285714,-0.2753142857142857,-1.9271999999999998
pairs_mean_reversion_long,reverse_signal,q4_ge_10pct,7,0.2857142857142857,-0.6745142857142856,-4.7216
pairs_mean_reversion_long,smc_mitigation_zone,q4_ge_10pct,7,0.14285714285714285,-0.8803571428571428,-6.1625
