strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
pairs_mean_reversion_long,r_multiple_3r,HIGH,7,0.14285714285714285,-0.24672857142857155,-1.7271000000000007
pairs_mean_reversion_long,regime_flip,HIGH,7,0.5714285714285714,-0.2753142857142857,-1.9271999999999998
pairs_mean_reversion_long,reverse_signal,HIGH,7,0.2857142857142857,-0.6745142857142856,-4.7216
pairs_mean_reversion_long,smc_mitigation_zone,HIGH,7,0.14285714285714285,-0.8803571428571428,-6.1625
pairs_mean_reversion_long,time_stop_10d,HIGH,7,0.14285714285714285,-3.2014714285714283,-22.4103
pairs_mean_reversion_long,time_stop_20d,HIGH,7,0.5714285714285714,-0.2753142857142857,-1.9271999999999998
pairs_mean_reversion_long,trailing_10pct,HIGH,7,0.14285714285714285,-0.1547857142857139,-1.0834999999999972
pairs_mean_reversion_long,trailing_15pct,HIGH,7,0.42857142857142855,3.848814285714286,26.9417
pairs_mean_reversion_long,trailing_5pct,HIGH,7,0.2857142857142857,-2.0561142857142856,-14.3928
po3_bullish,atr_trail_1x,HIGH,24,0.3333333333333333,-0.9504541666666667,-22.8109
po3_bullish,atr_trail_2x,HIGH,24,0.3333333333333333,1.3391416666666667,32.1394
po3_bullish,atr_trail_mae_conditional,HIGH,24,0.3333333333333333,-0.9504541666666667,-22.8109
po3_bullish,atr_trail_vix_conditional,HIGH,24,0.3333333333333333,-1.0268375,-24.6441
po3_bullish,break_even_at_1r,HIGH,24,0.125,-1.3538375,-32.4921
po3_bullish,breakeven_plus_trail,HIGH,24,0.20833333333333334,1.3880208333333337,33.31250000000001
po3_bullish,chandelier_3x,HIGH,24,0.2916666666666667,3.9663124999999995,95.19149999999999
po3_bullish,class_time_stop,HIGH,24,0.5833333333333334,3.991175,95.7882
po3_bullish,earnings_blackout,HIGH,24,0.5833333333333334,5.1801,124.3224
po3_bullish,fixed_4r_2r,HIGH,24,0.5,3.5242166666666663,84.5812
po3_bullish,hybrid_50pct_target,HIGH,24,0.6666666666666666,5.4312125,130.3491
po3_bullish,ma_exit_ema9,HIGH,24,0.2916666666666667,-0.31230833333333335,-7.4954
po3_bullish,mfe_lockin_trail,HIGH,24,0.3333333333333333,-0.8846083333333333,-21.2306
po3_bullish,multi_tier_partial,HIGH,24,0.375,-0.7591916666666667,-18.2206
po3_bullish,next_pivot_target,HIGH,24,0.7083333333333334,-0.29812500000000003,-7.155000000000001
po3_bullish,r_multiple_2r,HIGH,24,0.375,-0.34477916666666664,-8.2747
po3_bullish,r_multiple_3r,HIGH,24,0.25,-1.0807916666666666,-25.939
po3_bullish,regime_flip,HIGH,24,0.4583333333333333,0.9353333333333333,22.448
po3_bullish,reverse_signal,HIGH,24,0.3333333333333333,-0.9504541666666667,-22.8109
po3_bullish,smc_mitigation_zone,HIGH,24,0.375,-0.21120416666666667,-5.0689
po3_bullish,time_stop_10d,HIGH,24,0.375,-1.0769125,-25.8459
po3_bullish,time_stop_20d,HIGH,24,0.4583333333333333,0.9353333333333333,22.448
po3_bullish,trailing_10pct,HIGH,24,0.4583333333333333,1.1536625,27.6879
po3_bullish,trailing_15pct,HIGH,24,0.5416666666666666,5.694304166666666,136.6633
po3_bullish,trailing_5pct,HIGH,24,0.375,0.3909333333333333,9.382399999999999
pre_fomc_long_sleeve,atr_trail_1x,HIGH,5,0.0,-3.0958200000000002,-15.4791
pre_fomc_long_sleeve,atr_trail_1x,VERY_HIGH,1,0.0,-3.7302,-3.7302
pre_fomc_long_sleeve,atr_trail_2x,HIGH,5,0.2,-3.6937400000000005,-18.468700000000002
pre_fomc_long_sleeve,atr_trail_2x,VERY_HIGH,1,0.0,-7.4605,-7.4605
pre_fomc_long_sleeve,atr_trail_mae_conditional,HIGH,5,0.0,-3.0958200000000002,-15.4791
