strategy,regime,trades,win_rate,avg_pnl,total_roi
avwap_50_reclaim,bull,10,0.3,-0.3545,-3.5452
bollinger_tight,bull,3,0.0,-6.3638,-19.0913
cpr_narrow_bullish,bull,31,0.3871,0.9139,28.3307
htf_aligned_breakout_long,bull,4,0.5,14.8131,59.2522
ichimoku_cloud_breakout,bull,9,0.5556,-0.3041,-2.7372
macd_crossover,bull,3,0.3333,1.0547,3.1641
monthly_bias_momentum_long,bull,22,0.2273,0.696,15.3118
orb_stocks_in_play_long,bull,3,0.0,-9.2165,-27.6496
pairs_mean_reversion_long,bull,7,0.2857,-2.435,-17.0448
pead_long,bull,3,0.3333,-6.6285,-19.8855
pead_short,bull,3,0.0,-4.7539,-14.2618
pivot_r1_breakout,bull,4,0.75,2.5863,10.3454
po3_bullish,bull,24,0.375,-1.4058,-33.7382
pre_fomc_long_sleeve,bull,6,0.0,-6.0197,-36.1184
smc_bos_continuation,bull,3,0.3333,-6.6457,-19.9372
smc_choch_reversal,bull,6,0.5,8.0651,48.3904
smc_inverse_fvg,bull,5,0.0,-4.5441,-22.7207
smc_order_block_bounce,bull,7,0.0,-7.3154,-51.2077
stochrsi_oversold,bull,3,0.3333,0.0015,0.0046
supertrend_macd,bull,3,0.0,-7.6281,-22.8844
ultimate_oscillator,bull,6,0.1667,-5.7482,-34.489
williams_r_oversold,bull,7,0.0,-6.3972,-44.7803
xs_low_beta_long,bull,15,0.2667,2.3487,35.2301
xs_momentum_top_decile,bull,7,0.2857,-3.4562,-24.1935
xs_quality_top_quintile_long,bull,16,0.3125,13.697,219.1528
