tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,13,0.2308,1.9637,1.3805,25.5275,HIGH
HIGH,212,0.2925,-0.0413,0.9911,-8.7561,MEDIUM
