date,ticker,level,reason,exit_price,event,dd_from_peak,rolling_peak_equity,current_equity,z_score,today_dispersion
2024-01-16,APLD,1.0,overnight_gap_down_16.6pct,6.25,,,,,,
2024-02-06,SYM,1.0,overnight_gap_down_16.8pct,41.26,,,,,,
2024-02-13,SHOP,1.0,overnight_gap_down_12.7pct,77.8,,,,,,
2024-02-20,,6.0,,,halt_triggered,-0.2085,100000.0,79147.06,,
2024-04-10,,6.0,,,halt_resumed,-0.1789,100000.0,82107.82,,
2024-04-12,,6.0,,,halt_triggered,-0.2062,100000.0,79384.67,,
2024-05-02,HRTG,1.0,overnight_gap_down_16.4pct,8.6,,,,,,
2024-05-08,SHOP,1.0,overnight_gap_down_17.4pct,63.67,,,,,,
2024-06-12,,6.0,,,halt_triggered,-0.2349,100000.0,76514.9,,
2024-07-12,,6.0,,,halt_resumed,-0.1914,100000.0,80863.44,,
2024-07-18,DPZ,1.0,overnight_gap_down_13.4pct,409.8,,,,,,
2024-07-24,,6.0,,,halt_triggered,-0.2097,100000.0,79028.52,,
2024-08-07,ACMR,1.0,overnight_gap_up_20.1pct,18.16,,,,,,
2024-09-24,,6.0,,,halt_triggered,-0.3199,100000.0,68010.43,,
2024-11-25,,,,,dispersion_cb_triggered_dec128,,,,5.2395,0.093049
2024-11-26,,6.0,,,halt_triggered,-0.3624,100000.0,63761.729999999996,,
2024-12-20,,6.0,,,halt_resumed,-0.1898,100000.0,81018.87,,
