date,ticker,level,reason,exit_price
2022-06-14,ORCL,1,overnight_gap_up_12.4pct,68.29392414535032
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-04-25,META,1,overnight_gap_down_14.6pct,418.5624840192661
2024-08-07,VXX,1,overnight_gap_down_12.8pct,61.43000030517578
2024-08-07,VXX,1,overnight_gap_down_12.8pct,61.43000030517578
2024-08-07,VXX,1,overnight_gap_down_12.8pct,61.43000030517578
2024-08-07,VXX,1,overnight_gap_down_12.8pct,61.43000030517578
