strategy,regime,trades,win_rate,avg_pnl,total_roi
adx_initiation,bear,4,0.5,7.6701,30.6803
adx_initiation,bull,4,0.5,1.9356,7.7426
adx_initiation,neutral,6,0.1667,12.2688,73.6127
awesome_oscillator,bear,22,0.6818,3.783,83.2251
awesome_oscillator,bull,98,0.398,3.251,318.5947
awesome_oscillator,neutral,105,0.3429,2.0889,219.3301
bollinger_lower,bear,53,0.4528,3.5266,186.9114
bollinger_lower,bull,38,0.5,4.7188,179.3143
bollinger_lower,neutral,99,0.4242,4.6867,463.9859
bollinger_tight,bear,75,0.4933,3.4846,261.3482
bollinger_tight,bull,66,0.3939,1.3169,86.9122
bollinger_tight,neutral,127,0.4173,3.7817,480.2729
bollinger_upper_short,bull,30,0.2,-4.7296,-141.8894
bollinger_upper_short,neutral,10,0.3,-1.9195,-19.1952
bullish_engulfing_support,bull,16,0.1875,-4.0275,-64.4394
bullish_engulfing_support,neutral,10,0.1,-1.9383,-19.3829
camarilla_r3_breakout,bear,13,0.6154,5.1598,67.0777
camarilla_r3_breakout,bull,95,0.5158,4.1966,398.6808
camarilla_r3_breakout,neutral,54,0.4259,6.7756,365.8845
cmf_flip,bear,26,0.5385,4.8971,127.325
cmf_flip,bull,18,0.3333,-1.2314,-22.1645
cmf_flip,neutral,42,0.3571,-0.1682,-7.0633
cpr_narrow_bullish,bear,32,0.6562,3.9947,127.8307
cpr_narrow_bullish,bull,216,0.3935,2.6543,573.3208
cpr_narrow_bullish,neutral,194,0.3299,2.0247,392.7835
cpr_narrow_momentum,bear,11,0.6364,1.0703,11.7728
cpr_narrow_momentum,bull,206,0.3932,2.1447,441.7981
cpr_narrow_momentum,neutral,148,0.3514,2.1524,318.5488
doji_at_support,neutral,3,0.3333,-4.9583,-14.8749
donchian_10_breakout,bear,3,0.3333,1.7471,5.2413
donchian_10_breakout,bull,50,0.44,1.7761,88.8062
donchian_10_breakout,neutral,24,0.4583,11.0627,265.5044
evening_star_short,bear,5,0.2,-5.9242,-29.621
evening_star_short,bull,6,0.1667,-4.483,-26.8983
evening_star_short,neutral,7,0.4286,-2.2899,-16.0292
force_index_breakout,bear,20,0.65,3.1936,63.8716
force_index_breakout,bull,128,0.4453,2.952,377.8534
force_index_breakout,neutral,138,0.3188,1.6018,221.0472
golden_cross_20_50,bear,8,0.875,4.9387,39.5096
golden_cross_20_50,bull,77,0.4416,2.7351,210.605
golden_cross_20_50,neutral,41,0.3171,-1.05,-43.0493
golden_cross_50_200,bull,46,0.3261,3.0937,142.308
golden_cross_50_200,neutral,34,0.3235,2.3301,79.2251
golden_cross_9_21,bear,10,0.8,2.1441,21.4412
golden_cross_9_21,bull,92,0.4348,4.9205,452.6865
golden_cross_9_21,neutral,89,0.3483,-0.1024,-9.1115
hull_rsi,bear,32,0.6562,3.8821,124.2267
hull_rsi,bull,207,0.4203,3.5958,744.3311
hull_rsi,neutral,187,0.3209,1.1661,218.0585
ichimoku_cloud_breakout,bear,5,0.4,0.1813,0.9063
ichimoku_cloud_breakout,bull,166,0.4217,1.2611,209.3353
ichimoku_cloud_breakout,neutral,81,0.321,3.4384,278.5134
ichimoku_tk_cross,bear,14,0.9286,5.7257,80.1592
ichimoku_tk_cross,bull,103,0.3786,2.5496,262.6074
ichimoku_tk_cross,neutral,79,0.4051,3.939,311.1804
inside_bar_breakout,bear,8,0.625,-0.4703,-3.7627
inside_bar_breakout,bull,99,0.4343,1.1414,112.9956
inside_bar_breakout,neutral,61,0.3443,4.3418,264.8499
macd_crossover,bear,11,0.7273,3.7951,41.7463
