strategy,regime,trades,win_rate,avg_pnl,total_roi
bollinger_lower,neutral,25,0.32,3.2873,82.1831
bollinger_tight,neutral,35,0.3429,-3.5547,-124.4154
cmf_flip,neutral,5,0.2,-2.0346,-10.173
cpr_narrow_bullish,neutral,78,0.2308,-2.4245,-189.1078
hull_rsi,neutral,11,0.4545,-3.803,-41.8331
ichimoku_cloud_breakout,neutral,4,0.0,-12.3994,-49.5974
macd_crossover,neutral,8,0.375,2.2088,17.6704
pivot_r1_breakout,neutral,17,0.2941,-1.3527,-22.9967
pivot_r2_continuation,neutral,5,0.6,6.7364,33.6822
stochrsi_oversold,neutral,29,0.3793,-2.2652,-65.6897
supertrend_macd,neutral,3,0.3333,-5.4411,-16.3233
williams_r_oversold,neutral,11,0.2727,-1.8491,-20.3399
williams_stoch_dual,neutral,4,0.0,-8.2114,-32.8456
