date,event,z_score,today_dispersion,ticker,level,reason,exit_price,dd_from_peak,rolling_peak_equity,current_equity
2022-05-09,dispersion_cb_triggered_dec128,3.6327,0.041654,,,,,,,
2022-05-10,dispersion_cb_triggered_dec128,10.0,0.12758,,,,,,,
2022-06-30,,,,SGH,1.0,overnight_gap_down_13.2pct,17.6,,,
2022-07-14,halt_triggered,,,,6.0,,,-0.2018,100000.0,79816.42
2022-09-06,halt_resumed,,,,6.0,,,-0.171,100000.0,82897.92
2022-09-16,halt_triggered,,,,6.0,,,-0.212,100000.0,78796.02
2022-10-04,,,,BHVN,1.0,overnight_gap_down_95.2pct,7.3,,,
2022-11-16,halt_triggered,,,,6.0,,,-0.3659,100000.0,63407.39
2022-12-12,,,,BAM,1.0,overnight_gap_down_25.5pct,32.14,,,
2023-01-17,halt_triggered,,,,6.0,,,-0.4341,100000.0,56585.450000000004
2023-03-21,halt_triggered,,,,6.0,,,-0.4745,100000.0,52551.79
2023-05-23,halt_triggered,,,,6.0,,,-0.5155,100000.0,48448.99
2023-07-25,halt_triggered,,,,6.0,,,-0.5127,100000.0,48729.43
2023-07-27,,,,BHVN,1.0,overnight_gap_down_17.4pct,19.67,,,
2023-08-08,,,,IFF,1.0,overnight_gap_down_22.0pct,62.67,,,
2023-08-09,halt_resumed,,,,6.0,,,-0.4927,100000.0,50730.61
2023-08-10,halt_triggered,,,,6.0,,,-0.4927,100000.0,50730.61
2023-10-10,halt_triggered,,,,6.0,,,-0.5344,100000.0,46560.83
2023-12-11,dispersion_cb_triggered_dec128,10.0,0.099075,,,,,,,
2023-12-12,halt_triggered,,,,6.0,,,-0.5386,100000.0,46136.520000000004
2024-02-13,halt_triggered,,,,6.0,,,-0.5437,100000.0,45625.090000000004
2024-04-16,halt_triggered,,,,6.0,,,-0.5696,100000.0,43043.15
2024-06-18,halt_triggered,,,,6.0,,,-0.5599,100000.0,44007.55
2024-07-01,halt_resumed,,,,6.0,,,-0.5318,100000.0,46816.81
2024-07-02,halt_triggered,,,,6.0,,,-0.5318,100000.0,46816.81
2024-07-17,halt_resumed,,,,6.0,,,-0.5173,100000.0,48271.200000000004
2024-07-18,halt_triggered,,,,6.0,,,-0.5173,100000.0,48271.200000000004
2024-09-17,halt_triggered,,,,6.0,,,-0.5396,100000.0,46039.99
2024-11-19,halt_triggered,,,,6.0,,,-0.5367,100000.0,46334.770000000004
2024-12-02,halt_resumed,,,,6.0,,,-0.5181,100000.0,48190.700000000004
2024-12-03,halt_triggered,,,,6.0,,,-0.5181,100000.0,48190.700000000004
2024-12-20,halt_resumed,,,,6.0,,,-0.5048,100000.0,49515.16
2024-12-23,halt_triggered,,,,6.0,,,-0.5048,100000.0,49515.16
2025-01-10,halt_resumed,,,,6.0,,,-0.4839,100000.0,51605.04
2025-01-13,halt_triggered,,,,6.0,,,-0.4839,100000.0,51605.04
2025-03-12,halt_resumed,,,,6.0,,,-0.471,100000.0,52904.62
2025-03-13,halt_triggered,,,,6.0,,,-0.471,100000.0,52904.62
2025-05-13,halt_triggered,,,,6.0,,,-0.471,100000.0,52904.62
2025-07-15,halt_triggered,,,,6.0,,,-0.4892,100000.0,51084.57
2025-07-30,halt_resumed,,,,6.0,,,-0.4571,100000.0,54285.65
2025-07-31,halt_triggered,,,,6.0,,,-0.4607,100000.0,53933.31
2025-08-01,halt_resumed,,,,6.0,,,-0.4453,100000.0,55466.82
2025-08-04,halt_triggered,,,,6.0,,,-0.4453,100000.0,55466.82
2025-09-02,halt_resumed,,,,6.0,,,-0.4069,100000.0,59314.950000000004
2025-09-03,halt_triggered,,,,6.0,,,-0.4069,100000.0,59314.950000000004
2025-11-04,halt_triggered,,,,6.0,,,-0.4248,100000.0,57523.47
2025-11-05,,,,BHVN,1.0,overnight_gap_down_39.8pct,8.4,,,
2026-01-06,halt_triggered,,,,6.0,,,-0.489,100000.0,51101.270000000004
2026-01-29,halt_resumed,,,,6.0,,,-0.4703,100000.0,52969.49
2026-01-30,halt_triggered,,,,6.0,,,-0.458,100000.0,54198.08
2026-02-10,,,,BDX,1.0,overnight_gap_down_20.0pct,165.98,,,
2026-03-16,,,,VIVO,1.0,overnight_gap_down_94.5pct,1.86,,,
2026-03-19,halt_resumed,,,,6.0,,,-0.4294,100000.0,57062.96
2026-03-20,halt_triggered,,,,6.0,,,-0.4294,100000.0,57062.96
2026-03-23,halt_resumed,,,,6.0,,,-0.3967,100000.0,60327.01
2026-03-24,halt_triggered,,,,6.0,,,-0.3967,100000.0,60327.01
