ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
SPY,mmsm_short,2023-07-14,short,448.9803,smart_money_reversal,-0.8797,False,4,452.93,2023-07-18,smart_money_trail_safety_batch487,bull,Broad Market,LOW,unknown,low_lt_15,long_ge_11d,loss,T1ETF,yes,13.34,0.008797045215569592,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,fri,78,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,mmsm_short,2023-07-03,short,130.1338,smart_money_reversal,-0.1354,False,9,130.31,2023-07-12,smart_money_trail_safety_batch487,bull,Consumer Discretionary,LOW,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.57,0.024192792341420903,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
SPY,mmsm_short,2023-08-24,short,438.3687,smart_money_reversal,-1.0995,False,4,443.1885,2023-08-28,smart_money_trail_safety_batch487,bull,Broad Market,LOW,unknown,mid_15_25,long_ge_11d,loss,T1ETF,yes,17.2,0.010994854331525038,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,37,unknown,normal_3_5,ge_500M,unknown,spy_mild_down_neg5_0
GOOGL,mmsm_short,2023-08-10,short,128.4549,smart_money_reversal,-2.4712,False,7,131.6293,2023-08-17,smart_money_trail_safety_batch487,bull,Communication Services,LOW,unknown,mid_15_25,long_ge_11d,loss,T1c,yes,15.85,0.02471217524594235,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,thu,51,unknown,normal_3_5,ge_500M,unknown,spy_mild_down_neg5_0
AAPL,mmsm_short,2023-12-06,short,193.3432,smart_money_reversal,-1.4149,False,7,196.0789,2023-12-13,smart_money_trail_safety_batch487,bull,Information Technology,LOW,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,12.97,0.014686836671783646,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,25,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
MSFT,mmsm_short,2023-12-13,short,372.9057,smart_money_reversal,-0.1084,False,1,373.31,2023-12-14,smart_money_trail_safety_batch487,bull,Information Technology,LOW,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,12.19,0.017473854650116635,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,18,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
SPY,mmsm_short,2023-07-14,short,448.9803,multi_tier_partial,-0.8797,False,4,452.93,2023-07-18,multi_tier_trail_batch227b,bull,Broad Market,LOW,unknown,low_lt_15,long_ge_11d,loss,T1ETF,yes,13.34,0.008797045215569592,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,fri,78,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,mmsm_short,2023-07-03,short,130.1338,multi_tier_partial,0.7162,True,9,129.2018,2023-07-12,multi_tier_1R_trail_batch227b,bull,Consumer Discretionary,LOW,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.57,0.024192792341420903,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
SPY,mmsm_short,2023-08-24,short,438.3687,multi_tier_partial,-1.0995,False,4,443.1885,2023-08-28,multi_tier_trail_batch227b,bull,Broad Market,LOW,unknown,mid_15_25,long_ge_11d,loss,T1ETF,yes,17.2,0.010994854331525038,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,37,unknown,normal_3_5,ge_500M,unknown,spy_mild_down_neg5_0
GOOGL,mmsm_short,2023-08-10,short,128.4549,multi_tier_partial,-2.4712,False,7,131.6293,2023-08-17,multi_tier_trail_batch227b,bull,Communication Services,LOW,unknown,mid_15_25,long_ge_11d,loss,T1c,yes,15.85,0.02471217524594235,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,thu,51,unknown,normal_3_5,ge_500M,unknown,spy_mild_down_neg5_0
