strategy,is_in_sample,n_trades,wins,sum_pnl_pct,mean_pnl_pct
avwap_252_breakout,False,1,0,-10.436909523809524,-10.436909523809524
avwap_252_breakout,True,3,0,-19.879385349706382,-6.62646178323546
avwap_50_reclaim,False,4,0,-39.3233,-9.830825
avwap_50_reclaim,True,3,0,-26.74696825396825,-8.915656084656083
buyback_8k_recent_long,False,61,17,106.40826190476191,1.744397736143638
buyback_8k_recent_long,True,25,7,-28.310298412698415,-1.1324119365079366
camarilla_r3_breakout,True,6,1,4.085147954589933,0.6808579924316556
cmf_flip,True,1,0,-5.435350793650794,-5.435350793650794
cpr_narrow_bullish,True,1,0,-13.355714285714283,-13.355714285714283
force_index_breakout,False,4,1,-24.220599999999997,-6.055149999999999
force_index_breakout,True,4,1,-29.654403174603175,-7.413600793650794
htf_aligned_breakout_long,False,14,3,18.429558730158735,1.3163970521541954
htf_aligned_breakout_long,True,10,6,256.45635396825395,25.645635396825394
htf_aligned_breakout_short,False,3,2,3.36259617976261,1.1208653932542034
htf_aligned_breakout_short,True,2,1,38.78354285714286,19.39177142857143
hull_rsi,True,2,0,-3.103134920634921,-1.5515674603174605
insider_cluster_long,False,2,0,-16.295896825396827,-8.147948412698414
insider_cluster_long,True,1,0,-11.021436507936508,-11.021436507936508
macd_fast_crossover,True,1,1,3.657944444444445,3.657944444444445
monthly_bias_momentum_long,False,1,0,-3.613333333333333,-3.613333333333333
monthly_bias_momentum_long,True,4,1,43.109314285714284,10.777328571428571
orb_stocks_in_play_long,False,53,20,208.2729047619048,3.9296774483378267
orb_stocks_in_play_long,True,13,4,-2.4279714285714187,-0.1867670329670322
orb_stocks_in_play_short,False,7,3,-24.833688888888886,-3.547669841269841
orb_stocks_in_play_short,True,14,6,6.6222730158730165,0.4730195011337869
pairs_mean_reversion_long,False,1,1,6.7027,6.7027
pairs_mean_reversion_long,True,2,0,-13.99257619047619,-6.996288095238095
pead_long,True,6,1,-123.79821904761903,-20.633036507936506
pead_short,False,1,0,-8.116733333333332,-8.116733333333332
pead_short,True,2,1,-6.698390476190475,-3.3491952380952377
pivot_s3_capitulation,True,1,0,-0.1575380952380952,-0.1575380952380952
po3_bearish,False,4,2,-12.63871904761905,-3.1596797619047625
po3_bearish,True,1,0,-3.840873015873016,-3.840873015873016
po3_bullish,False,9,3,-1.6844700363706515,-0.18716333737451685
po3_bullish,True,10,6,-0.15041904761904967,-0.015041904761904968
pre_fomc_long_sleeve,False,6,3,-0.09154603174602227,-0.01525767195767038
pre_rebalance_long,True,1,0,-0.2011888888888889,-0.2011888888888889
stochrsi_overbought_short,True,2,0,-3.064011111111111,-1.5320055555555554
vix_backwardation_long,False,9,3,-14.96251587301586,-1.662501763668429
volume_spike_breakout,True,4,1,1.2799380952380979,0.31998452380952447
xs_combined_momentum_low_ivol,True,2,1,-1.0806238095238088,-0.5403119047619044
xs_low_beta_long,False,16,4,-30.70602539682539,-1.9191265873015868
xs_low_beta_long,True,12,1,-61.12223809523809,-5.093519841269841
xs_momentum_bottom_decile_short,False,1,1,3.3905666666666665,3.3905666666666665
xs_momentum_bottom_decile_short,True,1,1,4.9941566961881945,4.9941566961881945
xs_momentum_top_decile,False,1,1,3.1680968253968254,3.1680968253968254
xs_momentum_top_decile,True,7,2,-18.39162857142857,-2.6273755102040814
xs_quality_top_quintile_long,False,8,1,-45.21221428571428,-5.651526785714285
xs_quality_top_quintile_long,True,14,4,157.59683968253967,11.256917120181404
