strategy,exit_method,vix_term_structure,n,win_rate,avg_pnl_pct,total_pnl_pct
double_bottom_long,smc_mitigation_zone,unknown,6,0.3333333333333333,-0.6831666666666666,-4.098999999999999
double_bottom_long,time_stop_10d,unknown,6,0.3333333333333333,-2.0288833333333334,-12.173300000000001
double_bottom_long,time_stop_20d,unknown,6,0.3333333333333333,0.9701333333333334,5.8208
double_bottom_long,trailing_10pct,unknown,6,0.3333333333333333,-1.5812333333333333,-9.4874
double_bottom_long,trailing_15pct,unknown,6,0.3333333333333333,-0.5732666666666665,-3.4395999999999987
double_bottom_long,trailing_5pct,unknown,6,0.3333333333333333,-0.38981666666666664,-2.3388999999999998
news_sentiment_long,atr_trail_1x,unknown,5,0.4,-1.11234,-5.5617
news_sentiment_long,atr_trail_2x,unknown,5,0.4,-2.3878,-11.939
news_sentiment_long,atr_trail_mae_conditional,unknown,5,0.4,-1.11234,-5.5617
news_sentiment_long,atr_trail_vix_conditional,unknown,5,0.2,-2.3023,-11.5115
news_sentiment_long,break_even_at_1r,unknown,5,0.0,-1.1982599999999999,-5.9913
news_sentiment_long,breakeven_plus_trail,unknown,5,0.2,-0.10568000000000008,-0.5284000000000004
news_sentiment_long,chandelier_3x,unknown,5,0.0,-1.2589599999999999,-6.2947999999999995
news_sentiment_long,class_time_stop,unknown,5,0.6,-0.49377999999999994,-2.4688999999999997
news_sentiment_long,earnings_blackout,unknown,5,0.8,12.66834,63.3417
news_sentiment_long,fixed_4r_2r,unknown,5,0.4,1.3014999999999999,6.507499999999999
news_sentiment_long,hybrid_50pct_target,unknown,5,0.4,-2.53508,-12.6754
news_sentiment_long,ma_exit_ema9,unknown,5,0.4,-0.7042999999999999,-3.5214999999999996
news_sentiment_long,mfe_lockin_trail,unknown,5,0.4,-1.11234,-5.5617
news_sentiment_long,multi_tier_partial,unknown,5,0.4,-0.7108,-3.554
news_sentiment_long,next_pivot_target,unknown,5,0.6,-0.58034,-2.9017
news_sentiment_long,r_multiple_2r,unknown,5,0.4,0.67622,3.3811
news_sentiment_long,r_multiple_3r,unknown,5,0.4,2.3946199999999997,11.973099999999999
news_sentiment_long,regime_flip,unknown,5,0.6,-0.20879999999999996,-1.0439999999999998
news_sentiment_long,reverse_signal,unknown,5,0.4,-1.11234,-5.5617
news_sentiment_long,smc_mitigation_zone,unknown,5,0.4,-0.7555400000000001,-3.7777000000000003
news_sentiment_long,time_stop_10d,unknown,5,0.4,-4.750439999999999,-23.7522
news_sentiment_long,time_stop_20d,unknown,5,0.6,-0.20879999999999996,-1.0439999999999998
news_sentiment_long,trailing_10pct,unknown,5,0.2,-5.81124,-29.0562
news_sentiment_long,trailing_15pct,unknown,5,0.4,-2.07954,-10.3977
news_sentiment_long,trailing_5pct,unknown,5,0.0,-2.88736,-14.4368
smc_bos_continuation,atr_trail_1x,unknown,7,0.14285714285714285,-2.230528571428571,-15.6137
smc_bos_continuation,atr_trail_2x,unknown,7,0.42857142857142855,0.6751142857142857,4.7258
smc_bos_continuation,atr_trail_mae_conditional,unknown,7,0.14285714285714285,-2.230528571428571,-15.6137
smc_bos_continuation,atr_trail_vix_conditional,unknown,7,0.2857142857142857,-2.1288285714285715,-14.901800000000001
smc_bos_continuation,break_even_at_1r,unknown,7,0.0,-2.5476428571428573,-17.8335
smc_bos_continuation,breakeven_plus_trail,unknown,7,0.2857142857142857,7.852785714285716,54.96950000000001
smc_bos_continuation,chandelier_3x,unknown,7,0.2857142857142857,10.185785714285714,71.3005
smc_bos_continuation,class_time_stop,unknown,7,0.5714285714285714,-8.108914285714286,-56.7624
smc_bos_continuation,earnings_blackout,unknown,7,0.5714285714285714,12.907328571428573,90.35130000000001
smc_bos_continuation,fixed_4r_2r,unknown,7,0.2857142857142857,-1.9424571428571429,-13.5972
smc_bos_continuation,hybrid_50pct_target,unknown,7,0.7142857142857143,6.1708,43.1956
smc_bos_continuation,ma_exit_ema9,unknown,7,0.14285714285714285,-1.1819857142857144,-8.273900000000001
smc_bos_continuation,mfe_lockin_trail,unknown,7,0.14285714285714285,-2.230528571428571,-15.6137
smc_bos_continuation,multi_tier_partial,unknown,7,0.14285714285714285,-2.1036428571428574,-14.7255
smc_bos_continuation,next_pivot_target,unknown,7,0.5714285714285714,-1.7076142857142858,-11.9533
smc_bos_continuation,r_multiple_2r,unknown,7,0.14285714285714285,-2.9640285714285715,-20.7482
smc_bos_continuation,r_multiple_3r,unknown,7,0.14285714285714285,-2.353557142857143,-16.4749
smc_bos_continuation,regime_flip,unknown,7,0.5714285714285714,-6.343928571428571,-44.4075
smc_bos_continuation,reverse_signal,unknown,7,0.14285714285714285,-2.230528571428571,-15.6137
smc_bos_continuation,smc_mitigation_zone,unknown,7,0.42857142857142855,-0.9662714285714286,-6.7639
smc_bos_continuation,time_stop_10d,unknown,7,0.14285714285714285,-3.339642857142857,-23.3775
smc_bos_continuation,time_stop_20d,unknown,7,0.5714285714285714,-6.343928571428571,-44.4075
smc_bos_continuation,trailing_10pct,unknown,7,0.2857142857142857,7.043457142857144,49.30420000000001
smc_bos_continuation,trailing_15pct,unknown,7,0.2857142857142857,4.1852285714285715,29.296599999999998
smc_bos_continuation,trailing_5pct,unknown,7,0.2857142857142857,-1.7114428571428573,-11.9801
xs_momentum_top_decile,atr_trail_1x,unknown,7,0.14285714285714285,-1.5638285714285713,-10.9468
xs_momentum_top_decile,atr_trail_2x,unknown,7,0.42857142857142855,-0.7488714285714285,-5.2421
xs_momentum_top_decile,atr_trail_mae_conditional,unknown,7,0.14285714285714285,-1.5638285714285713,-10.9468
xs_momentum_top_decile,atr_trail_vix_conditional,unknown,7,0.0,-1.7117285714285715,-11.9821
xs_momentum_top_decile,break_even_at_1r,unknown,7,0.0,-2.0215285714285716,-14.1507
xs_momentum_top_decile,breakeven_plus_trail,unknown,7,0.2857142857142857,0.29021428571428576,2.0315000000000003
xs_momentum_top_decile,chandelier_3x,unknown,7,0.0,-1.7787428571428572,-12.4512
xs_momentum_top_decile,class_time_stop,unknown,7,0.7142857142857143,2.347257142857143,16.4308
xs_momentum_top_decile,earnings_blackout,unknown,7,0.5714285714285714,4.194228571428571,29.359599999999997
xs_momentum_top_decile,fixed_4r_2r,unknown,7,0.42857142857142855,1.4044,9.8308
xs_momentum_top_decile,hybrid_50pct_target,unknown,7,0.8571428571428571,2.7821,19.4747
xs_momentum_top_decile,ma_exit_ema9,unknown,7,0.2857142857142857,-0.9165571428571428,-6.4159
xs_momentum_top_decile,mfe_lockin_trail,unknown,7,0.14285714285714285,-1.5638285714285713,-10.9468
xs_momentum_top_decile,multi_tier_partial,unknown,7,0.14285714285714285,-1.4989857142857144,-10.4929
xs_momentum_top_decile,next_pivot_target,unknown,7,0.5714285714285714,0.4941999999999999,3.4593999999999996
xs_momentum_top_decile,r_multiple_2r,unknown,7,0.14285714285714285,-1.3832714285714285,-9.6829
xs_momentum_top_decile,r_multiple_3r,unknown,7,0.0,-2.8714000000000004,-20.099800000000002
xs_momentum_top_decile,regime_flip,unknown,7,0.7142857142857143,0.3176428571428573,2.223500000000001
xs_momentum_top_decile,reverse_signal,unknown,7,0.14285714285714285,-1.5638285714285713,-10.9468
xs_momentum_top_decile,smc_mitigation_zone,unknown,7,0.2857142857142857,-0.8146428571428572,-5.702500000000001
xs_momentum_top_decile,time_stop_10d,unknown,7,0.7142857142857143,2.7629428571428574,19.340600000000002
xs_momentum_top_decile,time_stop_20d,unknown,7,0.7142857142857143,0.3176428571428573,2.223500000000001
xs_momentum_top_decile,trailing_10pct,unknown,7,0.42857142857142855,-1.660657142857143,-11.624600000000001
xs_momentum_top_decile,trailing_15pct,unknown,7,0.42857142857142855,1.4012571428571425,9.808799999999998
xs_momentum_top_decile,trailing_5pct,unknown,7,0.2857142857142857,-1.728457142857143,-12.0992
