tier,trades,win_rate,avg_pnl,profit_factor,total_roi,tier_3_consolidated
VERY_HIGH,8,0.25,-4.8846,0.1347,-39.0765,HIGH
HIGH,155,0.3032,-9.1131,0.2816,-1412.5252,MEDIUM
MEDIUM_HIGH,9,0.1111,-4.8903,0.0803,-44.0126,MEDIUM
MEDIUM,10,0.4,-0.5081,0.8759,-5.0808,LOW
LOW,5,0.0,-4.1728,0.0,-20.8642,LOW
