strategy,sharpe_adj,win_rate_adj,profit_factor_adj,haircut_pct_applied
hull_rsi_short,0.0,0.8,inf,0.4
williams_r_oversold,0.0,0.9,inf,0.2
monthly_bias_momentum_long,0.0,0.8,inf,0.4
supertrend_ichimoku_adx,0.0,0.9,inf,0.2
lead_lag_sector_rotation,0.0,0.9,inf,0.2
pivot_s1_bounce,0.0,0.9,inf,0.2
hull_rsi,0.0,0.53336,104.88624,0.4
smc_choch_reversal,0.0,0.60003,5.66155,0.2
head_and_shoulders_bottom_long,0.0,0.45,2.50633,0.2
poc_magnet_long,0.0,0.45,0.8469,0.2
buyback_8k_recent_long,0.0,0.45,0.3125,0.2
xs_momentum_top_decile,0.0,0.34288,0.2704,0.4
double_bottom_long,0.0,0.29997,0.6584,0.2
smc_bos_continuation,0.0,0.25713,2.1839500000000003,0.2
cpr_narrow_momentum,0.0,0.22744,0.1497,0.4
cpr_narrow_bullish,0.0,0.19998000000000002,0.1508,0.2
news_sentiment_long,0.0,0.18000000000000002,0.0026,0.2
avwap_252_breakout,0.0,0.0,0.0,0.4
supertrend_macd,0.0,0.0,0.0,0.4
break_retest_confluence,0.0,0.0,0.0,0.2
avwap_50_reclaim,0.0,0.0,0.0,0.2
macd_fast_crossover,0.0,0.0,0.0,0.4
cup_and_handle_long,0.0,0.0,0.0,0.2
macd_ichimoku,0.0,0.0,0.0,0.4
ultimate_oscillator,0.0,0.0,0.0,0.2
smc_order_block_bounce,0.0,0.0,0.0,0.2
naked_poc_retest_long,0.0,0.0,0.0,0.2
