strategy,direction,regime,sharpe_raw,deflated_sharpe,deflated_sharpe_pvalue,spa_pvalue,bh_fdr_significant,passes_compose
cmf_flip,dual,bull,0.1873,0.3216,0.373886,0.074627,False,False
naked_poc_retest_long,long,bull,-0.8836,-1.852,0.967986,0.089552,False,False
pairs_mean_reversion_long,long,bull,0.4131,-1.9039,0.971536,0.089552,False,False
po3_bullish,long,bull,0.1096,-1.6787,0.953391,0.089552,False,False
smc_breaker_block_long,long,bull,2.6026,0.6219,0.267016,0.089552,False,False
stochrsi_oversold,long,bull,-1.1322,-1.8988,0.971204,0.089552,False,False
williams_r_oversold,long,bull,0.2114,-1.865,0.968912,0.089552,False,False
cpr_narrow_momentum_short,short,bull,-4.369,-1.7948,0.963657,0.855721,False,False
donchian_10_breakout,short,bull,-207.6175,-1.4241,0.922794,0.855721,False,False
macd_fast_crossover,short,bull,-1.7956,-3.4879,0.999757,0.855721,False,False
mmsm_short,short,bull,-1.1863,-4.0534,0.999975,0.855721,False,False
morning_star,short,bull,-2.6222,-1.9373,0.973646,0.855721,False,False
pairs_mean_reversion_short,short,bull,-1.3727,-4.5435,0.999997,0.855721,False,False
stochrsi_overbought_short,short,bull,-1.4012,-2.8734,0.99797,0.855721,False,False
tema_dema,short,bull,-0.818,-1.971,0.975641,0.855721,False,False
cmf_flip,dual,overall,0.1873,0.3216,0.373886,0.074627,False,False
naked_poc_retest_long,long,overall,0.1118,-1.7975,0.963873,0.089552,False,False
pairs_mean_reversion_long,long,overall,0.4131,-2.0898,0.981682,0.089552,False,False
pead_long_high_yoy_growth_only,long,overall,-0.2286,-1.5947,0.944605,0.089552,False,False
po3_bullish,long,overall,0.1096,-1.8008,0.964134,0.089552,False,False
smc_breaker_block_long,long,overall,2.6026,0.5805,0.280789,0.089552,False,False
stochrsi_oversold,long,overall,-1.1322,-1.9664,0.975375,0.089552,False,False
williams_r_oversold,long,overall,0.2114,-2.0134,0.977966,0.089552,False,False
cpr_narrow_momentum_short,short,overall,-4.369,-1.8138,0.965147,0.791045,False,False
donchian_10_breakout,short,overall,-207.6175,-1.4245,0.922855,0.791045,False,False
macd_crossover,short,overall,-1.1629,-2.0729,0.980908,0.791045,False,False
macd_fast_crossover,short,overall,-1.7956,-3.5541,0.99981,0.791045,False,False
mmsm_short,short,overall,-1.1863,-4.148,0.999983,0.791045,False,False
morning_star,short,overall,-2.6222,-1.9666,0.975386,0.791045,False,False
pairs_mean_reversion_short,short,overall,-1.5338,-5.0719,1.0,0.791045,False,False
stochrsi_overbought_short,short,overall,-1.4012,-2.9355,0.998335,0.791045,False,False
tema_dema,short,overall,-0.818,-2.0245,0.978541,0.791045,False,False
