ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
VET,bollinger_tight,2024-06-17,long,10.9474,trailing_10pct,-5.9503,False,38,10.296,2024-07-25,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,unknown,no,0.0,0.03355134552496483,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,13,unknown,normal_3_5,5_25M,unknown,no_data
GNRC,bollinger_tight,2024-07-01,long,134.1312,trailing_10pct,6.6866,True,32,143.1,2024-08-02,neutral,Industrials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03399134578681172,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,mon,91,unknown,normal_3_5,100_500M,unknown,no_data
AWK,bollinger_tight,2024-07-01,long,128.2145,trailing_10pct,4.2004,True,101,133.6,2024-10-10,neutral,Utilities,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,win,T1a,no,0.0,0.018433172535087687,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,low_1_5,yes,mon,91,unknown,normal_3_5,100_500M,unknown,no_data
COGT,bollinger_tight,2024-11-18,long,8.9945,trailing_10pct,-9.2779,False,21,8.16,2024-12-09,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,loss,T2,no,0.0,0.07927066540663738,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,yes,mon,43,unknown,compressed_lt_3,5_25M,unknown,no_data
AOS,bollinger_tight,2024-11-18,long,71.6397,trailing_10pct,-5.2383,False,42,67.887,2024-12-30,neutral,Industrials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,loss,T1a,no,0.0,0.020880880294026915,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,43,unknown,compressed_lt_3,25_100M,unknown,no_data
BAM,bollinger_tight,2025-09-02,long,59.0962,trailing_10pct,-6.4001,False,38,55.314,2025-10-10,neutral,Financials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,loss,T2,no,0.0,0.022595361461481448,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,tue,28,unknown,compressed_lt_3,100_500M,unknown,no_data
BHVN,bollinger_tight,2025-11-03,long,14.6555,trailing_10pct,-42.6836,False,2,8.4,2025-11-05,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.08510115656238273,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,58,unknown,normal_3_5,25_100M,unknown,no_data
BHVN,bollinger_tight,2026-01-05,long,9.9779,trailing_10pct,-2.9856,False,2,9.68,2026-01-07,neutral,Health Care,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,win,unknown,no,0.0,0.08493771234428087,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,yes,mon,85,unknown,compressed_lt_3,25_100M,unknown,no_data
AOS,bollinger_tight,2025-11-03,long,65.7896,trailing_10pct,9.7894,True,122,72.23,2026-03-05,neutral,Industrials,HIGH,unknown,mid_atr_1_2.5pct,long_ge_11d,win,T1a,no,0.0,0.022777156267859967,q4_ge_10pct,q4_ge_10pct,no,no,no_data,low_1_5,yes,mon,58,unknown,normal_3_5,25_100M,unknown,no_data
CSX,bollinger_tight,2025-09-02,long,32.1797,trailing_10pct,20.7376,True,198,38.853,2026-03-19,neutral,Industrials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1c,no,0.0,0.028732399618392964,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,tue,28,unknown,compressed_lt_3,ge_500M,unknown,no_data
AWK,bollinger_tight,2025-11-03,long,127.6465,trailing_10pct,-1.5085,False,182,125.721,2026-05-04,neutral,Utilities,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.02630937785211502,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,mon,58,unknown,normal_3_5,100_500M,unknown,no_data
RKLB,bollinger_tight,2022-05-05,long,6.736,trailing_5pct,-5.0,False,1,6.3992,2022-05-06,neutral,Industrials,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T2,no,0.0,0.07338182897862233,q4_ge_10pct,q1_lt_2pct,no,no,no_data,low_1_5,no,thu,56,unknown,no_data,5_25M,unknown,no_data
NVDA,bollinger_tight,2022-05-12,long,16.8635,trailing_5pct,-0.4477,False,1,16.788,2022-05-13,neutral,Information Technology,HIGH,unknown,crisis_atr_ge_5pct,medium_4_10d,loss,T1c,no,0.0,0.08053488303139919,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,49,unknown,no_data,ge_500M,unknown,no_data
SWIM,bollinger_tight,2022-05-23,long,9.3248,trailing_5pct,-5.0,False,1,8.8586,2022-05-24,neutral,Materials,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,unknown,no,0.0,0.1074661118737131,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,38,unknown,no_data,5_25M,unknown,no_data
BAC,bollinger_tight,2022-05-12,long,35.6299,trailing_5pct,-4.0399,False,8,34.1905,2022-05-20,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,T1a,no,0.0,0.037235580228965,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,thu,49,unknown,no_data,ge_500M,unknown,no_data
BAM,bollinger_tight,2022-05-05,long,48.9139,trailing_5pct,-5.0,False,4,46.4682,2022-05-09,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,loss,unknown,no,0.0,0.03377771962570966,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,no,thu,56,unknown,no_data,25_100M,unknown,no_data
VET,bollinger_tight,2022-06-20,long,19.7585,trailing_5pct,-4.7499,False,2,18.82,2022-06-22,neutral,Energy,HIGH,unknown,crisis_atr_ge_5pct,short_le_3d,loss,T3,no,0.0,0.07152364805020624,q4_ge_10pct,q4_ge_10pct,no,no,no_data,none,no,mon,10,unknown,no_data,25_100M,unknown,no_data
IFF,bollinger_tight,2022-06-20,long,110.9113,trailing_5pct,3.9926,True,9,115.3395,2022-06-29,neutral,Materials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03630198185396799,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,mid_6_20,yes,mon,10,unknown,no_data,100_500M,unknown,no_data
HST,bollinger_tight,2022-06-17,long,16.4448,trailing_5pct,-4.8544,False,6,15.6465,2022-06-23,neutral,Real Estate,HIGH,unknown,crisis_atr_ge_5pct,long_ge_11d,win,T1a,no,0.0,0.05271575209184666,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,fri,13,unknown,no_data,100_500M,unknown,no_data
RF,bollinger_tight,2022-06-23,long,18.5689,trailing_5pct,-0.2876,False,1,18.5155,2022-06-24,neutral,Financials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.038241360554475495,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,thu,7,unknown,no_data,100_500M,unknown,no_data
WMB,bollinger_tight,2022-06-20,long,30.4357,trailing_5pct,-0.9288,False,15,30.153,2022-07-05,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03883268661473204,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,10,unknown,no_data,100_500M,unknown,no_data
PSX,bollinger_tight,2022-09-07,long,86.8462,trailing_5pct,-2.0314,False,7,85.082,2022-09-14,neutral,Energy,HIGH,unknown,high_atr_2.5_5pct,medium_4_10d,loss,T1a,no,0.0,0.03607411723253291,q4_ge_10pct,q4_ge_10pct,no,no,no_data,mid_6_20,yes,wed,23,unknown,no_data,100_500M,unknown,no_data
JCI,bollinger_tight,2022-06-20,long,48.2718,trailing_5pct,-3.6653,False,17,46.5025,2022-07-07,neutral,Industrials,HIGH,unknown,high_atr_2.5_5pct,long_ge_11d,win,T1a,no,0.0,0.03659693651365808,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,mon,10,unknown,no_data,100_500M,unknown,no_data
