ticker,strategy,entry_date,direction,entry_price,exit_method,pnl_pct,win,hold_days,exit_price,exit_date,exit_reason,regime_at_entry,sector,confidence_tier,cap_band,vol_band,hold_duration_band,win_loss_outcome,universe_tier,smart_money_signal_present,vix_at_entry,entry_atr_ratio,mae_bucket,mfe_bucket,regime_changed_during_hold,earnings_during_hold,circuit_breaker_active_during_hold,news_sentiment_shift_during_hold,8K_filed_during_hold,day_of_week_at_entry,days_from_quarter_end_at_entry,vix_term_structure,hy_oas_band_at_entry,adv_bucket,volume_rank_within_sector,sector_momentum_vs_spy_at_entry
XOM,williams_r_oversold,2024-01-03,short,103.91,multi_tier_partial,0.4859,True,1,103.4051,2024-01-04,multi_tier_1R_trail_batch227b,bull,Energy,LOW,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,14.04,0.017849100182850543,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
TSLA,williams_r_oversold,2024-01-03,long,239.6891,reverse_signal,-16.3708,False,43,200.45,2024-02-15,reverse_signal_williams_r_oversold_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,14.04,0.037028801059372334,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
GOOGL,williams_r_oversold,2024-01-02,long,137.4512,reverse_signal,3.5131,True,8,142.28,2024-01-10,reverse_signal_williams_r_oversold_batch227a,bull,Communication Services,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01998018205734108,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
HD,williams_r_oversold,2024-01-02,long,343.012,reverse_signal,4.0197,True,8,356.8,2024-01-10,reverse_signal_williams_r_oversold_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,13.2,0.014003008641097105,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AAPL,williams_r_oversold,2024-01-02,long,184.5083,reverse_signal,3.8219,True,17,191.56,2024-01-19,reverse_signal_williams_r_oversold_batch227a,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01630495755475499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AVGO,williams_r_oversold,2024-01-02,long,107.2553,reverse_signal,6.653,True,16,114.391,2024-01-18,reverse_signal_williams_r_oversold_batch227a,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.024991771968378252,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,williams_r_oversold,2024-01-02,long,149.392,reverse_signal,2.9038,True,8,153.73,2024-01-10,reverse_signal_williams_r_oversold_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.0193812252329442,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
XOM,williams_r_oversold,2024-01-03,short,103.91,reverse_signal,1.713,True,22,102.13,2024-01-25,reverse_signal_williams_r_oversold_batch227a,bull,Energy,LOW,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,14.04,0.017849100182850543,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
TSLA,williams_r_oversold,2024-01-03,long,239.6891,smc_mitigation_zone,-0.7339,False,1,237.93,2024-01-04,smc_mitigation_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,14.04,0.037028801059372334,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
GOOGL,williams_r_oversold,2024-01-02,long,137.4512,smc_mitigation_zone,1.0686,True,1,138.92,2024-01-03,smc_mitigation_batch227a,bull,Communication Services,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01998018205734108,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
HD,williams_r_oversold,2024-01-02,long,343.012,smc_mitigation_zone,-1.4003,False,1,338.2088,2024-01-03,smc_trail_safety_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,13.2,0.014003008641097105,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AAPL,williams_r_oversold,2024-01-02,long,184.5083,smc_mitigation_zone,-0.14,False,1,184.25,2024-01-03,smc_mitigation_batch227a,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01630495755475499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AVGO,williams_r_oversold,2024-01-02,long,107.2553,smc_mitigation_zone,-1.3028,False,1,105.858,2024-01-03,smc_mitigation_batch227a,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.024991771968378252,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,williams_r_oversold,2024-01-02,long,149.392,smc_mitigation_zone,-0.6172,False,1,148.47,2024-01-03,smc_mitigation_batch227a,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.0193812252329442,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
XOM,williams_r_oversold,2024-01-03,short,103.91,smc_mitigation_zone,-0.3005,False,1,104.2222,2024-01-04,smc_trail_safety_batch227a,bull,Energy,LOW,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,14.04,0.017849100182850543,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
TSLA,williams_r_oversold,2024-01-03,long,239.6891,chandelier_3x,-0.1832,False,1,239.25,2024-01-04,chandelier_exit,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,14.04,0.037028801059372334,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
GOOGL,williams_r_oversold,2024-01-02,long,137.4512,chandelier_3x,4.488,True,29,143.62,2024-01-31,chandelier_exit,bull,Communication Services,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01998018205734108,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
HD,williams_r_oversold,2024-01-02,long,343.012,chandelier_3x,-0.9596,False,1,339.7205,2024-01-03,chandelier_exit,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,13.2,0.014003008641097105,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AAPL,williams_r_oversold,2024-01-02,long,184.5083,chandelier_3x,-0.1563,False,1,184.22,2024-01-03,chandelier_exit,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01630495755475499,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AVGO,williams_r_oversold,2024-01-02,long,107.2553,chandelier_3x,-0.2194,False,1,107.02,2024-01-03,chandelier_exit,bull,Information Technology,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.024991771968378252,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
AMZN,williams_r_oversold,2024-01-02,long,149.392,chandelier_3x,-2.545,False,2,145.59,2024-01-04,chandelier_exit,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1c,yes,13.2,0.0193812252329442,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
XOM,williams_r_oversold,2024-01-03,short,103.91,chandelier_3x,-0.1636,False,1,104.08,2024-01-04,chandelier_exit,bull,Energy,LOW,unknown,low_lt_15,long_ge_11d,loss,T1a,yes,14.04,0.017849100182850543,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
TSLA,williams_r_oversold,2024-01-03,long,239.6891,atr_trail_vix_conditional,-2.2432,False,6,234.3124,2024-01-09,atr_trailing_stop,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,14.04,0.037028801059372334,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,no,wed,88,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
GOOGL,williams_r_oversold,2024-01-02,long,137.4512,atr_trail_vix_conditional,-0.4223,False,2,136.8708,2024-01-04,atr_trailing_stop,bull,Communication Services,HIGH,unknown,low_lt_15,long_ge_11d,loss,T1c,yes,13.2,0.01998018205734108,q4_ge_10pct,q4_ge_10pct,no,yes,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
HD,williams_r_oversold,2024-01-02,long,343.012,atr_trail_vix_conditional,-1.0502,False,1,339.4096,2024-01-03,atr_trailing_stop,bull,Consumer Discretionary,HIGH,unknown,low_lt_15,long_ge_11d,win,T1a,yes,13.2,0.014003008641097105,q4_ge_10pct,q4_ge_10pct,no,no,no_data,high_gt_20,yes,tue,89,unknown,normal_3_5,ge_500M,unknown,spy_mild_up_0_5pct
